Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Department for Communities & Local Government ,Ministerial Department,Department for Communities & Local Government,203,194.91,322,311.92,804,783.7,595,575.17,100,96.66,0,0,2024,1962.36,11,11,8,8,9,9,12,12,40,40,2064,2002.36,6482753.24,41932.18,287375,45662.02,1327842.58,615876.85,8801441.87,126530,307511.4,434041.4,9235483.27,
Fire Service College,Executive Agency,Department for Communities & Local Government,63,61.9,35,33.6,78,76,16,16,1,1,0,0,193,188.5,0,0,3,2.8,0,0,0,0,3,2.8,196,191.3,476305.03,0,0,2171.29,94320.52,39163.32,611960.16,26592,0,26592,638552.16,
Ordnance Survey ,Non-Ministerial Department,Department for Communities & Local Government,41,35,548,534,402,391,108,106,6,6,3,1,1108,1073,50,47,2,2,73,72.5,1,0.54,126,122.04,1234,1195.04,2858930.2,70596.6,2634,25184.13,559679.08,233044.53,3750068.54,1004674,7800,1012474,4762542.54,
Planning Inspectorate,Executive Agency,Department for Communities & Local Government,223,199.12,132,121.55,74,70.48,257,217.16,4,3.4,0,0,690,611.71,0,0,0,0,0,0,0,0,0,0,690,611.71,1346667.46,38947.2,0,373.18,372658.72,157646.18,1916292.74,0,0,0,1916292.74,
Queen Elizabeth II Conference Centre,Executive Agency,Department for Communities & Local Government,4,4,13,13,21,21,3,3,1,1,0,0,42,42,0,0,0,0,0,0,0,0,0,0,42,42,120788.92,819.5,0,14634.21,26887.84,11739.47,174869.94,0,0,0,174869.94,
Homes & Communities Agency,Executive Non-Departmental Public Body,Department for Communities & Local Government,253,238.57,322,314.26,88,85.27,90,88.8,60,59.88,0,0,813,786.78,1,1,0,0,4,4,0,0,5,5,818,791.78,2709933.36,1942587.78,0,2452.96,625930.37,269626.43,5550530.9,26620,0,26620,5577150.9,
Independent Housing Ombudsman Ltd,Executive Non-Departmental Public Body,Department for Communities & Local Government,0,0,0,0,0,0,0,0,0,0,35,35,35,35,1,1,0,0,2,2,0,0,3,3,38,38,139910.6,0,0,0,25546.75,13212.16,178669.51,16520.83,0,16520.83,195190.34,
Infrastructure Planining Commission,Executive Non-Departmental Public Body,Department for Communities & Local Government,9,9,8,8,14,13.8,14,13.8,13,11.3,0,0,58,55.9,1,1,0,0,0,0,0,0,1,1,59,56.9,129843.72,0,0,91.22,16452.1,29097.97,175485.01,1817.04,0,1817.04,177302.05,
Leasehold Advisory Service,Executive Non-Departmental Public Body,Department for Communities & Local Government,0,0,4,3.4,15,14,0,0,1,1,0,0,20,18.4,0,0,0,0,0,0,0,0,0,0,20,18.4,58743.07,0,0,0,5874.295,6447.02,71064.385,0,0,0,71064.385,
London Thames Gateway Development Corporation,Executive Non-Departmental Public Body,Department for Communities & Local Government,0,0,2,2,12,10.8,8,7.8,14,14,0,0,36,34.6,0,0,1,0.56,5,0.45,0,0,6,1.01,42,35.61,158391.31,0,0,0,21147.04,15923.23,195461.58,5132.3,0,5132.3,200593.88,
Standards Board for England,Executive Non-Departmental Public Body,Department for Communities & Local Government,3,2.8,5,5,18,17.43,6,6,3,3,0,0,35,34.23,0,0,0,0,0,0,0,0,0,0,35,34.23,114544.3,0,0,0,18028.59,10472.79,143045.68,0,0,0,143045.68,
Tenants Services Authority,Executive Non-Departmental Public Body,Department for Communities & Local Government,5,4.97,41,40.06,107,103.71,25,24.8,9,9,9,1.31,196,183.85,0,0,0,0,0,0,0,0,0,0,196,183.85,748854.03,436.8,0,1167.38,69420.02,66914.34,886792.57,0,0,0,886792.57,
Thurrock Development Corporation,Executive Non-Departmental Public Body,Department for Communities & Local Government,0,0,0,0,0,0,0,0,0,0,34,33.93,34,33.93,0,0,0,0,0,0,0,0,0,0,34,33.93,146626.91,2744.26,0,0,16386.11,15107.06,180864.34,0,0,0,180864.34,
Valuation Tribunal Service,Executive Non-Departmental Public Body,Department for Communities & Local Government,22,21.17,39,38.25,12,11.83,2,2,1,1,0,0,76,74.25,1,1,0,0,0,0,0,0,1,1,77,75.25,214199,4524,0,0,44222,18438,281383,4203,0,4203,285586,
West Northamptonshire Development Corporation,Executive Non-Departmental Public Body,Department for Communities & Local Government,8,7.41,13,12.94,10,9.7,2,2,4,4,0,0,37,36.05,0,0,0,0,1,0.4,1,0.8,2,1.2,39,37.25,135646,4000,0,0,23954,13089,176689,2500,6344,8844,185533,
