FREEDOM OF INFORMATION,,
MOD Requests to 03 February 2012,,
"CIO-CI-Access Team, Ministry of Defence, CIO-FOI@mod.uk",,
,,
,,
Case Number,Date Due,Request Summary
03-01-2012-094826-001,30/01/2012,"Please provide copies, along with information and details, of visitor logs dating from July 2011 to the present. "
03-01-2012-100519-002,30/01/2012,"Please provide copies of all written correspondence between ministers, civil servants and George Bridges, Stephen Parkinson, Lord Chadlington, Malcolm Morton, Andrew Mackay and Julie Kirkbride since January 2011."
03-01-2012-100925-003,30/01/2012,"Please advise on MOD expenditure on new works of art in the last five years. Please provide a list, with information and details, of all artwork in the MOD's art collection."
03-01-2012-101428-004,30/01/2012,Please provide copies of all correspondence regarding the planning and funding of the 2012 Queen's Jubilee pageant.
03-01-2012-102752-001,31/01/2012,Please provide the latest figures on unauthorised articles detected on RAF aircraft up until 31 December 2011 along with information on specific details of drug seizures on RAF aircraft from 2001 - 2011.
03-01-2012-104233-005,30/01/2012,"Please provide copies of the structural and health and safety surveys undertaken on Capella Road, Northwood, HA6 3JQ. "
03-01-2012-105539-006,31/01/2012,Please provide information and details on the full cost of the Red Arrows display team for 2010/11 FY and to date for 2011/12. 
03-01-2012-105850-007,31/01/2012,Please provide images of HMS Invincible.
03-01-2012-122209-008,31/01/2012,Please advise on how a copy of the MOD publication 'Planning and facilitation of nuclear accident exercises' can be obtained.
03-01-2012-133254-001,31/01/2012,Money paid to the Country Land and Business Association and positions held within this association.
03-01-2012-143148-002,27/01/2012,Please provide a summary of costs involved in dealing with Freedom of Information requests since the Freedom of Information Act came into force.
03-01-2012-145358-010,31/01/2012,Please provide information on the death of Joseph Ball in 1945. 
03-01-2012-151449-011,31/01/2012,"Please advise, and provide information and details, to various questions regarding DNA profiles obtained by police forces across the UK from 1 January 2009 - 30 November 2011."
03-01-2012-153637-003,27/01/2012,"Please provide a copy of any internal/external correspondence about ""my SQUADRON"" or http://www.mysquadron.org.uk within the past two years."
03-01-2012-155004-004,27/01/2012,"Please provide a copy of any minutes taken or documents used by the Workshop on Air Cadet Policy, Activity and Support on 9 August 2011."
03-01-2012-160541-005,27/01/2012,"Please advise on the rationale behind the recent mergers, in the last two years, of individual wings and the perceived benefits."
03-01-2012-161326-006,27/01/2012,Please provide copies of all documentation regarding the interim report of Brigadier Plastow's Defence Youth and Engagement Review.
03-01-2012-162405-007,27/01/2012,Please provide information and details on the age of the oldest serving Warrant Officer (ATC).
03-01-2012-163335-008,27/01/2012,Please provide information and details on the number earning bonus or performance related pay in this financial year in the ACO.
03-01-2012-164147-009,27/01/2012,Please provide a digital copy of ACP 16.
03-01-2012-164747-010,27/01/2012,"Please advise, and provide information and details, on the policy concerning rifle drill in the ACO."
03-01-2012-165553-013,31/01/2012,"Please advise, and provide information and details, to various questions regarding Snatch Vixen vehicles."
04-01-2012-072112-001,31/01/2012,"Please provide a copy of the 1990 report by Greenwood, K Cork, CR. Ballistic penetration of textile fabrics - phase V. Final report to the United Kingdom Ministry of Defence. Contract number 2044/156 CDE/SC."
04-01-2012-073003-002,31/01/2012,Please provide information and details on the Springer all-terrain vehicle.
04-01-2012-074400-004,31/01/2012,"Please provide information and details on the number of security breaches at Armed Forces bases in Wales over the past three years (2009, 2010, and 2011)."
04-01-2012-105238-005,01/02/2012,"Please advise, and provide information and details, on the approximate number of  United Kingdom defence personnel stationed overseas (i.e. in other sovereign nations, but not in UK territories or possessions) from 1950 - 2001."
04-01-2012-110141-001,30/01/2012,"Please advise, and provide information and details, on the discrepancies on aircraft figures cited in UKDS 2011 and those published on other websites. "
04-01-2012-110642-006,01/02/2012,"Please advise, and provide information and details, on the number of MOD staff that have faced disciplinary action over their use of the internet."
04-01-2012-111338-007,01/02/2012,"Please provide a list of subcontractors, suppliers and consultants involved in the phase 2 of Project Slam. "
04-01-2012-112203-002,30/01/2012,"Please provide information and details on UK expenditure, across all three services, on helicopter and vehicle fleets. "
04-01-2012-113727-003,31/01/2012,Please advise on the number of RN/RM that have been deployed on HERRICK/TELIC.
04-01-2012-114715-004,31/01/2012,Please provide information and details on equality and diversity data for British personnel who have served in Afghanistan. 
