CONTRACTS WHERE THE GPC IS THE PAYMENT METHOD,
SUMMARY OF EXPENDITURE,


,Oct-11
STATIONERY CONTRACT,"107,623.24"
PAPER CONTRACT,"73,814.97"
IT CONSUMBLES CONTRACT,"319,345.46"
NEW STATIONERY CONTRACT,"13,111.76"

DEFENCE TRAVEL CONTRACT - HOTELS,"106,460.17"
DEFENCE TRAVEL CONTRACT - SCHEDULE AIRLINES,"4,431,588.93"
DEFENCE TRAVEL CONTRACT - LOW COST AIRLINES,"934,977.69"
DEFENCE TRAVEL CONTRACT - RAIL,"1,615,157.62"
DEFENCE TRAVEL CONTRACT - OVERSEAS CAR HIRE,"368,514.75"
DEFENCE TRAVEL CONTRACT - EBIS BOOKING FEES,"43,779.56"
