METADATA FOR DATA FIELDS,,,,,,,,,,,,,
"This worksheet lists the fields of the ""Quarterly Data Summary"" sheet and provides explanation of the metrics (metdata).",,,,,,,,,Organisations in-scope,[Please specify],,,
,,ALL INFORMATION SHOULD RELATE TO THE LATEST AVAILABLE DATA,,,,,,,Organisations out-of-scope,[Please specify],,,
,,,,,,,,,Actual Department metadata - where differs from requested,,,,
GROUP,SUB-GROUP,FIELD NAME,TECHNICAL DEFINITION (REQUESTED),PERIOD OF DATA REPORTED IN QDS (REQUESTED),PERIOD FOR DATA IN JANUARY QDS (REQUESTED),DEPARTMENTAL COVERAGE OF DATA (REQUESTED),DATA SOURCE,"TYPE OF DATA (eg MI, Official Stats or National Stats)",TECHNICAL DEFINITION (ACTUAL),DEPARTMENTAL COVERAGE OF DATA (ACTUAL),"FURTHER NOTES, CAVEATS AND LIMITATIONS",EXPLANATIONS RELATING TO CHANGES IN DATA FROM PREVIOUS QDS PUBLICATIONS,
Spending,Budget,"Total Departmental Expenditure Limit (DEL)
",(Resource DEL excluding depreciation) + (Capital DEL),Quarterly COINS data,"Current = Q2 2011-12 (Jul-Sep)
Previous = Q2 2010-11 (Jul-Sep)",Full,COINS,Management information,(Resource DEL excluding depreciation) + (Capital DEL). ,,,,
,,"of which Resource DEL (excl. Depreciation)
","(Resource DEL excluding depreciation) 
",Quarterly COINS data,"Current = Q2 2011-12 (Jul-Sep)
Previous = Q2 2010-11 (Jul-Sep)",Full,COINS,Management information,"(Resource DEL excluding depreciation).
",,,,
,,"Top 5 contributory elements
","5 largest areas of spending, as defined by the department, to cover a substantial proportion of DEL.",Quarterly COINS data,"Current = Q2 2011-12 (Jul-Sep)
Previous = Q2 2010-11 (Jul-Sep)",Determined by top 5 programmes chosen,COINS,Management information,5 largest areas of spending druing  for Qtr2 FY2011/12,,,,
,,A,,,,,,,,,,,
,,B,,,,,,,,,,,
,,C,,,,,,,,,,,
,,D,,,,,,,,,,,
,,E,,,,,,,,,,,
,,Purchase of goods & services within Resource DEL,"RDEL, Purchase of Goods and services. Procurement spending should be recorded as a gross rather than net expenditure. This should be current procurement which falls within resource DEL, therefore excluding all Capital procurement.  Should include entries against NAC Codes: ""B3501"" + ""E20""; Expenditure should be recorded in £m.  ",Quarterly COINS data,"Current = Q2 2011-12 (Jul-Sep)
Previous = Q2 2010-11 (Jul-Sep)",Full,COINS,Management information,(Resource AME excluding depreciation) + (Capital AME).,,,,
