BUSINESS PLAN QUARTERLY DATA SUMMARY - JULY 2011,,,,,,,,,,,,,,,,,

SPENDING,,,,,,,,,,RESULTS,,,,PEOPLE,,,

Budget,,,£million,,Common Areas of Spend,,Q4 2010-11,2010-11,,Input Indicators,Current,Previous,,Whole Department Family - Workforce Size ,,Current,Previous

,,,2010-11 Outturn,,Estate Costs,Total office estate (m2),"278,601","278,601",,"1  Additional cost of operations in Afghanistan, per Service person deployed (Previous=Q4 2009-10, Current available Q2)",..,"340,947",,"Payroll Staff
[Total full-time equivalent by]",Department and Agencies,"9,350","9,510"
Total Departmental Expenditure Limit (DEL),,,"33,561",,,Total cost of office estate (£million),91.7,91.7,,"2  Additional cost of new equipment (urgent operational requirements) for operations in Afghanistan, per Service person deployed  (Previous=Q4 2009-10, Current available Q2)",..,"56,632",,,Non-departmental public bodies,.,.
of which Resource DEL (excl. Depreciation),,,"25,391",,,Cost per FTE (£),"4,476","4,476",,3  Cost of standing military commitments / tasks and contingent operations per committed Service person  (Current available Q2),"..
Q2 2011-12",.,,,Department Family,"62,720","63,620"
Upto top 5 contributory elements,A. Service Personnel costs,,"9,687",,,Cost per m2 (£),329,329,,"4  Average percentage by which the cost of the MOD equipment programme varies compared to forecasts in year (%, Previous=Q4 2009-10, Current available Q2)",..,0.15%,,Average Staff Costs (£),,"34,422","33,132"
,B. Civilian Personnel costs,,"2,707",,Procurement,Total Procurement Spend (£million),"..
Q2 2011-12","22,100",,"5a  Cost of major force elements: Ship  (£million, Previous=Q4 2009-10, Current available Q2)",..,28,,"Contingent Labour
[Total full-time equivalent by]",Department and Agencies,"1,937","1,237"
,C. Infrastructure Costs,,"4,130",,,Price of standard box of A4 white copier paper (£/2500 sheets),8.17,7.7,,"5b Cost of major force elements: Brigade  (£million, Current available Q2)","..
Q3 2011-12",.,,,Non-departmental public bodies,,
,D. Inventory Consumption,,"1,929",,,Average price of energy (£/KWH),0.029,0.026,,"5c Cost of major force elements: Aircraft (fixed wing)  (£million, Previous=Q4 2009-10, Current available Q2)",..,6.5,,,Department Family,,
,E. Equipment Support Costs,,"5,343",,IT,Total 3rd Party ICT Cost (£million),"..
Q2 2011-12",812,,"5d Cost of major force elements: Helicopter (£million, Current available Q2)","..
Q3 2011-12",.,,Department and Agencies Only,,Current,Previous
Purchase of goods and services within Resource DEL,,,"2,460",,,Cost of desktop provision per FTE (£),"1,550","1,661",,"6  Cost / Benefit ratio of the major change and efficiency programmes being undertaken by Defence (UNIT, Previous=Q4 2009-10, Current available Q2)",..,1.75,,"Workforce Shape
[Total full-time equivalent by]",Administrative Assistants and Administrative Officers,"20,870","21,450"
Payroll within Resource DEL,,,"12,394",,Corporate Service Cost,Human Resources (£million),"..
Q2 2011-12",84.6,,"7a  Percentage of non-front line costs versus front line costs, split by Service: Royal Navy  (%,  Current available Q2)","..
Q2 2011-12",.,,,Executive Officers,"9,930","9,870"
Grants within Resource DEL,,,.,,,Finance (£million),"..
Q2 2011-12",194.5,,"7b  Percentage of non-front line costs versus front line costs, split by Service: Army (%,  Current available Q2)","..
Q2 2011-12",.,,,Higher and Senior Executive Officers,"16,680","16,690"
of which Capital DEL,,,"8,170",,,Procurement (£million),"..
Q2 2011-12",154.8,,"7c  Percentage of non-front line versus front line costs, split by Service: Royal Air Force (%, Current available Q2)","..
Q2 2011-12",.,,,Grade 7/6,"2,430","2,460"
Upto top 5 contributory elements,A.  SUME,,"4,803",,,Legal (£million),"..
Q2 2011-12",37.7,,"8  Direct personnel costs, per Service person (£thousand, Previous=Q4 2009-10, Current available Q2)",..,49,,,Senior Civil Servants,270,280
,B. Fiscal,,"3,367",,,Communications (£million),"..
Q2 2011-12",94.1,,"9  Direct personnel costs, per MOD civilian (£thousand, Previous=Q4 2009-10, Current available Q2)",..,33,,,Part Time (%),10.2,10.1
,C. Estate Disposals,,-31,,"Fraud, Error, Debt",Total Identified Fraud (£million),"1,025 incidents","1,592   incidents",,"10  Defence spending as a percentage of Gross Domestic Product (published NATO definition) (%, Previous=Q4 2009-10, Current available Q3)","..
Q3 2011-12",2.7,,Workforce Dynamics,Recruitment Exceptions,340,500
,D. Loan Repayments,,-11,,,Total known Errors (£million),.,.,,Impact Indicators,Current,Previous,,,Turnover Rate (%),2.7,3.6
,E. Non-departmental public bodies,,2,,,Total Debt (£million),"..
Q2 2011-12",170,,"1  Progress towards a stable and secure Afghanistan  (%, current = Q4 2010-11)",88,.,,"Workforce Diversity
[Total %]",Black and Minority Ethnic,3.3,3.3
Total Annually Managed Expenditure (AME),,,"15,306",,,Debtor Days,"..
Q2 2011-12",189,,2  Number of Service personnel deployed to support civil agencies (e.g. police and fire service) during emergencies  (current = Q4 2010-11),"3,241",.,,,Women,38.7,38.8
Upto top 5 contributory elements,A. Depn & Impairments,,"14,613",,Voluntary and community sector (VCS)/Small and medium enterprises (SME),Procurement spend with SME (£million),"..
Q2 2011-12",920,,3  Number of attaches and advisors deployed in support of conflict porevention and defence diplomacy activities (Number of personnel / Number of countries)  (current = Q4 2010-11),110 / 143,.,,,Disabled,7.7,7.6
,B. Creation of Provisions,,-110,,,Procurement spend with VCS (£million),"..
Q2 2011-12",151,,4  Number of Service and MOD civilian personnel deployed on all operations in a year  (current available Q2 2011-12),"..
Q2 2011-12",.,,"Workforce Diversity
[Senior Civil Servants only %]",Black and Minority Ethnic,.,.
,C. Cash release of Provisions,,-242,,,Grants to VCS (£million),"..
Q2 2011-12",,,"5  Number of Force Elements (typically ships, aircraft or groiund force sub-units) showing critical or serious weakness against the total number of Force Elements for Strategy for Defence priorities  (current = Q4 2010-11)",Aug-27,.,,,Women,21,19.3
,D. Financial Instruments (change in value),,50,,Major Projects (Top 5),,,Cost,,6  Average number of months that the MOD equipment programme is delayed in year  (current = Q4 2009-10),0.39,.,,,Women (Top Management Posts),18.6,19.7
,E. War Pensions Cost,,935,,Project A Typhoon (£million),,,"20,600",,"7  Percentage of Service personnel that are deployable   (%, current = Q4 2010-11)",92,.,,,Disabled,5,6.2
Financial Indicators,,Current,Previous,,Project B Future Strategic Transport Aircraft (£million),,,"11,900",,"8a  Percentage change in filling skills areas where there are insufficient trained Service personnel to meet the specified requirement by service: Royal Navy   (%, current = Q4 2010-11)",09/12/1947,.,,"Attendance
(Average Working Days Lost)",Actual,8,8.1
"Accuracy of Cash Forecasting ( +/-, %)",,13.47,4.89,,Project C Astute Submarine (£million),,,"6,700",,"8b  Percentage change in filling skills areas where there are insufficient trained Service personnel to meet the specified requirement by service: Army   (%, current = Q4 2010-11)",31/46/62,.,,,Standardised,8,8
Working Capital Forecast [% variance of Actual v Forecast],,.,.,,Project D Type 45 Destroyer (£million),,,"6,500",,"8c  Percentage change in filling skills areas where there are insufficient trained Service personnel to meet the specified requirement by service: Royal Air Force   (%, current = Q4 2010-11)",25/14/15,.,,Dept. & Agency only; People Survey Metrics,,Current,Previous
Net Book Value [% variance of Actual v Forecast],,.,.,,Project E Queen Elizabeth Class Aircraft Carriers (£million),,,"5,900",,"9  Percentage of Service personnel (Officers / Other Ranks) who are satisfied with Service life in general   (%, current = Q4 2010-11)",70 / 57,60 / 52,,Engagement Index (%),,58,59
,,,,,£m whole life cost of ALL major projects,,,"67,100",,"10  Overall favourability of the UK Armed Forces   (%, current = Q4 2010-11, previous = Q4 2009-10)",88,82,,Theme scores  (%),Leadership and Managing Change,25,25
,,,,,,,,,,Structural Reform Plan Actions,Q1 2011-12,Previous,,,My Work,73,75
