Department family,Entity,Entered On,Expense Type,Expense Area,Supplier Name,Voucher,SumOfAmount
Communities And Local Government,Queen Elizabeth II Conference Centre,06/11/2012,Marketing,Commercial,VOHM,17172,500
Communities And Local Government,Queen Elizabeth II Conference Centre,06/11/2012,Cost of Sales - Freelance Technicians,Interface,Coloured Red Productions Ltd,17174,600
Communities And Local Government,Queen Elizabeth II Conference Centre,06/11/2012,Cost of Sales - Freelance Technicians,Interface,NICK POWERS LTD,17176,225
Communities And Local Government,Queen Elizabeth II Conference Centre,06/11/2012,Cost of Sales - Freelance Technicians,Interface,Freelancer,17179,1000
Communities And Local Government,Queen Elizabeth II Conference Centre,06/11/2012,Cost of Sales - Freelance Technicians,Interface,Freelancer,17182,400
Communities And Local Government,Queen Elizabeth II Conference Centre,06/11/2012,Cost of Sales - Freelance Technicians,Interface,Freelancer,17183,400
Communities And Local Government,Queen Elizabeth II Conference Centre,06/11/2012,Cost of Sales - Freelance Technicians,Interface,JIM COUGHLAN VISUAL COMM. LTD,17184,600
Communities And Local Government,Queen Elizabeth II Conference Centre,06/11/2012,Business Rates,Administration,CITY OF WESTMINSTER,17186,50631
Communities And Local Government,Queen Elizabeth II Conference Centre,07/11/2012,Cost of Sales - Commission,Commercial,Pin Point Events,17199,2102.98
Communities And Local Government,Queen Elizabeth II Conference Centre,07/11/2012,Consultants,Commercial,WATTERSTON ASSOCIATES LTD,17200,1760.5
Communities And Local Government,Queen Elizabeth II Conference Centre,07/11/2012,Cost of Sales - Commission,Commercial,GALLUS EVENTS,17201,1145.8
Communities And Local Government,Queen Elizabeth II Conference Centre,07/11/2012,Electricity,Operations,EDF ENERGY,17202,35401.14
Communities And Local Government,Queen Elizabeth II Conference Centre,07/11/2012,Exhibitions,Commercial,CENTAUR EXIBITIONS LTD c/o CENTAUR HOLDINGS PLC,17203,2322
Communities And Local Government,Queen Elizabeth II Conference Centre,13/11/2012,Cost of Sales - Freelance Technicians,Interface,Freelancer,17205,400
Communities And Local Government,Queen Elizabeth II Conference Centre,13/11/2012,Cost of Sales - Freelance Technicians,Interface,Freelancer,17206,600
Communities And Local Government,Queen Elizabeth II Conference Centre,13/11/2012,Consultants,Commercial,Jude Cosway Consultancy Services,17208,1685
Communities And Local Government,Queen Elizabeth II Conference Centre,13/11/2012,Cost of Sales - Freelance Technicians,Interface,Freelancer,17214,400
Communities And Local Government,Queen Elizabeth II Conference Centre,13/11/2012,Cost of Sales - Freelance Technicians,Interface,Freelancer,17215,800
Communities And Local Government,Queen Elizabeth II Conference Centre,13/11/2012,Cost of Sales - Equipment Hire,Interface,FIRST NETWORK LTD,17217,367.4
Communities And Local Government,Queen Elizabeth II Conference Centre,13/11/2012,Maintenance,Operations,BARCLAYCARD PROCUREMENT CARD,17219,1342.83
Communities And Local Government,Queen Elizabeth II Conference Centre,13/11/2012,Maintenance,Operations,BARCLAYCARD PROCUREMENT CARD,17219,26.25
Communities And Local Government,Queen Elizabeth II Conference Centre,13/11/2012,Stationery,Event Management,BARCLAYCARD PROCUREMENT CARD,17219,388.89
Communities And Local Government,Queen Elizabeth II Conference Centre,13/11/2012,Travel,Interface,BARCLAYCARD PROCUREMENT CARD,17219,54.13
Communities And Local Government,Queen Elizabeth II Conference Centre,13/11/2012,Uniforms,Interface,BARCLAYCARD PROCUREMENT CARD,17219,24.87
Communities And Local Government,Queen Elizabeth II Conference Centre,13/11/2012,Mobile Phone Costs,Interface,BARCLAYCARD PROCUREMENT CARD,17219,20
Communities And Local Government,Queen Elizabeth II Conference Centre,13/11/2012,Consumables,Interface,BARCLAYCARD PROCUREMENT CARD,17219,466
Communities And Local Government,Queen Elizabeth II Conference Centre,13/11/2012,Membership Subscriptions,Interface,BARCLAYCARD PROCUREMENT CARD,17219,400
Communities And Local Government,Queen Elizabeth II Conference Centre,13/11/2012,Staff Expenses,Interface,BARCLAYCARD PROCUREMENT CARD,17219,6.98
Communities And Local Government,Queen Elizabeth II Conference Centre,20/11/2012,Cost of Sales - Commission,Commercial,Conference Search Ltd,17220,1060
