RECRUITMENT,,,,,,,,,,,,,,,
Department/organisation name,AO/AA (Headcount),AO/AA (FTE),EO (Headcount),EO (FTE),HEO/SEO (Headcount),HEO/SEO (FTE),Grade 6/7 (Headcount),Grade 6/7 (FTE),SCS level (Headcount),SCS level (FTE),Unknown/Other (Headcount),Unknown/Other (FTE),Total exemptions (Headcount),Total exemptions (FTE),Date of Update
BIS Core,4,4,4,4,16,15.4,9,9,1,1,1,1,35,34.4,Q1 & Q2 2012
Capital for Enterprise,,,1,,1,1,3,2.9,,,,,5,3.9,Q1 & Q2 2012
UKAEA,,,,,,,,,2,2,25,25,27,27,Q1 & Q2 2012
Competition Commission,5,5,4,4,1,1,20,19.6,3,3,12,12,45,44.6,Q1 & Q2 2012
Medical Research Council,30,30,11,11,49,49,3,3,,,92,92,185,185,Q1 & Q2 2012
EPSRC,,,,,1,1,,,,,15,14.6,16,15.6,Q1 & Q2 2012
Institute of Animal Health,,,,,,,,,,,42,41.2,42,41.2,Q1 & Q2 2012
IPO,11,11,,,,,2,2,,,,,13,13,Q1 & Q2 2012
Student Loan Company,,,,,,,,,,,66,66,66,66,Q1 & Q2 2012
ECITB,2,2,1,1,2,2,,,,,3,3,8,8,Q1 & Q2 2012
Skills Funding Agency ,,,8,8,11,11,2,2,,,,,21,21,Q1 & Q2 2012
