BUSINESS PLAN QUARTERLY DATA SUMMARY -  APRIL 2012,,,,,,,,,,,,,,,,,,

SPENDING,,,,,,,,,,,RESULTS,,,,PEOPLE,,,

Budget,,,£million,,,Common Areas of Spend,,Q3 2011-12,Q2 2011-12,,Input Indicators,Current,Previous,,Whole Department Family - Workforce Size ,,Current,Previous

,,,Q3 2011-12,Q3 2010-11,,Estate Costs,Total office estate (m2),QDS1 2012-13,QDS1 2012-13,,"1  Additional cost of operations in Afghanistan, per Service person deployed (Previous=Q4 2009-10, Current=Q4 2010-11)","397,263","340,947",,"Payroll Staff
[Total full-time equivalent by]
(current = at 31 Dec 2011, previous = at 30 Sept 2011)",Department and Agencies,"64,600","68,010"
Total Departmental Expenditure Limit (DEL),,,"8,760","9,483",,,Total cost of office estate (£million),QDS1 2012-13,QDS1 2012-13,,"2  Additional cost of new equipment (urgent operational requirements) for operations in Afghanistan, per Service person deployed  (Previous=Q4 2009-10, Current=Q4 2010-11)","61,368","86,211",,,Non-departmental public bodies,Not Applicable,Not Applicable
of which Resource DEL (excl. Depreciation),,,"6,664","7,165",,,Cost per FTE (£),QDS1 2012-13,QDS1 2012-13,,3  Cost of standing military commitments / tasks and contingent operations per committed Service person  (Current available Q4),QDS1 2012-13,not applicable,,,Department Family,"57,210","60,430"
Upto top 5 contributory elements,A: Social security costs (UK),,170,135,,,Cost per m2 (£),QDS1 2012-13,QDS1 2012-13,,"4  Average percentage by which the cost of the MOD equipment programme varies compared to forecasts in year (%, Previous= Q2 2011-12 Current=Q3 2011-12)",-0.41%,-0.24%,,"Average Staff Costs
(£, current = at 31 Dec 2011, previous = at 30 Sept 2011)",,"34,967","34,967"
,B: Staff - Other pension costs (UK),,602,479,,Procurement,Total Procurement Spend (£million),"5,104.00","5,014.00",,"5a  Cost of major force elements: Ship  (£million, Previous=Q4 2009-10, Current= Q4 2010-11)",31,28,,"Contingent Labour
[Total full-time equivalent by] 
(current = at 31 Dec 2011, previous = at 30 Sept 2011)",Department and Agencies,"1,597","1,380"
,C: Service element of PFI finance leases,,676,712,,,Price of standard box of A4 white copier paper (£/2500 sheets),11.69,9.27,,"5b Cost of major force elements: Brigade  (£million, Previous=Q4 2009-10, Current=Q4 2010-11)",534,not applicable,,,Non-departmental public bodies,3,1
,D: Wages & Salaries (UK),,"2,237","2,438",,,Average price of energy (£/KWH),0.042,0.041,,"5c Cost of major force elements: Aircraft (Fast Jets)  (£million, Previous=Q4 2009-10, Current=Q4 2010-11)",7,7,,,Department Family,"1,600","1,381"
,E: Other expenses,,"2,867","3,015",,IT,Total 3rd Party ICT Cost (£million),QDS1 2012-13,QDS1 2012-13,,"5d Cost of major force elements: Helicopter (£million, Previous=Q4 2009-10, Current=Q4 2010-11)",2,not applicable,,Department and Agencies Only,,Current,Previous
Purchase of goods and services within Resource DEL,,,"3,799","3,933",,,Cost of desktop provision per FTE (£),369,383,,"6  Cost / Benefit ratio of the major change and efficiency programmes being undertaken by Defence (UNIT, Previous=Q2 2011-12, Current available= Q1 2012-13)",QDS1 2012-13,6.35,,"Workforce Shape
[Total full-time equivalent by]
(%, current = at 31 Dec 2011, previous = at 30 Sept 2011)",Administrative Assistants and Administrative Officers,40.1,40.9
Payroll within Resource DEL,,,"3,168","3,141",,Corporate Service Cost,Human Resources (£million),9.81,11.51,,"7a  Percentage of non-front line costs versus front line costs, split by Service: Royal Navy  (%,  Current available Q2)",QDS1 2012-13,not applicable,,,Executive Officers,20,19.8
Grants within Resource DEL,,,44,51,,,Finance (£million),34.88,40.61,,"7b  Percentage of non-front line costs versus front line costs, split by Service: Army (%,  Current available Q2)",QDS1 2012-13,not applicable,,,Higher and Senior Executive Officers,34.2,33.9
of which Capital DEL,,,"2,096","2,319",,,Procurement (£million),23,25,,"7c  Percentage of non-front line versus front line costs, split by Service: Royal Air Force (%, Current available Q2)",QDS1 2012-13,not applicable,,,Grade 7/6,4.9,4.8
Upto top 5 contributory elements,A: Additions - (IT-HWE),,64,48,,,Legal (£million),1.96,1.92,,"8  Direct personnel costs, per Service person (£thousand, Previous=Q4 2009-10, Current=Q4 2010-11)",51,49,,,Senior Civil Servants,0.5,0.5
,B: Additions - Estates,,17,102,,,Communications (£million),9,11.12,,"9  Direct personnel costs, per MOD civilian (£thousand, Previous=Q4 2009-10, Current= see note 9)",not applicable,not applicable,,,Part Time,10.3,10.7
,C: Additions - Single Use Military Equipment Intangibles,,455,277,,"Fraud, Error, Debt",Total Identified Fraud (£million),not applicable,not applicable,,"10  Defence spending as a percentage of Gross Domestic Product (published NATO definition) (%, Previous=FY 2010-11, Current=FY 2011-12)",2.7,2.7,,Workforce Dynamics,"Recruitment Exceptions (current = Q3  2011-12, previous = Q2 2011-12)",250,255
,D: PoA & AuC,,496,642,,,Total known Errors (£million),not applicable,not applicable,,Impact Indicators,Current,Previous,,,"Annual Turnover Rate (%, current = at 31 Dec 2011, previous = at 30 Sep 2011",Not Applicable,Not Applicable
,E: Single Use Military Equipment,,"1,004",982,,,Total Debt (£million),109.2,122,,"1  Progress towards a stable and secure Afghanistan  (%, current = Q4 2010-11)",88,not applicable,,"Workforce Diversity
[Total]
(%, current = at 31 Dec 2011, previous = at 30 Sept 2011)",Black and Minority Ethnic,3.6,3.5
Total Annually Managed Expenditure (AME),,,-510,204,,,Debtor Days,28.6,30.75,,2  Number of Service personnel deployed to support civil agencies (e.g. police and fire service) during emergencies  (current = Q4 2010-11),3241,not applicable,,,Women,37.7,38.3
Upto top 5 contributory elements,A: Provision for Legal Claims (LC),,27,34,,Voluntary and community sector (VCS)/Small and medium enterprises (SME),Procurement spend with SME (£million),QDS1 2012-13,QDS1 2012-13,,3  Number of attaches and advisors deployed in support of conflict prevention and defence diplomacy activities (Number of personnel / Number of countries)  (current = Q4 2010-11),110/143,not applicable,,,Disabled,QDS1 2012-13,QDS1 2012-13
,B: Unwinding of discount in provisions,,20,2,,,Procurement spend with VCS (£million),QDS1 2012-13,QDS1 2012-13,,4  Number of Service and MOD civilian personnel deployed on all operations in a year  (previous= Q2 2011-12 current=Q3 2011-12),13077,12672,,"Workforce Diversity
[Senior Civil Servants only]
(%, current = at 31 Dec 2011, previous = at 30 Sept 2011)",Black and Minority Ethnic,2.6,3
,C: Provision for Nuclear decom (NDC),,-651,10,,,Grants to VCS (£million),QDS1 2012-13,QDS1 2012-13,,"5  Number of Force Elements (typically ships, aircraft or groiund force sub-units) showing critical or serious weakness against the total number of Force Elements for Strategy for Defence priorities  (current = Q4 2010-11)",Aug-27,not applicable,,,Women,20.7,20.5
,"D: Property, plant & equip impairment - other imparments",,371,298,,Major Projects (Top 5),,,Cost,,6  Average number of months that the MOD equipment programme is delayed in year  (Previous= Q2 2011-12 Current Q3 2011-12),1.76,0.73,,,Women (Top Management Posts),Not Applicable,16.2
,E: Social Assistance Benefits,,227,0,,Typhoon (£million),,,"20,600.00",,"7  Percentage of Service personnel that are deployable   (%, current = Q4 2010-11)",92,not applicable,,,Disabled,QDS1 2012-13,QDS1 2012-13
