FREEDOM OF INFORMATION,,
MOD Requests to 25 February 2011,,
"CIO-CI-Access Team, Ministry of Defence, CIO-FOI@mod.uk",,

Case Number,Date Due,Request Summary
31-01-2011-093952-001,25/02/2011,Documentation relating to each of the approved applications to extend the service of soldiers beyond the age of 55 with the Home Service Battalions of the Royal Irish Regiment between 2005 and 2007.
31-01-2011-095539-001,25/02/2011,Details of reported UFO sightings over New Zealand during the last decade
31-01-2011-100840-002,28/02/2011,"A briefing authored by the Chief of the Air Staff, regarding the possibility of The Royal Marines, the Ghurkhas and the Parachute Regiment becoming part of the RAF."
31-01-2011-102205-003,08/03/2011,Access to the following document - Piece Reference: DEFE 19/146 Scope and content: Nuclear Terrorism covering dates: 01 January 1974 - 31 December 1975
31-01-2011-104004-004,28/02/2011,A list of locations selected in tandem with the USAF as potential or confirmed dispersal sites for the launch of GL Nuclear Weapons
31-01-2011-105246-005,28/02/2011,Full contents of the 'short study' announced in the SDSR 2010 that resulted in the decision to retain HMS Ocean rather than HMS Illustrious in service to provide the landing platform.
31-01-2011-110145-006,28/02/2011,"Information relating to the trials of the various Ridgeback variants, which were due to begin in October 2009."
31-01-2011-111026-001,25/02/2011,Information on public safety issues relating to continued MOD use of the Southampton Eastern Docks Operational Berth.
31-01-2011-111210-007,28/02/2011,Details of charges made to occupants of MODern Housing Solutions housing for damage in each financial year since 1997. 
31-01-2011-112936-008,25/02/2011,Daily Opsums in Northern Ireland for 12 - 14 Nov and 4 - 7 Dec 71.
31-01-2011-121632-010,28/02/2011,"At Senior Civil Service and Band B levels, how many MOD civilian staff have formal home-working arrangements; i.e. could be described as home-workers for most or all of their conditioned hours? "
31-01-2011-144958-001,25/02/2011,Information that relates to an application made to the MOD on the 16th January 2011for registration and access to the Defence News Imagery website.
31-01-2011-145506-001,28/02/2011,"Aerial photographs of the coastline of the County Durham region taken prior to 1960, possibly during the Second World War."
31-01-2011-150947-003,28/02/2011,"The manufacturing specification the RAF lightweight boot,  outlining the parts and processes to be used."
31-01-2011-152131-004,28/02/2011,"File held in the National Archives ref DEFE 64/68 titled Cyprus: oil"" covering 01 January 1970 - 31 December 1970 with maps."
31-01-2011-152738-005,28/02/2011,What is the annual running costs of Southampton University Air Squadron?
31-01-2011-154130-006,28/02/2011,What was the cost to the taxpayer of running RAF Odiham families day in 2010?
31-01-2011-155959-007,28/02/2011,Information about how the MOD is taking forward the recommendations of the Haddon Cave Review in the context of the MOD nuclear propulsion and weapon programmes.
31-01-2011-160416-001,24/02/2011,The amount of money spent by the MOD paying for the school fees of (i) the relatives of civil servants and (ii) the members of the armed forces for (a) 2009/2010 and (b) 2010/2011.
31-01-2011-160520-008,25/02/2011,Information on the connections a specified individual has with the  Armed Forces and how they came to hold such a prestige role at the SPVA.
31-01-2011-162250-009,28/02/2011,Information on whether the department or any of its agencies give pseudonymous names to staff
31-01-2011-163038-010,28/02/2011,Request for report from 1972 entitled :Helicopter external load trials with the RM rigid raiding craft.
31-01-2011-171519-001,28/02/2011,Request whether there has been previous complaints to the MOD or court cases involving the MOD concerning a formerly secret nuclear bunker
01-02-2011-095541-001,28/02/2011,What is the budget for the Absence Recovery Warrant Officers?
01-02-2011-095942-002,28/02/2011,All documents relating to Operation Photoflash
01-02-2011-113728-003,25/02/2011,"Information on the trip to Washington USA made last year by the MOD's Head of the Defence Fuels Group along with her husband, at the invitation of BP."
01-02-2011-114158-004,25/02/2011,A copy of the JIC report on the IRA in Eire. The references on the national archives website are: Piece reference: DEFE 31/157
01-02-2011-114741-005,01/03/2011,"What percentage of senior military  personnel at a rank of Major General, Brigadier, Colonel [full] or equivalent (or above) in the Army, Royal Navy or Royal Air Force have been women since 1990."
01-02-2011-120004-001,01/03/2011,"Follow on question to response received, seeking Dec 2010 figures on dogs killed in service"
01-02-2011-121706-006,01/03/2011,"Information relating to any meetings in the last two years between: Sir Bill Jeffrey, or Ursula Brennan, with a number of individuals."
01-02-2011-145347-001,01/03/2011,4 Questions concerning the RAF's use of Dunsfold Park.
01-02-2011-150307-001,01/03/2011,Information on the outcome of the Green Paper of 2002 concerning the use of Private Military Companies by the British Government.
01-02-2011-153208-002,01/03/2011,How many new ministerial red boxes your department has purchased from 1st May 08 to present.
01-02-2011-153536-003,01/03/2011,Copy of the Air Training Corps ACP 16. 
01-02-2011-153951-004,01/03/2011,Total figure for people in the armed forces who are under the age of 18 years old as of 31st January 2011.
01-02-2011-155000-005,01/03/2011,The rank and trade of all airmen/airwomen discharged from the RAF for sexual offences between 1 Feb 2010 and the present.
01-02-2011-170920-007,01/03/2011,What estimates or assessments has the MOD made since 5 May 2010 of the cost of bringing British Army personnel and their families back from Germany?
02-02-2011-101617-001,02/03/2011,"Which schools and how often, recruiters for the Army, Royal Navy and Air Force have visited over the past 3 years.  "
02-02-2011-102143-002,01/03/2011,What is the Army doing about improving non-operational mental heath of the Army?
02-02-2011-111915-003,02/03/2011,Please supply the crime statistics for the British Army in 2010.
02-02-2011-125616-001,02/03/2011,4Qs regarding US cluster bombs kept and used from UK sites.
02-02-2011-131046-002,02/03/2011,Please provide the number of severe weather warnings issued on an annual basis for the UK.
02-02-2011-132140-003,02/03/2011,MOD research and development expenditure figures for the years 1980-2010 and predicted expenditure figures for 2011on biological warfare and antiviral research figures.
02-02-2011-135307-004,02/03/2011,"How much the MOD has spent on research and development, or has been allocated funding for research and development for specified years"
02-02-2011-140306-005,02/03/2011,"Information contained in file reference DEFE 19/146 (formerly DCA(PN)16/25/1 PART 1) and any additional reports, papers or internal correspondence dealing with the issues of nuclear security and nuclear terrorism."
02-02-2011-145110-001,03/02/2011,Review of operations at Coulport and AWE
02-02-2011-153622-006,02/03/2011,"The number of untrained Army soldiers who left during phase 1 and phase 2 training and the % breakdown for the reasons for discharge to include medical, SNLR and any other categories recorded."
02-02-2011-163458-001,21/02/2011,Speeches made by previous Secretaries of State for Defence and their junior ministers from 1997 onwards. 
02-02-2011-165321-002,23/02/2011,Information recorded by members of the British BRIXMIS mission 
03-02-2011-091158-001,02/03/2011,Information about how MOD responded to the findings in the HSE report Safety audit of Dounreay1998 - Final report 2001
03-02-2011-091834-002,02/03/2011,"Request for information between BAE Systems and the MOD detailing any problems with the production of the Nimrod MRA4,"
03-02-2011-092728-003,02/03/2011,"The number of untrained Army soldiers who left during phase 1 and phase 2 training and the % breakdown for the reasons for discharge to include medical, SNLR and any other categories"
03-02-2011-093300-004,02/03/2011,I would like to know about the use of the drug Adalimumad (Humira) within the British forces.
03-02-2011-094517-005,03/03/2011,"What was the damage and  the cost of repairs after the grounding of HMS Astute off Skye on October 22, 2010. "
03-02-2011-095825-006,02/03/2011,Information in regard to the number of flyovers in UK airspace of unmanned aerial systems in the last three years.     
03-02-2011-113307-007,03/03/2011,How many complaints of harassment and bullying are currently recorded by MOD civilian staff? In how many cases is MOD awaiting the appointment of a Harassment Investigation Officer?
03-02-2011-114154-008,02/03/2011,Weather forecast data and the measured data relevant to each forecast and the Brier score
03-02-2011-122423-009,03/03/2011,"How many members of the Armed Forces were categorized under PStat 1 and PStat 2 at the end of 2010, 2009, 2008, 2007 and 2006"
03-02-2011-151720-002,03/03/2011,What was the outcome of the enquiry into the sell-off of HMS Coventry and HMS London for scrap?
03-02-2011-152759-003,01/03/2011,Information relating to any meetings over the last two years between General Sir Kevin O'Donoghue and list of specified individuals
03-02-2011-163544-004,03/03/2011,Information on the decision to close the barrier gap on Emperor way. 
03-02-2011-170326-005,03/03/2011,Information on harassment and bullying complaints in MOD by civilian staff.
03-02-2011-173219-006,03/03/2011,Copy of the Invalidation Report for the Army Physical Training Corp Specialist Instructional Officer - Continuation Processional Development & Physical Training Instructor Fitness Vocational Standards
03-02-2011-173722-007,03/03/2011,"Information on whether Ladybird Books made a copy of ""How it Works - The Computer"", for the MOD?"
03-02-2011-194343-001,21/02/2011,"Did the RAF/Air Ministry implement a program of air sampling in the vicinity of its Libyan airfield El Adem, during the French Sahara A bomb tests of 1960/62?"
04-02-2011-101522-001,03/03/2011,I wish to find out the place of birth/nationality of personnel in Scottish units of the British Army
04-02-2011-104219-002,03/03/2011,The cost of bullets and cartridges claimed for vermin control in the Defence Estates South East region between financial years 07/08 - 09/10.
04-02-2011-104604-001,03/03/2011,The number of serving personnel in the British armed forces broken down into regiments/Corps.
04-02-2011-110147-003,03/03/2011,Information on the ace high satellite dishes in stenigot.
04-02-2011-112537-004,04/03/2011,What were the 50 most expensive substitute (a) service family and (b) single living accomMODation properties rented out in 2010?  Please supply the answer set out as per parliamentary question 310252.
04-02-2011-112747-002,04/03/2011,The number of serving personal in the British armed forces broken down into regiments/Corps.
04-02-2011-122042-005,04/03/2011,Information on closer defence cooperation between the UK-Norway over the coming year and into the future
04-02-2011-142750-001,03/03/2011,Agreement/Correspondence with TU as to requirement to deploy additional Weapon System & requirement to were Ballistic Protection since Mar 09 to present day.
04-02-2011-143226-002,03/03/2011,"Met Office and translations of its forecasts, from English"
04-02-2011-145240-004,04/03/2011,Information about the amount of land under MOD ownership.
04-02-2011-151056-006,04/03/2011,Information on ICT frameworks currently being utilised across the public sector.
04-02-2011-152117-007,04/03/2011,Information on whether the Government has carried out assessment into replacement of the Trident Nuclear Weapons system
04-02-2011-152818-008,03/03/2011,Information on Ghurkha soldiers who married women of non-Nepali origin 1981 - 1997
04-02-2011-152929-009,04/03/2011,"Rank and trade of all RAF personnel convicted of sexual offences, between 1 Feb 2010 and the present date."
04-02-2011-153949-001,02/03/2011,PST statistics for the following period 31st July 2010 and 31st January 2011.
04-02-2011-154613-002,22/02/2011,Information relating to a group of 115 servicemen  who attended Porton Down where they were injected with and inhaled the bacterial endo toxin Pyrexal. 
04-02-2011-163749-010,04/03/2011,Information on Armed Forces personnel who have been convicted of violent or sexual offences are still employed in the armed forces.
04-02-2011-151459-001,24/12/2010,Please disclose the number of individuals and total cost of (i) interim managers (ii) specialist contractors (iii) consultants and (iv) agency staff employed by your department in each of the last three financial years.
07-02-2011-092812-001,04/03/2011,What aircraft type was used during the Anthrax bomb trials to kill off German livestock in WWII?
07-02-2011-093121-001,02/03/2011,Information in relation to the status of Cadet Adult Volunteers under the Safety at Work Act 1974.
07-02-2011-094509-002,07/03/2011,Details of ministerial training undertaken through the National School of Government in each year since 2005.
07-02-2011-100935-003,07/03/2011,American losses over Germany 1944 - Which course did aircrafts take from Thurleigh Airfield/Bedfordshire to their targets Berlin and Rostock? 
07-02-2011-101455-004,07/03/2011,Information on RAF Pilot who was killed in a flying accident over Northumberland in September 1957 
07-02-2011-102854-005,07/03/2011,Expenditure by MoD on keyboards and mice from 2008-2010
07-02-2011-111333-007,07/03/2011,"Copies of all correspondence between the Met Office and Chancellor of the University of East Anglia, since 1st January 2005."
07-02-2011-112640-008,07/03/2011,Information on an ongoing service complaint xxxxxxxx that has been rejected by the Pay  and  Allowances Casework and Complaints Cell
07-02-2011-123202-001,07/03/2011,Please provide the total budget for the Royal Navy for this financial year and that of last year.
07-02-2011-124613-002,07/03/2011,Why is the Allowance for Lower Standard of Occupation to be cut from 1 April 2011?
07-02-2011-130816-003,28/02/2011,"Information on the relationship between the Chief of the Defence staff (and subordinates: Vice Chiefs, Deputy Chiefs+) and the Chief of the General Staff (and subordinates: Adjutant General +).  "
07-02-2011-133552-001,07/03/2011,"Information on MDP, MGS and the MPGS and private sector involvement."
07-02-2011-145956-002,07/03/2011," The number of members of the armed services to receive treatment at the neurological rehab unit at Hedley Court, in each of the past three years. What are the annual overall costs of treatment. "
07-02-2011-151011-003,07/03/2011,"The number of complaints of bullying at each of the Army's, Royal Navy's and Royal Air Force's UK bases in the past three calendar years."
07-02-2011-151300-004,07/03/2011,"How many soldiers have gone AWOL since the start of the Afghanistan war (Oct 2001). Provide separate figures for each year and, of these, how many are still missing."
07-02-2011-151809-005,07/03/2011,"How many members of the Territorial Army have left since the start of the invasion of Afghanistan.  Provide separate figures for those that retired, left for medical reasons, quit, and other. "
07-02-2011-152609-006,07/03/2011,"The annual sums paid to the Priory Group for patient care since December 2003, and the number of people treated each year. "
07-02-2011-153551-007,07/03/2011,Data on artillery systems - the approximate cost per round of standard HE ammunition for Britain's current artillery platforms
07-02-2011-171620-008,07/03/2011,"What was the department's monthly salary bill (the amount paid in respect of salary, National Insurance and PAYE to civil servants) for May 2010 and for January 2011."
08-02-2011-090116-001,08/03/2011,Please define the word 'movement' of fixed wing aircraft as applied to RAF Cosford.
08-02-2011-093641-001,03/03/2011,Current status of OPCW UK
08-02-2011-094529-002,21/02/2011,A copy of the Inquiry report into the death of xxxxxxxx
08-02-2011-100354-003,04/03/2011,"Dismissals conducted by operating the medical and dismissal procedures simultaneously, rather than consecutively as set out in DSTL procedures in 2010."
08-02-2011-111500-004,08/03/2011,"Amount spent on private education for the children of military, home office and foreign office personnel in 2009 and 2010."
08-02-2011-113638-005,08/03/2011,"Pay range, allowances and normal working hours of London-based Fast Streamer civil servants at your Department"
08-02-2011-130259-006,08/03/2011,All communications held by the MoD relating to concerns about British-run prisons in Iraq or Afghanistan.
08-02-2011-135544-001,08/03/2011,"Please provide all information regarding repair, maintenance and complaints in relation to a SFA."
08-02-2011-141537-001,07/03/2011,Information on a possible operational radar installation at RAF Lossiemouth during February 1954
08-02-2011-143020-002,08/03/2011,Please provide the names of medical officers who served in support of the JFIT in south east Iraq.
08-02-2011-145912-003,08/03/2011,"The status, rules and regulations relating to the wrecks of UK vessels in deep water off Norway."
08-02-2011-150611-004,08/03/2011,"Given procedures to send certain amputee soldiers to America for work on their prosthetics, what provisions are there to ensure servicemen continue to receive state of the art prosthetic care when they become subject to the provisions of their local Primary Care Trust."
08-02-2011-151535-005,08/03/2011,Detailed map of Ascension island in the south Atlantic. The map number is DOS 327 1:2400 scale provided by Radar and Associates 1962.
08-02-2011-153257-006,08/03/2011,"	Values of monies spent on promotional services between 1/1/06 to 1/1/11. A breakdown by Directorates/ sub Department of this spend for each of the above years."
08-02-2011-163837-007,04/03/2011,Was the wording of clause 2 standard or exceptional? What would MOD's reaction be of learning that a restrictive covenant is to be contravened?
09-02-2011-084332-001,04/03/2011,The number of Army personnel who have been convicted by Court martial of desertion in 2009.
09-02-2011-091346-001,08/03/2011,Information regarding RAF Leuchars.
09-02-2011-092917-001,08/03/2011,Information regarding Governance and Accounting Practice of Cadet Forces
09-02-2011-094912-002,05/01/2011,How much annual leave did Flt Lt William Wales take to attend the World Cup 2018 announcement in Zurich.
09-02-2011-102055-002,07/02/2011,Please supply information on xxxxxxxxxxxxxx medal entitlement relating to his service in the RAFVR during WW2.
09-02-2011-102814-003,02/03/2011,Information on whether a job vacancy was recruited with fair and open competition.
09-02-2011-103730-004,04/03/2011, Information on how many casual appointments or fixed term workers within the AWE division (if any) completed their tenure
09-02-2011-131313-005,07/12/2010,A copy of the minutes of the meeting in which the PM and the Secretary of State for Air discussed the answer that would be given to a specified Labour MP when he voiced public approval for recognition to Airlift personnel.
09-02-2011-135117-001,02/03/2011,How many applications were received for a vacancy and how many applicants were called for interview?
09-02-2011-145302-001,09/03/2011,Information about Agusta Westland's integrated operational support contracts. 
09-02-2011-145948-002,08/03/2011,Information on a relative who was interned as 'an enemy alien' on the Isle of Man during the British (protective) occupation of the Faroe Islands
09-02-2011-152224-003,09/03/2011,Information on vehicle movements to and from the Ammunition Compound AC Chelsfield at Shacklands Road.
09-02-2011-152748-004,08/03/2011,"Information relating to an underground structure occupying part of Bourn Airfield, Bourn, Cambridgeshire."
09-02-2011-155127-005,01/03/2011,Information on the RAF and Dunsfold Park.
09-02-2011-164539-006,09/03/2011,How much did the MOD spend on Technical Support in 2009/10 and to date in 2010/11?
09-02-2011-164913-007,09/03/2011,"How much did the MOD spend on external professional services, either on consultancy or other spend, in 2009/10 and so far in 2010/11?  On what services e.g.., legal, technical, management consultants, is this money spent?"
09-02-2011-164913-001,08/03/2011,Please provide a break-down of all the items sold by the MoD/DE&S Disposal Services Authority for the auction that concluded on Jan 31st.
09-02-2011-165354-008,09/03/2011,"From April 2010 to present how many allegations of bullying and harassment were made by MOD employees against other MOD staff, either civilian or military?"
09-02-2011-165712-009,09/03/2011,What has been the cost of employing contractors in the Naval Base Design Department at HMNB Clyde from 2007 - present.
09-02-2011-170240-010,09/03/2011,"How much did the MOD spend on External Assistance, broken down by TLB areas, in 2009/10 and so far in 2010/11?"
09-02-2011-172240-011,09/03/2011,Information on Falklands War.
09-02-2011-172821-012,09/03/2011,"Photographs of RAF Greenwood in Nova Scotia, during the years 1942- 44."
10-02-2011-094956-001,09/03/2011,"Copies of ""Babcock Event No 19720: Failure to Reinstate Primary Safety Systems"" and ""Nuclear Propulsion Project Team, Organisation for Delivery of Nuclear Safety by the Approval Authority role""."
10-02-2011-095457-002,09/03/2011,Information on the deployment and ports of call of the ships that xxxxxxxx served on from 1976 to 1999.
10-02-2011-100253-003,09/03/2011,"	How many employees does your organisation have? 	Does your organisation deal with stress in the workplace in a proactive way?"
10-02-2011-101129-004,09/03/2011,"Copy of the most recent version of MoD publication ""BR20 - Flags of All Nations"" in electronic format."
10-02-2011-104406-001,09/03/2011,Information regarding the number of low flights over the proposed Brunta Hill wind farm site.
10-02-2011-121444-005,10/03/2011,"What is army protocol in the event of a soldier's death in battle, in particular; how the family and media are informed"
10-02-2011-131133-001,10/03/2011,Information relating to the training programme for High Threat Improvised Explosive Device Disposal Operators. 
10-02-2011-131411-002,10/03/2011,List of files on the subject of the employment or future of the Women's Royal Naval Service or women serving at sea for the period 1988 to 1993.
10-02-2011-132404-003,10/03/2011,"List of papers which went to the Admiralty/Navy Board or its standing committee between 1977 and 1993 on personnel issues for regular (RN and WRNS) or reserve forces, including the Royal Fleet Auxiliary "
10-02-2011-132907-004,10/03/2011,Copies of annual reports from the Director of Naval recruiting to either Director General Naval Manning and Training or to Second Sea Lord for the period 1985-1989.
10-02-2011-135825-001,10/03/2011,Information held by AWE plc relating to safety induction training for construction contractors at AWE Burghfield. 
10-02-2011-140410-001,10/03/2011,Details on how many servicemen and women were dishonourably discharged from RAF Lyneham and Buckley Barracks in Hullavington between 2005 and 2010.
10-02-2011-142028-002,10/03/2011,Is the MoD currently paying any money to any trade union? Has the MoD paid any money to trade unions since 1997?
10-02-2011-144538-001,18/02/2011,Information on Helicopter Landing Site Surveys carried out by Mobile Air Operations Team for the Helicopter Landing Site Survey at the Royal Wolverhampton School
10-02-2011-145016-002,08/03/2011,Information regarding an alleged incursion into the local sensitive area accorded to Eyton Hall on the 5th January 2011
10-02-2011-164947-006,10/03/2011,Details of compensation paid by the MOD to Afghan civilians for the year 2010.
10-02-2011-170958-007,10/03/2011,Latest amended versions of the following contracts: SCMPH/201 - Surface Ship Support Alliance Agreement; N/SUB2/70173 - Submarine Engineering Support; Contract N/SUB2/70149 - 
10-02-2011-172054-001,28/02/2011,"Documentation relating to each of the approved applications, where between 2005 and 2007 over 20 applications were approved by the MOD to extend the service of soldiers beyond the age of 55 with the Home Service Battalions"
11-02-2011-093500-001,10/03/2011,"Information regarding the cash/UFO incident in Dayton, Texas, USA on December 29th 1980, that has been shared with you."
11-02-2011-094357-002,10/03/2011,"The names of any schools or other educational institutions in Iraq where buildings or land were used by UK military personnel for a military purpose, including as command posts, barracks, bases, detachments, supply depots."
11-02-2011-095534-003,11/03/2011,How much was spent on boarding school allowance in financial year 2009 -2010 and 2010 -2011.
11-02-2011-100959-004,11/03/2011,"How much was spent on Renting accommodation for the armed services in the following financial years 2008 -2009, 2009- 2010  and  2010 -2011"
11-02-2011-101316-005,11/03/2011,How much was paid by the in flying pay in the years 2008 -2009  and  2009 -2010  and  2010 -2011.
11-02-2011-123944-006,11/03/2011,"Copy of EMR (Estate Management Review) and DIO (Defence Infrastructure Organisation) in Paderborn, Germany "
11-02-2011-124624-007,11/03/2011,Information regarding the Nation Defence Medal [NDM]
11-02-2011-125237-008,11/03/2011,"Information on the Joint Services Intelligence Organisation, operating out of the Defence Intelligence and Security Centre (DISC)"
11-02-2011-135638-001,10/03/2011,"Number of female soldiers sent home from Op Herrick due to pregnancy broken down month by month, tour by tour or year by year"
11-02-2011-145231-002,11/03/2011,"Detailed information regarding the Directorate of Targeting Information Operations (DTIO) including history, structure, activities, performance, staffing."
11-02-2011-145852-003,11/03/2011,Information on a lynx crash that occurred in France on the 17th Sept 1986
11-02-2011-160043-001,09/03/2011,"Copy of a report regarding the weight of equipment and muscular skeletal injuries, provided by AWE Div to Wethersfield approximately 18 months ago."
11-02-2011-160934-002,24/02/2011,Information on Operation SANDCASTLE 
11-02-2011-161358-004,28/02/2011,What are the current bursary costs for military officer’s children? How many children of military officers are at Public Boarding Schools? How long have these military officers been on overseas operational service in relation to the Public Boarding School terms?
11-02-2011-161840-003,09/03/2011,"Information on permanent staff in Bands D, C2 and C1 at Sealand within the DARA and DSG and IT systems"
14-02-2011-095915-001,11/03/2011,"Statistics concerning Army recruitment in specific areas of the country, for example how many people joined the Army who were from Sunderland between 2000-2010. "
14-02-2011-101446-002,11/03/2011,"Details of all Navy, RAF and British Army personnel who have undergone Human Intelligence training courses at the DISC, Chicksands, in the years 2008-2010"
14-02-2011-101953-003,11/03/2011,Information pertaining to service accommodation for entitled personnel posted at RAF Honington with estates managed by Defence Estates Operations
14-02-2011-103106-004,14/03/2011,Information on HMS Moravia
14-02-2011-104817-005,14/03/2011,Deliberations and reports reference:1981 Defence Review (White Paper) - Also known as the Nott Report. 
14-02-2011-111807-001,14/03/2011,Unpublished version of annual report.
14-02-2011-112840-006,14/03/2011,Copy of Partnering Agreement CHC/087entered into in 2006 between MOD and the Boeing company relating to through life contract support of the Chinook Helicopter Fleet
14-02-2011-113613-007,14/03/2011,Information the MoD has on the specific term 'Solar Warden'. 
14-02-2011-115021-001,11/03/2011,"Copies of ""Babcock Event No 19720: Failure to Reinstate Primary Safety Systems"" and ""Nuclear Propulsion Project Team, Organisation for Delivery of Nuclear Safety by the Approval Authority role"
14-02-2011-115046-008,14/03/2011,"How many guns, bullets grenades, weapons and other military ordinance has been stolen over the last three years. Dating back to February 2008."
14-02-2011-131123-009,14/03/2011,"Copy of Non-Proliferation file Reference: ES 13/116, Covering dates: 1977 Jan 01 - 1977 Dec 31 "
14-02-2011-132238-001,14/03/2011,"Copy of the current policy on the care of under-18s in the armed forces, including the rules and process by which a recruit under the age of 18 may request permission to leave."
14-02-2011-154627-001,12/01/2011,Results of swab tests for the requester and advise whether any biological and chemical agents or radioactive substances were present.
