Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Supplier Type,Expenditure Type
DCLG,The Planning Inspectorate,02/03/2012,Learning & Development Materials,Library & Decision Letter Library,THOMSON REUTERS,6800077857 CR 6650007838,"-1,890.00",Large,Running cost
DCLG,The Planning Inspectorate,07/03/2012,Maintenance & Support,Information Services,VIGLEN LTD,2295318/CR116090,-876.00,Large,Running cost
DCLG,The Planning Inspectorate,02/03/2012,Specialist Contractors,NSI Fees,SIMON MILES PLANNING,PINS/2012/02,507.95,Micro,Running cost
DCLG,The Planning Inspectorate,09/03/2012,Learning & Development Materials,Library & Decision Letter Library,THOMSON REUTERS,801543629,515.00,Large,Running cost
DCLG,The Planning Inspectorate,20/03/2012,Specialist Contractors,NSI Fees,JOHN BENTLEY,6,524.21,Micro,Running cost
DCLG,The Planning Inspectorate,19/03/2012,Specialist Contractors,NSI Fees,D ROGER DYER,657,537.60,Micro,Running cost
DCLG,The Planning Inspectorate,06/03/2012,Specialist Contractors,NSI Fees,IMCH PLANNING & DEVELOPMENT CONSULTANCY,01/03,538.09,Micro,Running cost
DCLG,The Planning Inspectorate,06/03/2012,Specialist Contractors,NSI Fees,E C PLANNING & CONSERVATION LTD,40,560.00,Micro,Running cost
DCLG,The Planning Inspectorate,20/03/2012,Specialist Contractors,NSI Fees,H J L PLANNING,PI/057/MARCH 12(1),560.00,Micro,Running cost
DCLG,The Planning Inspectorate,01/03/2012,Staff Training & Development,Business Planning & Finance,BPP BRISTOL,SIBRS038938,562.50,Large,Running cost
DCLG,The Planning Inspectorate,19/03/2012,Maintenance & Support,Information Services,IGRAFX,E10692,594.00,Large,Running cost
DCLG,The Planning Inspectorate,20/03/2012,Specialist Contractors,NSI Fees,K2,22,599.27,Micro,Running cost
DCLG,The Planning Inspectorate,19/03/2012,Advertising,Rights Of Way,PENNA PLC,429806,620.56,Large,Running cost
DCLG,The Planning Inspectorate,06/03/2012,Specialist Contractors,NSI Fees,ALISON ROLAND TOWN PLANNERS LTD,2012/08,632.40,Micro,Running cost
DCLG,The Planning Inspectorate,08/03/2012,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,A-24348225,650.30,Large,Running cost
DCLG,The Planning Inspectorate,16/03/2012,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,A-24381872,650.30,Large,Running cost
DCLG,The Planning Inspectorate,23/03/2012,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,A-24415049,650.30,Large,Running cost
DCLG,The Planning Inspectorate,19/03/2012,Specialist Contractors,NSI Fees,CAMBRIDGE PLANNING SERVICES,015,672.00,Micro,Running cost
DCLG,The Planning Inspectorate,08/03/2012,Specialist Contractors,NSI Fees,DAVIES J,4/2012,672.00,Micro,Running cost
DCLG,The Planning Inspectorate,16/03/2012,Specialist Contractors,NSI Fees,MATTOCKS,PINS 7,672.00,Micro,Running cost
DCLG,The Planning Inspectorate,19/03/2012,Specialist Contractors,NSI Fees,WILLIAM FIELDHOUSE,WF/NSI/2012-6,672.00,Micro,Running cost
DCLG,The Planning Inspectorate,22/03/2012,Specialist Contractors,NSI Fees,WRIGHT PLANNING,PINS Invoice 6,672.00,Micro,Running cost
