Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction number,Amount in Sterling
Communities & Local Government,GO,01/07/2010,Agency Staff,GONW,REED SPECIALIST RECRUITMENT LTD,5106139416,577.78
Communities & Local Government,GO,01/07/2010,Agency Staff,GOYH,REED SPECIALIST RECRUITMENT LTD,5106139409,803.27
Communities & Local Government,GO,01/07/2010,Agency Staff,GOYH,REED SPECIALIST RECRUITMENT LTD,5106139410,599.70
Communities & Local Government,GO,01/07/2010,Agency Staff,GOYH,REED SPECIALIST RECRUITMENT LTD,5106139411,599.70
Communities & Local Government,GO,01/07/2010,Agency Staff,GOYH,REED SPECIALIST RECRUITMENT LTD,5106139412,803.27
Communities & Local Government,GO,01/07/2010,Agency Staff,GOEM,REED SPECIALIST RECRUITMENT LTD,5106139475,"1,494.38"
Communities & Local Government,GO,01/07/2010,Agency Staff,GOSW,DCLG GOVERNMENT PROCUREMENT CARD,1000002472,"11,315.68"
Communities & Local Government,GO,01/07/2010,Catering,GOSW,DCLG GOVERNMENT PROCUREMENT CARD,1000002472,845.54
Communities & Local Government,GO,01/07/2010,Conferences,GOSE,MANDOLAY HOTEL,5106139492,"2,761.80"
Communities & Local Government,GO,01/07/2010,Fixed Maintenance,RCU - PAM - Property Asset Management,TAYLOR WOODROW CONSTRUCTION,2100182224,"111,196.57"
Communities & Local Government,GO,01/07/2010,Courier Services,GONW,GOVERNMENT CAR & DESPATCH AGENCY,5106139428,692.08
Communities & Local Government,GO,01/07/2010,Courier Services,GONW,GOVERNMENT CAR & DESPATCH AGENCY,5106139434,681.50
Communities & Local Government,GO,01/07/2010,Water,RCU - PAM - Property Asset Management,THAMES WATER UTILITIES,2100182220,673.00
Communities & Local Government,GO,01/07/2010,Post,GOL,GOVERNMENT CAR & DESPATCH AGENCY,5106139490,"1,836.53"
Communities & Local Government,GO,01/07/2010,Professional services,GONW,INNOVATIVE CREATIVE EXCELLENCE LTD,2100182217,"1,345.38"
Communities & Local Government,GO,01/07/2010,Training,GOYH,COMMON PURPOSE UK,2100182216,"5,287.50"
Communities & Local Government,GO,01/07/2010,Variable Maintenance < £15k,RCU - PAM - Property Asset Management,DCLG GOVERNMENT PROCUREMENT CARD,1000002475,585.08
Communities & Local Government,GO,01/07/2010,Gas,RCU - PAM - Property Asset Management,DCLG GOVERNMENT PROCUREMENT CARD,1000002475,"1,714.86"
Communities & Local Government,GO,02/07/2010,Agency Staff,GOE,CAVILL ROBINSON FINANCIAL RCRTMT LT,5106139559,"1,010.61"
Communities & Local Government,GO,02/07/2010,Agency Staff,GORCU Admin DEL Votd,REED SPECIALIST RECRUITMENT LTD,5106139544,599.70
Communities & Local Government,GO,02/07/2010,Technical Aids for the disabled,GORCU Admin DEL Votd,SUSAN JENSEN TRAINING LTD,2100182270,977.02
