"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Profession"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105340","OF2","37916","45090","Senior Staff Outer Office","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105340","OF3","47760","57200","Senior Staff Outer Office","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105340","OF4","67032","77617","Senior Staff Outer Office","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105340","OF5","81310","89408","Senior Staff Outer Office","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105340","OR2","17015","28939","Steward","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105340","OR4","26405","33182","Chef","3.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105340","OR6","30013","36929","Driver","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105340","OR7","33223","36929","House Manager","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121821","C2","29258","36333","HMS Victory Guide","1.00","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121821","D","23427","29093","HMS Victory Guide","2.00","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121821","E1","17835","22124","HMS Victory Guide","22.00","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121821","OF2","37916","45090","HMS Victory Guide","3.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121821","OF3","47760","57200","HMS Victory Guide","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121821","OF4","67032","77617","HMS Victory Guide","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121821","OR2","17015","28939","HMS Victory Guide","5.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121821","OR4","26405","33182","HMS Victory Guide","6.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121821","OR6","30013","36929","HMS Victory Guide","2.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121821","OR7","33223","36929","HMS Victory Guide","6.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121821","OR9","38600","46753","HMS Victory Guide","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121821","SZ1","14644","16482","General Hand","5.00","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121821","SZ3","17486","22150","General Hand","1.00","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105390","E1","17835","22124","Personal Secretary","1.00","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105390","OF2","37916","45090","Senior Staff Outer Office","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105390","OF4","67032","77617","Senior Staff Outer Office","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105593","B1","56436","72185","Office Manager","1.00","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105593","B2","47942","59535","Office Manager","1.00","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105593","C1","35648","44268","Administrator","4.00","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105593","C2","29258","36333","Administrator","5.00","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105593","D","23427","29093","Administrator","4.00","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105593","E1","17835","22124","Administrator","3.00","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105593","OF2","37916","45090","Senior Staff Outer Office","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105593","OF3","47760","57200","Senior Staff Outer Office","2.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105593","OF4","67032","77617","Senior Staff Outer Office","14.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105593","OF5","81310","89408","Senior Staff Outer Office","4.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105593","OR2","17015","28939","Senior Staff Outer Office","3.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105593","OR6","30013","36929","Senior Staff Outer Office","2.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105593","Fast Stream Grade Band C2","29258","34936","Administrator","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105390","OF2","37916","45090","Senior Staff Outer Office","2.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105390","OF4","67032","77617","Senior Staff Outer Office","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105390","OR8","36049","43252","Senior Staff Outer Office","4.00","Military"
