Department family,Entity,Entered On,Expense Type,Expense Area,Supplier Name,Voucher, SumOfAmount 
Communities And Local Government,Queen Elizabeth II Conference Centre,03/07/2012,Business Rates,Administration,CITY OF WESTMINSTER,16470," 50,631.00 "
Communities And Local Government,Queen Elizabeth II Conference Centre,06/07/2012,Marketing,Commercial,VOHM,16477, 500.00 
Communities And Local Government,Queen Elizabeth II Conference Centre,06/07/2012,Cost of Sales - Freelance Technicians,Interface,Freelancer,16478, 418.00 
Communities And Local Government,Queen Elizabeth II Conference Centre,06/07/2012,Cost of Sales - Equipment Hire,Interface,HIRE INTELLIGENCE INTERNATIONAL  LTD,16479," 1,950.00 "
Communities And Local Government,Queen Elizabeth II Conference Centre,06/07/2012,Cost of Sales - Time & Labour,Event Management,GALLOWGLASS LIMITED,16480, 240.00 
Communities And Local Government,Queen Elizabeth II Conference Centre,06/07/2012,Cost of Sales - Commission,Interface,GovNet Communications,16482, 475.00 
Communities And Local Government,Queen Elizabeth II Conference Centre,06/07/2012,Marketing,Commercial,London and Partners,16483, 600.00 
Communities And Local Government,Queen Elizabeth II Conference Centre,06/07/2012,Consultants,Commercial,Lychee3 Solutions Ltd,16484," 2,000.00 "
Communities And Local Government,Queen Elizabeth II Conference Centre,06/07/2012,Cost of Sales - Freelance Technicians,Interface,Freelancer,16486, 400.00 
Communities And Local Government,Queen Elizabeth II Conference Centre,06/07/2012,Cost of Sales - Freelance Technicians,Interface,Freelancer,16491, 600.00 
Communities And Local Government,Queen Elizabeth II Conference Centre,06/07/2012,Cost of Sales - Freelance Technicians,Interface,Freelancer,16496, 809.00 
Communities And Local Government,Queen Elizabeth II Conference Centre,06/07/2012,Cost of Sales - Freelance Technicians,Interface,Freelancer,16497, 418.00 
Communities And Local Government,Queen Elizabeth II Conference Centre,06/07/2012,Cost of Sales - Freelance Technicians,Interface,Freelancer,16500, 400.00 
Communities And Local Government,Queen Elizabeth II Conference Centre,09/07/2012,Cost of Sales - Freelance Technicians,Interface,NICK POWERS LTD,16503, 400.00 
Communities And Local Government,Queen Elizabeth II Conference Centre,10/07/2012,Consultants,Administration,TICKETT ENTERPRISES LTD,16506, 750.00 
Communities And Local Government,Queen Elizabeth II Conference Centre,10/07/2012,Cost of Sales - Telecommunications,ITC Department,BRITISH TELECOM,16507, 502.29 
Communities And Local Government,Queen Elizabeth II Conference Centre,10/07/2012,Cost of Sales - Freelance Technicians,Interface,NICK POWERS LTD,16509, 445.00 
Communities And Local Government,Queen Elizabeth II Conference Centre,10/07/2012,Cost Of Sales - Consumables,Business Centre,BARCLAYCARD PROCUREMENT CARD,16512, 194.80 
Communities And Local Government,Queen Elizabeth II Conference Centre,10/07/2012,Staff Expenses,Interface,BARCLAYCARD PROCUREMENT CARD,16512, 40.60 
Communities And Local Government,Queen Elizabeth II Conference Centre,10/07/2012,Stationery,Event Management,BARCLAYCARD PROCUREMENT CARD,16512, 149.43 
Communities And Local Government,Queen Elizabeth II Conference Centre,10/07/2012,Cost of Sales - Rechargeable Expenses,Interface,BARCLAYCARD PROCUREMENT CARD,16512, 195.83 
Communities And Local Government,Queen Elizabeth II Conference Centre,10/07/2012,Maintenance,Interface,BARCLAYCARD PROCUREMENT CARD,16512, 367.10 
Communities And Local Government,Queen Elizabeth II Conference Centre,10/07/2012,Travel,Interface,BARCLAYCARD PROCUREMENT CARD,16512, 7.03 
Communities And Local Government,Queen Elizabeth II Conference Centre,10/07/2012,Training,Administration,BARCLAYCARD PROCUREMENT CARD,16512, 705.05 
Communities And Local Government,Queen Elizabeth II Conference Centre,10/07/2012,Uniforms,Interface,BARCLAYCARD PROCUREMENT CARD,16512, 30.47 
Communities And Local Government,Queen Elizabeth II Conference Centre,10/07/2012,Mobile Phone Costs,Interface,BARCLAYCARD PROCUREMENT CARD,16512, 40.00 
Communities And Local Government,Queen Elizabeth II Conference Centre,10/07/2012,Carriage,Interface,BARCLAYCARD PROCUREMENT CARD,16512, 75.00 
Communities And Local Government,Queen Elizabeth II Conference Centre,10/07/2012,Maintenance,Operations,BARCLAYCARD PROCUREMENT CARD,16512, 776.76 
Communities And Local Government,Queen Elizabeth II Conference Centre,10/07/2012,Cost of Sales - Commission,Commercial,Trinity Event Solutions Limted,16514," 2,137.50 "
Communities And Local Government,Queen Elizabeth II Conference Centre,10/07/2012,Cost of Sales - Equipment Hire,Interface,BETTER SOUND LIMITED,16515, 281.00 
Communities And Local Government,Queen Elizabeth II Conference Centre,10/07/2012,Cost of Sales - Time & Labour,Event Management,GALLOWGLASS LIMITED,16516, 240.00 
Communities And Local Government,Queen Elizabeth II Conference Centre,11/07/2012,Cost of Sales - Equipment Hire,Interface,HIRE INTELLIGENCE INTERNATIONAL  LTD,16517, 394.00 
Communities And Local Government,Queen Elizabeth II Conference Centre,11/07/2012,Cost of Sales - Freelance Technicians,Interface,Freelancer,16518, 800.00 
Communities And Local Government,Queen Elizabeth II Conference Centre,12/07/2012,Electricity,Operations,EDF ENERGY,16519," 30,257.38 "
Communities And Local Government,Queen Elizabeth II Conference Centre,12/07/2012,Cost of Sales - Freelance Technicians,Interface,A PERTON SIGNS LIMITED,16520, 200.00 
Communities And Local Government,Queen Elizabeth II Conference Centre,12/07/2012,Cost of Sales - Signage,Interface,A PERTON SIGNS LIMITED,16520," 4,169.00 "
Communities And Local Government,Queen Elizabeth II Conference Centre,12/07/2012,Cost of Sales - Sets,Interface,A PERTON SIGNS LIMITED,16520," 9,753.00 "
Communities And Local Government,Queen Elizabeth II Conference Centre,12/07/2012,Maintenance,Operations,REFUPAK SERVICES LTD,16521, 239.80 
Communities And Local Government,Queen Elizabeth II Conference Centre,12/07/2012,Disposal Of Waste,Operations,BPR GROUP EUROPE LTD,16524, 640.00 
Communities And Local Government,Queen Elizabeth II Conference Centre,12/07/2012,Maintenance,Operations,MEETING MATRIX GLOBAL SALES,16527," 3,761.60 "
Communities And Local Government,Queen Elizabeth II Conference Centre,13/07/2012,Training,Administration,BLUE GRAPHICS LTD,16528, 225.00 
Communities And Local Government,Queen Elizabeth II Conference Centre,13/07/2012,Marketing,Commercial,CHATLAND DESIGN,16529," 2,300.00 "
Communities And Local Government,Queen Elizabeth II Conference Centre,13/07/2012,Electricity,Operations,EDF ENERGY CUST FIELD SERVICES,16531, 597.00 
Communities And Local Government,Queen Elizabeth II Conference Centre,13/07/2012,Water,Operations,THAMES WATER UTILITIES LTD,16532," 1,278.05 "
Communities And Local Government,Queen Elizabeth II Conference Centre,13/07/2012,Cost of Sales - Freelance Technicians,Interface,Freelancer,16534, 400.00 
Communities And Local Government,Queen Elizabeth II Conference Centre,13/07/2012,Cost of Sales - Commission,Commercial,HotelRes Ltd,16535," 1,283.04 "
Communities And Local Government,Queen Elizabeth II Conference Centre,13/07/2012,Furniture,Operations,MARK HARRIS FURNITURE LTD,16539," 2,830.00 "
Communities And Local Government,Queen Elizabeth II Conference Centre,13/07/2012,Disposal Of Waste,Operations,BPR GROUP EUROPE LTD,16540, 252.00 
Communities And Local Government,Queen Elizabeth II Conference Centre,13/07/2012,Maintenance,Operations,ENABLE ACCESS,16541, 434.00 
Communities And Local Government,Queen Elizabeth II Conference Centre,17/07/2012,Cost of Sales - Freelance Technicians,Interface,Freelancer,16543, 833.00 
Communities And Local Government,Queen Elizabeth II Conference Centre,17/07/2012,Internet & Telecomms,ITC Department,VERIZON UK LIMITED,16546," 1,852.00 "
Communities And Local Government,Queen Elizabeth II Conference Centre,17/07/2012,Marketing,Commercial,VERIZON UK LIMITED,16546, 1.09 
Communities And Local Government,Queen Elizabeth II Conference Centre,17/07/2012,Cost of Sales - Telecommunications,ITC Department,VERIZON UK LIMITED,16547, 329.30 
Communities And Local Government,Queen Elizabeth II Conference Centre,17/07/2012,Internet & Telecomms,Operations,BRITISH TELECOM,16548, 284.10 
Communities And Local Government,Queen Elizabeth II Conference Centre,17/07/2012,Cost of Sales - Freelance Technicians,Interface,Freelancer,16549, 600.00 
Communities And Local Government,Queen Elizabeth II Conference Centre,17/07/2012,IT Equipment Maintenance,ITC Department,IT BUS LTD,16550, 500.00 
Communities And Local Government,Queen Elizabeth II Conference Centre,17/07/2012,Gas,Operations,CORONA ENERGY,16552," 5,154.00 "
Communities And Local Government,Queen Elizabeth II Conference Centre,17/07/2012,IT Equipment Maintenance,ITC Department,DELL COMPUTER CORPORATION LTD,16553," 4,928.00 "
Communities And Local Government,Queen Elizabeth II Conference Centre,17/07/2012,Training,Administration,PURPLE GRIFFON LTD,16554, 537.00 
Communities And Local Government,Queen Elizabeth II Conference Centre,17/07/2012,Consultants,Commercial,Jude Cosway Consultancy Services,16555," 1,685.00 "
Communities And Local Government,Queen Elizabeth II Conference Centre,17/07/2012,Cost of Sales - Freelance Technicians,Interface,JIM COUGHLAN VISUAL COMM. LTD,16556, 409.00 
Communities And Local Government,Queen Elizabeth II Conference Centre,17/07/2012,Cost of Sales - Freelance Technicians,Interface,Freelancer,16559, 400.00 
