Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction number,Amount in Sterling
Communities & Local Government,DCLG,01/11/2010,Agency Staff,Communities Group,ALPINE RESOURCING LTD,5106149665,"16,757.92"
Communities & Local Government,DCLG,01/11/2010,Agency Staff,Communities Group,BROOK STREET BUREAU,5106149875,"1,557.43"
Communities & Local Government,DCLG,01/11/2010,AME Subsidy CFER,Housing and Planning,BOLTON MBC,5000141394,"-126,060.00"
Communities & Local Government,DCLG,01/11/2010,AME Subsidy CFER,Housing and Planning,CITY OF LONDON (HSG),5000141295,"-205,662.00"
Communities & Local Government,DCLG,01/11/2010,AME Subsidy CFER,Housing and Planning,SALFORD CITY CNCL,5000141501,"-8,084,223.00"
Communities & Local Government,DCLG,01/11/2010,Current (non AEF) Grants to Local Authorities,"Local Gov & Reg(LG DEL,AME, RfR2)",CORBY BOROUGH COUNCIL,2100196586,"7,803.00"
Communities & Local Government,DCLG,01/11/2010,Current (non AEF) Grants to Local Authorities,"Local Gov & Reg(LG DEL,AME, RfR2)",HINCKLEY & BOSWORTH BC,2100196587,"12,467.00"
Communities & Local Government,DCLG,01/11/2010,Current Grants to Non Profit Bodies,Communities Group,ACTION FOR MARKET TOWNS,2100196577,"42,500.00"
Communities & Local Government,DCLG,01/11/2010,Current Grants to Non Profit Bodies,Communities Group,ASHRAM HOUSING ASSOCIATION LTD,2100196572,"25,000.00"
Communities & Local Government,DCLG,01/11/2010,Current Grants to Non Profit Bodies,Communities Group,BASSAC,2100196576,"100,000.00"
Communities & Local Government,DCLG,01/11/2010,Current Grants to Non Profit Bodies,Communities Group,COMMUNITY MATTERS,2100196575,"100,000.00"
Communities & Local Government,DCLG,01/11/2010,Current Grants to Non Profit Bodies,Communities Group,ONE20,2100196573,"25,000.00"
Communities & Local Government,DCLG,01/11/2010,Current Grants to Non Profit Bodies,Communities Group,SCHOOL FOR SOCIAL ENTREPRENEURS,2100196574,"100,000.00"
Communities & Local Government,DCLG,01/11/2010,Current Grants to Non Profit Bodies,Communities Group,SHEILA MCKECHNIE FOUNDATION,2100196579,"42,500.00"
Communities & Local Government,DCLG,01/11/2010,Domestic Services,Finance and Corporate Services,MITIE SECURITY LTD,5106149762,"1,388.87"
Communities & Local Government,DCLG,01/11/2010,Fixed Maintenance,Communities Group,FLAGSHIP TRAINING LIMITED,5106149837,"2,475.68"
Communities & Local Government,DCLG,01/11/2010,Fixed Maintenance,Communities Group,FLAGSHIP TRAINING LIMITED,5106149839,"1,001.72"
Communities & Local Government,DCLG,01/11/2010,Fixed Maintenance,Communities Group,FLAGSHIP TRAINING LIMITED,5106149911,546.99
Communities & Local Government,DCLG,01/11/2010,Grant in Aid to NDPBs (non budget),Housing and Planning,HOMES & COMMUNITIES AGENCY,2100196588,"6,471,607.00"
Communities & Local Government,DCLG,01/11/2010,IT Maintenance,Communities Group,SELEX SYSTEMS INTEGRATION,5106149120,"13,861.48"
Communities & Local Government,DCLG,01/11/2010,IT Maintenance,Finance and Corporate Services,STERIA LIMITED,2100196618,"-390,088.50"
Communities & Local Government,DCLG,01/11/2010,IT Maintenance,Finance and Corporate Services,STERIA LIMITED,5106147912,"390,088.50"
Communities & Local Government,DCLG,01/11/2010,Rates,Finance and Corporate Services,STEVENAGE BOROUGH COUNCIL,5106149898,"1,873.00"
Communities & Local Government,DCLG,01/11/2010,Research,Communities Group,GREENSTREET BERMAN LTD,5106149777,"3,465.87"
Communities & Local Government,DCLG,01/11/2010,Security,Finance and Corporate Services,MITIE SECURITY LTD,5106149760,"4,246.40"
Communities & Local Government,DCLG,01/11/2010,Steady State Service Provision,Communities Group,AIRWAVE SOLUTIONS LTD,5106149755,"39,005.73"
Communities & Local Government,DCLG,01/11/2010,Steady State Service Provision,Communities Group,AIRWAVE SOLUTIONS LTD,5106149831,"35,470.18"
Communities & Local Government,DCLG,01/11/2010,Steady State Service Provision,Communities Group,AIRWAVE SOLUTIONS LTD,5106149833,"75,072.95"
Communities & Local Government,DCLG,01/11/2010,Steady State Service Provision,Communities Group,AIRWAVE SOLUTIONS LTD,5106149835,"918,491.84"
Communities & Local Government,DCLG,01/11/2010,Steady State Service Provision,Communities Group,AIRWAVE SOLUTIONS LTD,5106149841,"8,742.98"
Communities & Local Government,DCLG,01/11/2010,Steady State Service Provision,Communities Group,AIRWAVE SOLUTIONS LTD,5106149850,"90,668.20"
