Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
Department for Business Innovation and Skills,Department for Business Innovation and Skills,AMS - Advanced Manufacturing and Services (BS),SCS1-01-01-01,AO,16325,21869,Personal Assistant,1.64,Operational Delivery
Department for Business Innovation and Skills,Department for Business Innovation and Skills,AMS - Advanced Manufacturing and Services (BS),SCS1-01-01-01,HEO,23570,33027,Policy Advisor,1,Policy
Department for Business Innovation and Skills,Department for Business Innovation and Skills,AMS - Advanced Manufacturing and Services (BS),SCS1-01-01-01,SEO,28741,40917,Policy Advisor,0.89,Policy
Department for Business Innovation and Skills,Department for Business Innovation and Skills,AMS - Advanced Manufacturing and Services (BS),SCS1-01-01-01,G7,40686,55882,Senior Policy Advisor,8,Policy
Department for Business Innovation and Skills,Department for Business Innovation and Skills,AMS - Advanced Manufacturing and Services (BS),SCS1-01-01-01,G6,50043,67714,Senior Policy Advisor,3,Policy
Department for Business Innovation and Skills,Department for Business Innovation and Skills,AMS - Advanced Manufacturing and Services (BS),SCS1-01-01-02,AO,16325,21869,Policy Support Officer,1,Policy
Department for Business Innovation and Skills,Department for Business Innovation and Skills,AMS - Advanced Manufacturing and Services (BS),SCS1-01-01-02,EO,18763,27281,Policy Advisor,1,Policy
Department for Business Innovation and Skills,Department for Business Innovation and Skills,AMS - Advanced Manufacturing and Services (BS),SCS1-01-01-02,HEO,23570,33027,Policy Advisor,6,Policy
Department for Business Innovation and Skills,Department for Business Innovation and Skills,AMS - Advanced Manufacturing and Services (BS),SCS1-01-01-02,SEO,28741,40917,Policy Advisor,3,Policy
Department for Business Innovation and Skills,Department for Business Innovation and Skills,AMS - Advanced Manufacturing and Services (BS),SCS1-01-01-02,G7,40686,55882,Senior Policy Advisor,6.67,Policy
Department for Business Innovation and Skills,Department for Business Innovation and Skills,AMS - Advanced Manufacturing and Services (BS),SCS1-01-01-02,G6,50043,67714,Senior Policy Advisor,2,Policy
Department for Business Innovation and Skills,Department for Business Innovation and Skills,AMS - Advanced Manufacturing and Services (BS),SCS1-01-01-03,AO,16325,21869,Policy Support Officer,3,Policy
Department for Business Innovation and Skills,Department for Business Innovation and Skills,AMS - Advanced Manufacturing and Services (BS),SCS1-01-01-03,EO,18763,27281,Policy Support Officer,1,Policy
Department for Business Innovation and Skills,Department for Business Innovation and Skills,AMS - Advanced Manufacturing and Services (BS),SCS1-01-01-03,HEO,23570,33027,Policy Advisor,6,Policy
Department for Business Innovation and Skills,Department for Business Innovation and Skills,AMS - Advanced Manufacturing and Services (BS),SCS1-01-01-03,SEO,28741,40917,Policy Advisor,10,Policy
Department for Business Innovation and Skills,Department for Business Innovation and Skills,AMS - Advanced Manufacturing and Services (BS),SCS1-01-01-03,G7,40686,55882,Senior Policy Advisor,7.28,Policy
Department for Business Innovation and Skills,Department for Business Innovation and Skills,AMS - Advanced Manufacturing and Services (BS),SCS1-01-01-03,G6,50043,67714,Senior Policy Advisor,4,Policy
Department for Business Innovation and Skills,Department for Business Innovation and Skills,AMS - Advanced Manufacturing and Services (BS),SCS1-01-01-04,EO,18763,27281,Personal Assistant,1,Operational Delivery
Department for Business Innovation and Skills,Department for Business Innovation and Skills,AMS - Advanced Manufacturing and Services (BS),SCS1-01-01-04,HEO,23570,33027,Policy Advisor,2,Policy
Department for Business Innovation and Skills,Department for Business Innovation and Skills,AMS - Advanced Manufacturing and Services (BS),SCS1-01-01-04,SEO,28741,40917,Policy Advisor,3,Policy
Department for Business Innovation and Skills,Department for Business Innovation and Skills,AMS - Advanced Manufacturing and Services (BS),SCS1-01-01-04,G7,40686,55882,Senior Policy Advisor,3,Policy
Department for Business Innovation and Skills,Department for Business Innovation and Skills,AMS - Advanced Manufacturing and Services (BS),SCS1-01-01-04,G6,50043,67714,Senior Policy Advisor,1,Policy
Department for Business Innovation and Skills,Department for Business Innovation and Skills,AMS - Advanced Manufacturing and Services (BS),SCS1-01-01-06,EO,18763,27281,Personal Assistant,1,Operational Delivery
Department for Business Innovation and Skills,Department for Business Innovation and Skills,AMS - Advanced Manufacturing and Services (BS),SCS1-01-01-06,HEO,23570,33027,Policy Advisor,4,Policy
Department for Business Innovation and Skills,Department for Business Innovation and Skills,AMS - Advanced Manufacturing and Services (BS),SCS1-01-01-06,SEO,28741,40917,Policy Advisor,5,Policy
Department for Business Innovation and Skills,Department for Business Innovation and Skills,AMS - Advanced Manufacturing and Services (BS),SCS1-01-01-06,G7,40686,55882,Senior Policy Advisor,12,Policy
Department for Business Innovation and Skills,Department for Business Innovation and Skills,AMS - Advanced Manufacturing and Services (BS),SCS1-01-01-06,G6,50043,67714,Senior Policy Advisor,4,Policy
Department for Business Innovation and Skills,Department for Business Innovation and Skills,AMS - Advanced Manufacturing and Services (BS),SCS1-01-01-09,EO,18763,27281,Policy Advisor,1,Policy
Department for Business Innovation and Skills,Department for Business Innovation and Skills,AMS - Advanced Manufacturing and Services (BS),SCS1-01-01-09,HEO,23570,33027,Policy Advisor,1,Policy
Department for Business Innovation and Skills,Department for Business Innovation and Skills,AMS - Advanced Manufacturing and Services (BS),SCS1-01-01-09,SEO,28741,40917,Policy Advisor,1,Policy
Department for Business Innovation and Skills,Department for Business Innovation and Skills,AMS - Advanced Manufacturing and Services (BS),SCS1-01-01-09,G7,40686,55882,Senior Policy Advisor,2,Policy
Department for Business Innovation and Skills,Department for Business Innovation and Skills,AMS - Advanced Manufacturing and Services (BS),SCS1-01-01-09,G6,50043,67714,Senior Policy Advisor,2,Policy
Department for Business Innovation and Skills,Department for Business Innovation and Skills,AMS - Advanced Manufacturing and Services (BS),SCS1-01-01-10,AO,16325,21869,Personal Assistant,1,Operational Delivery
Department for Business Innovation and Skills,Department for Business Innovation and Skills,AMS - Advanced Manufacturing and Services (BS),SCS1-01-01-10,EO,18763,27281,Policy Advisor,1,Policy
Department for Business Innovation and Skills,Department for Business Innovation and Skills,AMS - Advanced Manufacturing and Services (BS),SCS1-01-01-10,HEO,23570,33027,Policy Advisor,1,Policy
Department for Business Innovation and Skills,Department for Business Innovation and Skills,AMS - Advanced Manufacturing and Services (BS),SCS1-01-01-10,SEO,28741,40917,Policy Advisor,5,Policy
Department for Business Innovation and Skills,Department for Business Innovation and Skills,AMS - Advanced Manufacturing and Services (BS),SCS1-01-01-10,G7,40686,55882,Senior Policy Advisor,5.68,Policy
Department for Business Innovation and Skills,Department for Business Innovation and Skills,AMS - Advanced Manufacturing and Services (BS),SCS1-01-01-10,G6,50043,67714,Senior Policy Advisor,2,Policy
Department for Business Innovation and Skills,Department for Business Innovation and Skills,EDD - Economic Development Directorate (BS),SCS1-01-02-01,G7,40686,55882,Senior Policy Advisor,7,Policy
Department for Business Innovation and Skills,Department for Business Innovation and Skills,IE - Information Economy (BS),SCS1-01-02-02,HEO,23570,33027,Policy Advisor,4,Policy
Department for Business Innovation and Skills,Department for Business Innovation and Skills,IE - Information Economy (BS),SCS1-01-02-02,G7,40686,55882,Senior Policy Advisor,4,Policy
Department for Business Innovation and Skills,Department for Business Innovation and Skills,IE - Information Economy (BS),SCS1-01-02-02,G6,50043,67714,Senior Policy Advisor,2,Policy
Department for Business Innovation and Skills,Department for Business Innovation and Skills,EDD - Economic Development Directorate (BS),SCS1-01-02-03,AO,16325,21869,Personal Assistant,1,Operational Delivery
Department for Business Innovation and Skills,Department for Business Innovation and Skills,EDD - Economic Development Directorate (BS),SCS1-01-02-03,EO,18763,27281,Policy Advisor,1,Policy
Department for Business Innovation and Skills,Department for Business Innovation and Skills,EDD - Economic Development Directorate (BS),SCS1-01-02-03,HEO,23570,33027,Policy Advisor,5,Policy
