Department,Organisation Name,Basis for Exception, Value ,Approval month,Category
MOD,DE&S,"3 mth re-approval of Future Defence Storage & Distribution Programme (FDSDP) 

Ref: DE&S 056  FMPA 2011/13

DG Fin approved.","£1,202,000",Oct,Financial
MOD,DE&S,"3 mth re-approval of Astute Boat 4

Ref: DE&S 066 FMPA 2011/15 ERG 57(11)

DG Fin approved.","£475,000",Oct,Legal
MOD,DE&S,"6 mth re-approval of Astute Boat 4.

Ref: DE&S 066 FMPA 2011/15 ERG 57(11)

DG Fin approved.","£312,000",Dec,Legal
MOD,DE&S,"Materiel Strategy - Efficiency Support Phase 2

Ref:  DE&S 097 FMPA 2011/26

DG Fin approved.","£90,000",Nov,Strategy
MOD,DE&S,"Materiel Strategy - Efficiency Support Phase 2

Ref:  DE&S 097 FMPA 2011/26

Request for a time extension and extra funding

DG Fin approved.","£2,000",Dec,Strategy
MOD,DE&S,"Complex Weapons

Ref: DE&S 102 FMPA 2011/29

DG Fin approved.","£149,892",Dec,Legal
MOD,Land,Nil Return,,,
MoD ,Air Command ,Nil Return,,,
MoD,DSG,Nil Return,,,
MoD,Hydrographic Office,Nil Return,,,
MoD,CJO,Nil Return,,,
MoD,Navy Command,Nil Return,,,
MoD,DSTL,Nil Return,,,
MoD,CTLB,Nil Return,,,
MOD ,DIO,"DIO transformation, New requirement","£778,750",November,Organisation and Change Management
,,,"£3,009,642"
