ALB,Supplier,Net Amount £
Ordnance Survey,2CL Communications Ltd,"2,905.05"
Ordnance Survey,2e2 UK Ltd,"160,308.92"
Ordnance Survey,3D Laser Mapping Ltd,"1,133.33"
Ordnance Survey,Abbey Labels,"6,535.40"
Ordnance Survey,ABS Technical UK Ltd,"3,991.23"
Ordnance Survey,Accor Corporate Services,"13,650.82"
Ordnance Survey,ACE Insurance SA-NV,"2,592.90"
Ordnance Survey,achilles informat,"1,417.88"
Ordnance Survey,ACIA,"5,000.00"
Ordnance Survey,Adfero Ltd,"10,200.00"
Ordnance Survey,Agfa Graphics,"77,222.61"
Ordnance Survey,Agfa-Gevaert Materials,"27,710.05"
Ordnance Survey,AGI,"30,377.48"
Ordnance Survey,air france,"4,865.60"
Ordnance Survey,Alamy Ltd,"20,180.93"
Ordnance Survey,Albany Software Limited,"2,487.50"
Ordnance Survey,albashow ltd,"7,521.61"
Ordnance Survey,Alchemy Worx,"9,998.05"
Ordnance Survey,Algo Business Centre,"1,153.25"
Ordnance Survey,Almalad Ltd,"1,400.00"
Ordnance Survey,Amey Community Ltd,"1,710,387.73"
Ordnance Survey,Anglian Water Services Ltd,"1,200.00"
Ordnance Survey,apcoa parking,"3,102.95"
Ordnance Survey,apex city quay hotel and,"2,662.05"
Ordnance Survey,arco ltd,"3,674.71"
Ordnance Survey,Ardent Fire Protection,"144,029.13"
Ordnance Survey,argon promotions,"1,700.04"
Ordnance Survey,argos ltd,"1,039.99"
Ordnance Survey,Arval UK Ltd,"17,765.95"
Ordnance Survey,asda superstore,"2,668.54"
Ordnance Survey,Ashridge Consulting LTD,"39,891.00"
Ordnance Survey,AshtonPenney Partnership Ltd,"13,625.37"
Ordnance Survey,Assist Knowledge Development Ltd,"2,620.00"
Ordnance Survey,Association of British Insurers,"5,000.00"
Ordnance Survey,Atisreal Limited,"20,845.89"
Ordnance Survey,atom publishing ltd,"6,991.24"
Ordnance Survey,AU Enterprises Ltd,"26,086.95"
Ordnance Survey,Autoglass Limited,"6,822.86"
Ordnance Survey,Automotive Leasing Limited,"151,207.65"
Ordnance Survey,aviemore highland resort,"2,135.83"
Ordnance Survey,Avington Associates,"258,600.00"
Ordnance Survey,Axes Systems AG,"3,800.00"
Ordnance Survey,Axiell Ltd (Formerly DS Ltd),"2,471.00"
Ordnance Survey,ayre hotel,"1,871.91"
Ordnance Survey,b & q,"1,919.12"
Ordnance Survey,b a int-dom,"11,496.70"
Ordnance Survey,Baker & McKenzie LLP,"6,409.80"
Ordnance Survey,Baldwin UK Ltd,"11,618.80"
Ordnance Survey,Barcelo Hinckley Island Hotel,"42,215.80"
Ordnance Survey,Barnford Industries Ltd,"1,000.00"
Ordnance Survey,barnsdale hall htl,"3,597.60"
Ordnance Survey,bellamys caterers,"2,542.60"
Ordnance Survey,Benchmarq,"13,500.00"
