Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Voluntary & Community Sector,SME Class,Sole Trader,Transaction number,Purchasing Item Text,Postal Code,Amount in Sterling,Grant?
Communities & Local Government,PINS,02/07/2012,IT - Software Maintenance,ICT,ADVOCENT SOFTWARE LTD,,Data Not Provided,,5106180601,Renewal to Helpdesk Software,.,"20,408.76",
Communities & Local Government,PINS,02/07/2012,NSI Fees & Expenses,NSI Fees Planning,ALISON ROWLAND,,Micro,,2100001413,#,BD20 7BG,"7,156.80",
Communities & Local Government,PINS,02/07/2012,NSI Fees & Expenses,NSI Expenses Planning,ALISON ROWLAND,,Micro,,2100001413,#,BD20 7BG,701.94,
Communities & Local Government,PINS,02/07/2012,NSI Fees & Expenses,NSI Fees Planning,CHARISMA SPATIAL PLANNING LTD,,Micro,,2100001410,#,CM1 7DR,"1,680.00",
Communities & Local Government,PINS,02/07/2012,NSI Fees & Expenses,NSI Expenses Planning,CHARISMA SPATIAL PLANNING LTD,,Micro,,2100001410,#,CM1 7DR,73.62,
Communities & Local Government,PINS,02/07/2012,NSI Fees & Expenses,NSI Fees Planning,CHARISMA SPATIAL PLANNING LTD,,Micro,,2100001411,#,CM1 7DR,"1,848.00",
Communities & Local Government,PINS,02/07/2012,NSI Fees & Expenses,NSI Expenses Planning,CHARISMA SPATIAL PLANNING LTD,,Micro,,2100001411,#,CM1 7DR,97.74,
Communities & Local Government,PINS,03/07/2012,Courier Services,Estates,CITY LINK,,Large,,5106180675,City Link Postage,WA4 4SN,"1,984.94",
Communities & Local Government,PINS,03/07/2012,Courier Services,Wales Director,ROYAL MAIL,,Large,,5106180664,Mail,S49 1HQ,434.43,
Communities & Local Government,PINS,03/07/2012,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106180669,Closed Loop A4 Paper,NR3 1PD,979.78,
Communities & Local Government,PINS,03/07/2012,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106180673,Anti Static Screen Clean Sachets,NR3 1PD,33.36,
Communities & Local Government,PINS,03/07/2012,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106180673,Banner A5 Spiralbound Shorthand Notebook,NR3 1PD,15.60,
Communities & Local Government,PINS,03/07/2012,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106180673,Banner A5 Thin Evidence Books,NR3 1PD,46.68,
Communities & Local Government,PINS,03/07/2012,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106180673,Banner Buff Document Wallets,NR3 1PD,28.80,
Communities & Local Government,PINS,03/07/2012,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106180673,Banner Clear Easy Tear Tape 24mm x 66m,NR3 1PD,56.81,
Communities & Local Government,PINS,03/07/2012,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106180673,Banner Clear Easy Tear Tape 48mm x 66m,NR3 1PD,109.94,
Communities & Local Government,PINS,03/07/2012,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106180673,Banner Storage Boxes,NR3 1PD,151.02,
Communities & Local Government,PINS,03/07/2012,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106180673,Box Files,NR3 1PD,42.48,
Communities & Local Government,PINS,03/07/2012,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106180673,Hardback A4 Notebooks,NR3 1PD,128.16,
Communities & Local Government,PINS,03/07/2012,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106180673,Himark Highlighters,NR3 1PD,26.40,
Communities & Local Government,PINS,03/07/2012,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106180673,Strata Duracrate,NR3 1PD,10.56,
Communities & Local Government,PINS,03/07/2012,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106180720,counsel notebook A4 80 page ruled,NR3 1PD,79.20,
Communities & Local Government,PINS,03/07/2012,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106180720,internal suggestion box,NR3 1PD,15.08,
Communities & Local Government,PINS,03/07/2012,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106180720,mouse mats,NR3 1PD,3.84,
Communities & Local Government,PINS,03/07/2012,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106180720,plain manilla 10 part coloured dividers,NR3 1PD,20.16,
Communities & Local Government,PINS,03/07/2012,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106180720,presentation binders 4D 60mm white,NR3 1PD,141.12,
Communities & Local Government,PINS,03/07/2012,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106180720,recycled memo pads 80 leaf A4,NR3 1PD,177.00,
Communities & Local Government,PINS,03/07/2012,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106180720,square cut folders blue,NR3 1PD,84.78,
Communities & Local Government,PINS,03/07/2012,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106180720,square cut folders buff,NR3 1PD,84.78,
Communities & Local Government,PINS,03/07/2012,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106180720,square cut folders green,NR3 1PD,56.52,
Communities & Local Government,PINS,03/07/2012,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106180720,square cut folders red,NR3 1PD,56.52,
Communities & Local Government,PINS,03/07/2012,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106180720,wavy paper clips. giant 76mm,NR3 1PD,6.60,
Communities & Local Government,PINS,04/07/2012,Agency Staff,Human Resources,CAPITA RESOURCING LTD,,Large,,5106180756,Extension 11/06/12-06/07/12,SL6 1DP,"2,992.26",
Communities & Local Government,PINS,04/07/2012,Mobile phone costs,ICT,ORANGE (AIRTIME/LINE RENTAL),,Large,,5106180754,Mobile Phone Charge,S99 6LU,"1,058.96",
Communities & Local Government,PINS,04/07/2012,NSI Fees & Expenses,NSI Fees Planning,JDA DEVELOPMENT & PLANNING SERVICE,,Micro,,2100001442,#,TA14 6PT,"2,240.00",
Communities & Local Government,PINS,04/07/2012,NSI Fees & Expenses,NSI Expenses Planning,JDA DEVELOPMENT & PLANNING SERVICE,,Micro,,2100001442,#,TA14 6PT,195.40,
Communities & Local Government,PINS,04/07/2012,NSI Fees & Expenses,NSI Fees Planning,MARTIN H SEDDON LTD,,Micro,,2100001453,#,S11 9RR,"1,680.00",
Communities & Local Government,PINS,04/07/2012,NSI Fees & Expenses,NSI Fees Planning,MR D KAISERMAN,,Micro,,2100001441,#,SK9 1QZ,"9,072.00",
Communities & Local Government,PINS,04/07/2012,NSI Fees & Expenses,NSI Expenses Planning,MR D KAISERMAN,,Micro,,2100001441,#,SK9 1QZ,776.65,
Communities & Local Government,PINS,04/07/2012,NSI Fees & Expenses,NSI Fees Planning,MR WILL FIELDHOUSE,,Micro,,2100001443,#,S10 2NQ,"1,092.00",
Communities & Local Government,PINS,04/07/2012,NSI Fees & Expenses,NSI Expenses Planning,MR WILL FIELDHOUSE,,Micro,,2100001443,#,S10 2NQ,63.15,
