Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Voluntary & Community Sector,SME Class,Sole Trader,Transaction number,Purchasing Item Text,Postal Code,Amount in Sterling,Grant?,,,
Communities & Local Government,PINS,04/04/2012,NSI Fees & Expenses,NSI Expenses Planning,BARRETT CONSERVATION & PLANNING,,MIC,,2100000004,,RG28 7DW,129.90,,,,
Communities & Local Government,PINS,04/04/2012,NSI Fees & Expenses,NSI Expenses Planning,BARRETT CONSERVATION & PLANNING,,MIC,,2100000005,,RG28 7DW,43.80,,,,
Communities & Local Government,PINS,04/04/2012,NSI Fees & Expenses,NSI Expenses Planning,K2,,SMA,,2100000008,,DN36 5QS,90.25,,,,
Communities & Local Government,PINS,04/04/2012,NSI Fees & Expenses,NSI Expenses Planning,LEIGH & GLENNIE LTD,,MIC,,2100000009,,SL5 9EA,38.52,,,,
Communities & Local Government,PINS,04/04/2012,NSI Fees & Expenses,NSI Expenses Planning,WILLIAM FIELDHOUSE,,MIC,,2100000010,,S10 2NQ,258.75,,,,
Communities & Local Government,PINS,04/04/2012,NSI Fees & Expenses,NSI Expenses Planning,WRIGHT PLANNING,,MIC,,2100000001,,RH1 6DB,58.45,,,,
Communities & Local Government,PINS,04/04/2012,NSI Fees & Expenses,NSI Fees Planning,BARRETT CONSERVATION & PLANNING,,MIC,,2100000004,,RG28 7DW,"1,276.80",,,,
Communities & Local Government,PINS,04/04/2012,NSI Fees & Expenses,NSI Fees Planning,BARRETT CONSERVATION & PLANNING,,MIC,,2100000005,,RG28 7DW,"1,142.40",,,,
Communities & Local Government,PINS,04/04/2012,NSI Fees & Expenses,NSI Fees Planning,FITZSIMON PLANNING & DEVELOPMENT,,MIC,,2100000007,,CH7 5NL,"2,116.80",,,,
Communities & Local Government,PINS,04/04/2012,NSI Fees & Expenses,NSI Fees Planning,K2,,SMA,,2100000008,,DN36 5QS,840.00,,,,
Communities & Local Government,PINS,04/04/2012,NSI Fees & Expenses,NSI Fees Planning,LEIGH & GLENNIE LTD,,MIC,,2100000009,,SL5 9EA,"1,344.00",,,,
Communities & Local Government,PINS,04/04/2012,NSI Fees & Expenses,NSI Fees Planning,SIMON MILES PLANNING,,MIC,,2100000006,,EX20 4JW,560.00,,,,
Communities & Local Government,PINS,04/04/2012,NSI Fees & Expenses,NSI Fees Planning,WILLIAM FIELDHOUSE,,MIC,,2100000010,,S10 2NQ,826.00,,,,
Communities & Local Government,PINS,04/04/2012,NSI Fees & Expenses,NSI Fees Planning,WRIGHT PLANNING,,MIC,,2100000001,,RH1 6DB,"1,428.00",,,,
