,2009/10
Periodic Training Hours logged,"1,465,725"
Periodic training completed successfully and DQC triggered,"3,790"
Initial Qualifacation completed and DQC triggered ,"7,524"
Total DQC's issued (excludes replacements corrections etc),"11,314"
Non UK EU/EEA DQCs triggered,
Total centres approved,559
Total courses approved,"1,883"
Total courses completed,"32,804"
Total attendees,"161,195"
Total individual drivers active,"150,135"
JAUPT Routine audits (combined centre & course audits),31
