Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/07/2011,Stationery,Shareholder Executive - Shareholder Executive,OFFICE DEPOT UK LTD,1026127,-149.04
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/07/2011,Other IT Costs (Programme),Market and Frameworks Group - Consumer and Competition Policy,TRADING STANDARDS INSTITUTE (TSI),1026367,37199.62
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/07/2011,Standard Desktop Plus Service (PFI),Finance & Commercial Group - Commercial Directorate,FUJITSU SERVICES LTD,1027827,3119.83
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/07/2011,Standard Desktop Plus Service (PFI),Finance & Commercial Group - Commercial Directorate,FUJITSU SERVICES LTD,1027828,2796.01
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/07/2011,Standard Desktop Plus Service (PFI),Finance & Commercial Group - Commercial Directorate,FUJITSU SERVICES LTD,1027841,3573.08
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/07/2011,Standard Desktop Plus Service (PFI),Finance & Commercial Group - Commercial Directorate,FUJITSU SERVICES LTD,1027843,2812.74
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/07/2011,Standard Desktop Plus Service (PFI),Finance & Commercial Group - Commercial Directorate,FUJITSU SERVICES LTD,1028020,2706.69
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/07/2011,Standard Desktop Plus Service (PFI),Finance & Commercial Group - Commercial Directorate,FUJITSU SERVICES LTD,1028022,2520.42
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/07/2011,Standard Desktop Plus Service (PFI),Finance & Commercial Group - Commercial Directorate,FUJITSU SERVICES LTD,1028026,2051.42
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2011,Recovery of Loan Guarantees (Classed as Capital Grants),Business & Skills Group - Enterprise Directorate,BERR SFLG PAYMENT TO LENDERS,1028095,-6757.95
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2011,Recovery of Loan Guarantees (Classed as Capital Grants),Business & Skills Group - Enterprise Directorate,BERR SFLG PAYMENT TO LENDERS,1028095,-90628
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2011,Recovery of Loan Guarantees (Classed as Capital Grants),Business & Skills Group - Enterprise Directorate,BERR SFLG PAYMENT TO LENDERS,1028096,-80432.22
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2011,Recovery of Loan Guarantees (Classed as Capital Grants),Business & Skills Group - Enterprise Directorate,BERR SFLG PAYMENT TO LENDERS,1028096,-22223.81
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2011,Recovery of Loan Guarantees (Classed as Capital Grants),Business & Skills Group - Enterprise Directorate,BERR SFLG PAYMENT TO LENDERS,1028097,-61185.64
