Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/12/2011,Research & Development Expenditure (Programme),Knowledge and Innovation Group - Government Office For Science,MAUREEN O'HARA,1035312,10000, -Research & Development Expenditure (Programme),NY 14882,SME,,,Programme
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/12/2011,Service Charges,Finance & Commercial Group - Commercial Directorate,CUSHMAN & WAKEFIELD LLP,1035353,3400, -Service Charges,B2 2JT,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/12/2011,Research & Development Expenditure (Programme),Knowledge and Innovation Group - Government Office For Science,GYGES CONSULTING LTD,1037534,500, -Research & Development Expenditure (Programme),VG1110,SME,,,Programme
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/12/2011,Other Overseas Travel & Subsistence,"Legal, People & Communications Group - Human Resources",FOREIGN AND COMMONWEALTH OFFICE (FCO),1038965,15.64, -Other Overseas Travel & Subsistence,MK10 1PX,GOV,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/12/2011,Other Overseas Travel & Subsistence,"Legal, People & Communications Group - Human Resources",FOREIGN AND COMMONWEALTH OFFICE (FCO),1038966,13.03, -Other Overseas Travel & Subsistence,MK10 1PX,GOV,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/12/2011,Air Fares Overseas,Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,FOREIGN AND COMMONWEALTH OFFICE (FCO),1038967,114.9, -Air Fares Overseas,MK10 1PX,GOV,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/12/2011,Air Fares Overseas,Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,FOREIGN AND COMMONWEALTH OFFICE (FCO),1038967,114.9, -Air Fares Overseas,MK10 1PX,GOV,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/12/2011,Hotels Overseas,Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,FOREIGN AND COMMONWEALTH OFFICE (FCO),1038968,117.81, -Hotels Overseas,MK10 1PX,GOV,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/12/2011,Hotels Overseas,Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,FOREIGN AND COMMONWEALTH OFFICE (FCO),1038968,0.07, -Hotels Overseas,MK10 1PX,GOV,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/12/2011,Interpreters,Knowledge and Innovation Group - Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),1039471,260.64, -Interpreters,MK10 1PX,GOV,,,Programme
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/12/2011,Interpreters,Knowledge and Innovation Group - Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),1039472,415.64, -Interpreters,MK10 1PX,GOV,,,Programme
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/12/2011,Grants - Current - Other,Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1039473,1339.6, -Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/12/2011,Air Fares Overseas,Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1039474,6.85, -Air Fares Overseas,MK10 1PX,GOV,,,Administration
