Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Transactions Number, Amount (�) ,VAT Registration Number
FCO,FCO,19-Dec-11,Information Systems Maintenance,DG CHANGE & DELIVERY,3M UNITED KINGDOM PLC,1033380,"61,687.50",
FCO,FCO,19-Dec-11,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,3M UNITED KINGDOM PLC,1033380,"12,337.50",
FCO,FCO,20-Dec-11,Programme Spend (Oracle Projects Control Account),DG POLITICAL,CTA ECONOMIC AND EXPORT ANALYSTS,1033495,"30,402.46",
FCO,FCO,12-Dec-11,Rental Payments - non residential,DG CHANGE & DELIVERY,APIA ASSET MANAGEMENT LIMITED,1032794,"35,196.00",
FCO,FCO,12-Dec-11,Rental Payments - non residential,DG CHANGE & DELIVERY,APIA ASSET MANAGEMENT LIMITED,1032794,"7,039.20",
FCO,FCO,06-Dec-11,Rental Payments - non residential,DG CHANGE & DELIVERY,ASSOCIACAO CULTURA INGLESA SAO PAULO,1008266,"25,748.37",
FCO,FCO,15-Dec-11,Rental Payments - non residential,DG CHANGE & DELIVERY,ASSOCIACAO CULTURA INGLESA SAO PAULO,1008309,"25,748.37",
FCO,FCO,08-Dec-11,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,MINES ADVISORY GROUP,1032579,"106,272.00",
FCO,FCO,19-Dec-11,General Information Services,DG CHANGE & DELIVERY,BULLET MARKETING LTD,1033389,"26,666.00",
FCO,FCO,19-Dec-11,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,BULLET MARKETING LTD,1033389,"5,333.20",
FCO,FCO,07-Dec-11,Programme Spend (Oracle Projects Control Account),DG POLITICAL,CAMCO ADVISORY SERVICES LTD,1032497,"105,000.00",
FCO,FCO,20-Dec-11,Temporary Staff (Admin and Clerical Only),DG CHANGE & DELIVERY,MEDLEY BUSINESS SOLUTIONS,1033587,"71,688.00",
FCO,FCO,20-Dec-11,Temporary Staff (Admin and Clerical Only),DG CHANGE & DELIVERY,MEDLEY BUSINESS SOLUTIONS,1033587,"14,337.60",
FCO,FCO,23-Dec-11,Rental Payments - non residential,DG CHANGE & DELIVERY,GUANGDONG INTERNATIONAL BUILDING ENTERPRISES CO LTD,9033665,302.29,
FCO,FCO,23-Dec-11,Rental Payments - non residential,DG CHANGE & DELIVERY,GUANGDONG INTERNATIONAL BUILDING ENTERPRISES CO LTD,9033665,"38,829.15",
FCO,FCO,23-Dec-11,Electricity Non-Residential,#N/A,GUANGDONG INTERNATIONAL BUILDING ENTERPRISES CO LTD,9033665,"1,695.24",
FCO,FCO,23-Dec-11,Electricity Non-Residential,#N/A,GUANGDONG INTERNATIONAL BUILDING ENTERPRISES CO LTD,9033665,"-1,695.24",
FCO,FCO,23-Dec-11,Electricity Non-Residential,#N/A,GUANGDONG INTERNATIONAL BUILDING ENTERPRISES CO LTD,9033665,"1,640.83",
FCO,FCO,08-Dec-11,Rental Payments - non residential,DG CHANGE & DELIVERY,GRAHAM DACRE AKA DACRE PROPERTY HOLDINGS,1032569,"12,479.50",
FCO,FCO,08-Dec-11,Rental Payments - non residential,DG CHANGE & DELIVERY,GRAHAM DACRE AKA DACRE PROPERTY HOLDINGS,1032569,"59,237.50",
FCO,FCO,08-Dec-11,Rental Payments - non residential,DG CHANGE & DELIVERY,GRAHAM DACRE AKA DACRE PROPERTY HOLDINGS,1032569,"53,012.00",
FCO,FCO,08-Dec-11,Rental Payments - non residential,DG CHANGE & DELIVERY,GRAHAM DACRE AKA DACRE PROPERTY HOLDINGS,1032569,"34,042.00",
FCO,FCO,08-Dec-11,Rental Payments - non residential,DG CHANGE & DELIVERY,GRAHAM DACRE AKA DACRE PROPERTY HOLDINGS,1032569,"2,495.90",
FCO,FCO,08-Dec-11,Rental Payments - non residential,DG CHANGE & DELIVERY,GRAHAM DACRE AKA DACRE PROPERTY HOLDINGS,1032569,"11,847.50",
FCO,FCO,08-Dec-11,Rental Payments - non residential,DG CHANGE & DELIVERY,GRAHAM DACRE AKA DACRE PROPERTY HOLDINGS,1032569,"10,602.40",
FCO,FCO,08-Dec-11,Rental Payments - non residential,DG CHANGE & DELIVERY,GRAHAM DACRE AKA DACRE PROPERTY HOLDINGS,1032569,"6,808.40",
FCO,FCO,19-Dec-11,Nursery Childcare Subsidy,DG CHANGE & DELIVERY,EDENRED,1033394,"35,358.67",
FCO,FCO,19-Dec-11,Nursery Childcare Subsidy,DG CHANGE & DELIVERY,EDENRED,1033394,"1,060.76",
FCO,FCO,19-Dec-11,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,EDENRED,1033394,212.15,
FCO,FCO,05-Dec-11,Programme Spend (Oracle Projects Control Account),DG DEFENCE AND INTELLIGENCE,AWE PLC,1032255,"25,750.00",
FCO,FCO,05-Dec-11,Programme Spend (Oracle Projects Control Account),DG DEFENCE AND INTELLIGENCE,AWE PLC,1032255,"5,150.00",
FCO,FCO,21-Dec-11,Recharge Suspense Account (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,PT CHAZARO GERBANG INTERNASIONAL,5732,"33,279.30",
FCO,FCO,01-Dec-11,Compensation Payments,DG CHANGE & DELIVERY,CHERRY PARTON,1032065,"31,563.99",
FCO,FCO,09-Dec-11,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,LEVIZJA FOL,3003045,"26,997.34",
