Post unique reference,Name,Grade,Job Title,Job/Team Function,Parent Department,Organisation,Unit,Contact phone,Contact e-mail,Reports To (inc post ref),Notes,Salary Cost of Reports

1105340,Admiral Sir Mark Stanhope GCB OBE ADC,Admiral,First Sea Lord (1SL) / Chief of Naval Staff,"The Royal Navy's professional head and Chairman of the Navy Board. He is responsible to the Secretary of State for the fighting effectiveness, efficiency and morale of the Naval Service, and as a member of the Defence Council supports the Secretary of State in the management and direction of the Armed Forces through prerogative and statutory powers. As a member of the Chiefs of Staff Committee, he advises CDS on maritime strategy and policy whilst as a member of the Defence Board, he has a collective responsibility for providing strategic direction to the department, managing performance and ensuring that Defence delivers the required outputs. He is also the Top Level Budget holder for the Naval Sector and advises the Permanent Under Secretary on resource allocation and budgetary planning in light of defence policy and naval priorities. He thus holds both Single-Service Executive Committee and Departmental responsibilities.",Ministry of Defence,Ministry of Defence,Navy Command TLB,,FLEET-DCS FOICELL-f@mod.uk,,,818489
1123043,Admiral Sir Trevor Soar KCB OBE,Admiral,Commander-in-chief Fleet (CINC Fleet),"CINC has full command of all deployable Fleet units including the Royal Marines. He is responsible for providing ships, submarines, aircraft and Royal Marine units ready in all respects for any operations that the UK Government requires. As a NATO Commander, he is the maritime advisor to the Joint Force Commander (Brunssum) and is tasked to ensure NATO maritime forces are ready to engage in joint and combined operations as required by the North Atlantic Council. He is also directly responsible for elements of the Standing NATO Response Force.",Ministry of Defence,Ministry of Defence,Navy Command TLB,,FLEET-DCS FOICELL-f@mod.uk,1105340 / First Sea Lord (1SL),,572274
1121797,Vice Admiral Richard Ibbotson CB DSC,Vice Admiral,Deputy Commander-in-Chief Fleet and Chief of Staff Navy Command HQ (DCINC),"DINCFLEET's primary purpose is to lead NCHQ in the delivery of Navy Command objectives in accordance with the Framework document. As the Chief of Staff NCHQ, he coodrdinates and integrates the work of the HQ and optimises outputs within the funded programme in accordance with Navy Command Framework and CINCFLEET'S and 2SL/CNH's annual priorities.",Ministry of Defence,Ministry of Defence,Navy Command TLB,,FLEET-DCS FOICELL-f@mod.uk,Commander-in-Chief Fleet (CINC) 1123043,,855109
1121821,Vice Admiral Charles Montgomery CBE ADC,Vice Admiral,Second Sea Lord and Commander-in-Chief Naval Home Command,"The Second Sea Lord (2SL) is both the Principal Personnel Officer (PPO) and Commander-in-Chief Naval Home Command (CNH). He has direct responsibility to 1SL/CNS for acting as the personnel champion for all Royal Navy personnel wherever they are serving, regardless of which TLB or other organisation employs them. As the PPO he develops Royal Navy policies and influences Defence-wide policies that enable the Royal Navy to be populated by sufficient, capable and motivated personnel now and in the future. As CNH, he is responsible for the non-deployable Fleet organisations and infrastructure covering such areas as training establishments and their personnel, Reserves in the UK and recruiting personnel and offices.",Ministry of Defence,Ministry of Defence,Navy Command TLB,,FLEET-DCS FOICELL-f@mod.uk,1105340 / First Sea Lord (1SL),,1610622
1079272,Rear Admiral Peter Hudson CBE,Rear Admiral,Commander UK Maritime Forces (COMUKMARFOR),"COMUKMAR is prepared to assume command of UK, Allied or Coalition maritime forces, worldwide, when assigned under directives issued by Chief of Joint Operations, Commander-in-Chief Fleet or other National or Allied Commanders. The Maritime Battle Staff is a scaleable 2* operational command capability that can be run out fully under 2* command, shore or afloat, or tailored to provide a command or support-to-command function at the appropriate command level and to scale demanded by the circumstances.",Ministry of Defence,Ministry of Defence,Navy Command TLB,,FLEET-DCS FOICELL-f@mod.uk,1121797 / Deputy Commander-in-Chief Fleet (DCINC),,3051829
1082197,Major General Buster Howes OBE,Major General,Commander UK Amphibious Forces / Commandant General Royal Marines,"Commander of the UK Amphibious Forces (CAF) is a rapidly deployable amphibious land, maritime, joint or national contingent headquarters staff which is currently commanding the European Union's Naval mission to deter piracy off the coast of Somalia (Operation ATALANTA). Commandant General Royal Marines (CGRM) is the head of service for over 7000 Royal Marines and is responsible for all regimental and representational matters. CGRM is also a non-voting member of the Navy Board.",Ministry of Defence,Ministry of Defence,Navy Command TLB,,FLEET-DCS FOICELL-f@mod.uk,1121797 / Deputy Commander-in-Chief Fleet (DCINC),,2086367
1123122,Rear Admiral Mark Anderson BSc,Rear Admiral,Commander Maritime Operations (COMOPS),"Commander Operations (COMOPS) has three broad areas of responsibility; On behalf of CINCFLEET he exercises operational command over all operational Fleet units worldwide, including Royal Marines, outside the PJHQ JOA. In addition, he is Rear Admiral Submarines and 'Tribal Chief' of the submarine service, and the NATO Commander Submarine Forces North (COMSUBNORTH or CSN).",Ministry of Defence,Ministry of Defence,Navy Command TLB,,FLEET-DCS FOICELL-f@mod.uk,1121797 / Deputy Commander-in-Chief Fleet (DCINC),,43781430
1125222,,Rear Admiral,Chief of Staff Aviation & Carriers (COS AVN),"COS(AVN) is responsible for delivering aviation Force Elements at Readiness in accordance with the RN plan and arising events, which includes all RN fixed and rotary wing assets and the generation of carriers and carrier capability. He is the lead, on behalf of CINC, for the development of the future Carrier Strike capability. He also holds legal responsibility for the safe and appropriate manner in which maritime aviation is conducted as the Aviation Operational Duty Holder implemented by the recently formed Military Aviation Authority. COS(A&C) is also responsible, as a Fighting Arm Head, for the professional effectiveness, ethos and spirit of all FAA personnel at home and abroad in a full Command capacity as Rear Admiral Fleet Air Arm.",Ministry of Defence,Ministry of Defence,Navy Command TLB,,FLEET-DCS FOICELL-f@mod.uk,1121797 / Deputy Commander-in-Chief Fleet (DCINC),,67897567
1119941,Major General Garry Robison,Major General,Chief of Staff of Capability (COS (CAP)),"COS(CAP) is an Operating Board Member and Principle Executive Staff Officer within the Royal Navy's Front Line Operational Headquarters of 1,200 military and civilian staff. He and his team are responsible for the comprehensive Force Generation and preparation of Royal Navy warships, nuclear submarines and Royal Marines personnel for operations worldwide, and responsible for the programming of the 4 year equipment and support budget to underpin their materiel availability. COS(CAP) has a close working relationship with COS(Aviation and Carriers) in the generation of maritime aviation and carrier capability.",Ministry of Defence,Ministry of Defence,Navy Command TLB,,FLEET-DCS FOICELL-f@mod.uk,1121797 / Deputy Commander-in-Chief Fleet (DCINC),,3439999
