FREEDOM OF INFORMATION,,
MOD Requests to 04 April 2011,,
"CIO-CI-Access Team, Ministry of Defence, CIO-FOI@mod.uk",,

Case Number,Date Due,Request Summary
28-02-2011-093438-001,25/03/2011,"Information relating to the instigation, progress, and any results of the inquiry into the leak of the letter referenced in this article:http://www.guardian.co.uk/politics/2010/sep/29/military-police-leak-li"
28-02-2011-093918-002,25/03/2011,Meal budget for service personnel (a) serving on the frontline in Afghanistan and (b) serving on submarines on patrol.
28-02-2011-094811-003,28/03/2011,"All correspondence between Admiral Sir Mark Stanhope, his representatives or any agents regarding the proposal of permanently mooring the HMS Ark Royal at the Royal Docks, London City Airport"
28-02-2011-095625-004,28/03/2011,"I note the army is currently deployed across 7 countries and one continent. What is the total cost, per service?"
28-02-2011-100722-005,28/03/2011,Copy of the full and current version of the Dress Regulations and also the Drill Manual of the Guards Division. 
28-02-2011-101152-006,28/03/2011,The Defence Internal Audit team visited HQ LAND FORCES during October or November 2011. I request a copy of their report.
28-02-2011-110538-007,28/03/2011,Information on the sale of land to PRINCESS YACHT'S Devonport South Yard 
28-02-2011-113022-008,28/03/2011,A copy of the prints requester took in 1982 while on detachment from HMS Endurance in Falklands.
28-02-2011-130236-009,21/03/2011,"Copy of the findings of Landmarc's report with Alex Associates that inspected Barns 21,23 & 25, and Choulston Farmhouse on 14 Dec 2010. Copies of correspondence between Landmarc & DE ref 6 Wains Way since 1 Nov 2010."
28-02-2011-153543-001,28/03/2011,Formal data where available on: Rates of retention of female personnel who become pregnant and working conditions
28-02-2011-182609-001,28/03/2011,"Information about a small Army depot, known as Paul Camp."
28-02-2011-183630-002,28/03/2011,Information on any harmful medical causal links found between the effects of the aftermath of the British Pacific Christmas Island Nuclear Bomb tests on the naval staff present at the time of the nuclear bomb tests
28-02-2011-184352-003,28/03/2011,Number of injuries/fatalities incurred by private military/security companies who have been contracted by the MoD to provide services and personnel in Afghanistan during from 7 October 2001 - 31 January 2011.
28-02-2011-185150-004,28/03/2011,"Please provide past and present campaigns by the military in the form of posters, leaflets, publications or any other mediums used to recruit soldiers."
01-03-2011-094047-001,29/03/2011,"Information on the bombing of a Youth & Community Centre, Belfast and Empire Loyalist Group who claimed it."
01-03-2011-102830-002,28/03/2011,Maps showing the location of the drainage that was put in when Normanton Airfield was built
01-03-2011-104102-003,28/03/2011,"Details of the specific funding programme and purpose of these programmes, for the training of overseas military personnel at York St. John University in the last ten years."
01-03-2011-113455-005,29/03/2011,Information about the Department's Government Procurement Card transactions over £500.
01-03-2011-114011-006,29/03/2011,Various questions regarding staff and IT procurement in DASA
01-03-2011-114049-001,28/03/2011,"Information on recovery operations following the loss of G-BLUN in Morecombe Bay, 27 December 2006."
01-03-2011-120040-001,29/03/2011,MoD Staff and overseas accommodation costs
01-03-2011-135803-001,29/03/2011,"Details the MoD has on file about supposed instances of Satanism, black magic and witchcraft activities in Northern Ireland 1973-74."
01-03-2011-140826-002,29/03/2011,Information concerning visits made by British Regular Army representatives to every Primary school and Secondary in the United Kingdom from 2005 to February 2011. 
