"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105390","OF2","37916","45090","Senior Staff Outer Office","2.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105390","OF4","67032","77617","Senior Staff Outer Office","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105390","OF5","81310","89408","Release to Service Authority","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105390","OR7-8","33223","43252","Release to Service Authority","4.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1105390","OR9","38600","46753","Release to Service Authority","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1079272","D","23427","29092","Capability Management & Force Generation","1.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1079272","OF2","37916","45090","Capability Management & Force Generation","6.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1079272","OF3","47760","57200","Capability Management & Force Generation","26.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1079272","OF4","67032","77617","Capability Management & Force Generation","7.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1079272","OF5","81310","89408","Capability Management & Force Generation","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1079272","OR1-3","17515","28940","Capability Management & Force Generation","6.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1079272","OR4","26405","33182","Capability Management & Force Generation","6.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1079272","OR5-6","30013","36929","Capability Management & Force Generation","7.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1079272","OR7-8","33223","43252","Capability Management & Force Generation","4.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1079272","OR9","38600","46753","Capability Management & Force Generation","5.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1082197","E1","18370","22124","Personal Secretary","1.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1082197","OF2","37916","45090","Capability Management & Force Generation","5.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1082197","OF3","47760","57200","Capability Management & Force Generation","18.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1082197","OF4","67032","77617","Capability Management & Force Generation","5.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1082197","OF5","81310","89408","Capability Management & Force Generation","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1082197","OR1-3","17515","28940","Capability Management & Force Generation","2.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1082197","OR4","26405","33182","Capability Management & Force Generation","5.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1082197","OR7-8","33223","43252","Capability Management & Force Generation","5.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1082197","OR9","38600","46753","Capability Management & Force Generation","2.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1123122","D","23427","29092","Administrator","3.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1123122","E1","18370","22124","Administrator","5.50","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1123122","E2","15623","18815","Administrator","1.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1123122","Fast Stream Grade Band C1","35648","44268","Administrator","1.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1123122","OF2","37916","45090","Front Line Military","58.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1123122","OF2 (RFA)","37916","45090","Front Line Military","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1123122","OF3","47760","57200","Front Line Military","47.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1123122","OF3 (RFA)","47760","57200","Front Line Military","2.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1123122","OF4","67032","77617","Front Line Military","20.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1123122","OF4 (RFA)","67032","77617","Front Line Military","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1123122","OF5","81310","89408","Front Line Military","4.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1123122","OR1-3","17515","28940","Front Line Military","52.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1123122","OR4","26405","33182","Front Line Military","49.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1123122","OR5-6","30013","36929","Front Line Military","45.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1123122","OR7-8","33223","43252","Front Line Military","22.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1123122","OR9","38600","46753","Front Line Military","16.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1123122","OF4","67032","77617","Front Line Military","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1123122","E1","18370","22124","Administrator","3.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1123122","E2","15623","18815","Administrator","3.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1123122","OF1","24615","32703","Front Line Military","3.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1123122","OF2","37916","45090","Front Line Military","31.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1123122","OF3","47760","57200","Front Line Military","8.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1123122","OF4","67032","77617","Front Line Military","2.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1123122","OF5","81310","89408","Front Line Military","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1123122","OR1-3","17515","28940","Front Line Military","469.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1123122","OR4","26405","33182","Front Line Military","92.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1123122","OR5-6","30013","36929","Front Line Military","34.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1123122","OR7-8","33223","43252","Front Line Military","27.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1123122","OR9","38600","46753","Front Line Military","2.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1123122","Skill Zone 2","16482","18010","Administrative Support","4.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1123122","Skill Zone 3","18010","22150","Administrative Support","4.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1125222","E1","18370","22124","Personal Secretary","1.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1125222","OF3","47760","57200","Senior Staff Outer Office","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1125222","OR4","26405","33182","Senior Staff Outer Office","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1119941","E1","18370","22124","Personal Secretary","1.00","Policy"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1119941","OF4","67032","77617","Senior Staff Outer Office","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1116716","C1","35648","44268","Administrator","1.00","Human Resources"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1116716","C2","29258","36333","Administrator","1.00","Human Resources"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1116716","E1","18370","22124","Administrative Support","3.97","Human Resources"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1116716","OF2","37916","45090","HR Officer","2.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1116716","OF4","67032","77617","HR Officer","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1116716","OR4","26405","33182","HR Officer","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1116716","OR5-6","30013","36929","HR Officer","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","OF4","67032","77617","Senior Staff Outer Office","6.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","OF5","81310","89408","Senior Staff Outer Office","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","OF2","37916","45090","Communication and Media","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","OF3","47760","57200","Communication and Media","2.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","OF4","67032","77617","Senior Staff Outer Office","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","OR1-3","17515","28940","Communication and Media","2.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","OR4","26405","33182","Communication and Media","2.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","OR7-8","33223","43252","Communication and Media","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","B2","47942","59535","Office Manager","2.00","Policy"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","C1","35648","44268","Administrator","2.00","Policy"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","C2","29258","36333","Administrator","9.00","Policy"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","D","23427","29092","Administrator","3.81","Policy"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","E1","18370","22124","Administrative Support","12.32","Policy"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","E2","15623","18815","Administrative Support","3.81","Policy"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","JNC Lvl 2 (Youth Worker) 2-10","21525","28461","NHS/Retained Grade","1.00","Medicine"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","OF2","37916","45090","Communication and Media","13.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","OF2 (RFA)","37916","45090","Recruitment","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","OF3","47760","57200","Communication and Media","5.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","OF4","67032","77617","Senior Staff Outer Office","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","OF5","81310","89408","Senior Staff Outer Office","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","OR1-3","17515","28940","Communication and Media","8.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","OR1-3 (RFA)","17265","28940","Recruitment","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","OR4","26405","33182","Communication and Media","6.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","OR5-6","30013","36929","Recruitment","12.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","OR7-8","33223","43252","Communication and Media","15.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","Retired Offr 3","25600","29092","Administrator","0.61","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","Skill Zone 3","18010","22150","Other","2.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","D","23427","29092","Administrator","1.00","Policy"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","E1","18370","22124","Administrative Support","1.00","Policy"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","E2","15623","18815","Administrative Support","1.00","Policy"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","OF2","37916","45090","Communication and Media","6.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","OF3","47760","57200","Communication and Media","4.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","OF4","67032","77617","Senior Staff Outer Office","3.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","OR4","26405","33182","Communication and Media","2.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","OR5-6","30013","36929","Recruitment","2.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","OR7-8","33223","43252","Communication and Media","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","OR9","38600","46753","Senior Staff Outer Office","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","B2","47942","59535","Office Manager","1.00","Policy"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","C1","35648","44268","Administrator","2.00","Policy"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","C2","29258","36333","Administrator","1.00","Policy"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","C2 MSF","29258","36333","Administrator","1.00","Policy"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","D","23427","29092","Administrator","1.00","Policy"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","E1","18370","22124","Administrative Support","2.00","Policy"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","E2","15623","18815","Administrative Support","0.80","Policy"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","OF2","37916","45090","Communication and Media","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","OF3","47760","57200","Communication and Media","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","OR5-6","30013","36929","Recruitment","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","OR7-8","33223","43252","Communication and Media","15.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","MPGS","21599","29916","Guard Services","410.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","E1","18370","22124","Administrative Support","1.00","Policy"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","B1","56436","72185","Administrator","1.00","Policy"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","C1","35648","44268","Administrator","1.00","Policy"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","D","23427","29092","Administrator","1.00","Policy"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","E1","18370","22124","Administrative Support","11.14","Policy"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","E2","15623","18815","Administrative Support","0.65","Policy"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","OF2","37916","45090","Communication and Media","7.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","OF3","47760","57200","Communication and Media","2.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","OR1-3","17515","28940","Communication and Media","4.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","OR4","26405","33182","Communication and Media","12.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","OR5-6","30013","36929","Recruitment","2.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","Skill Zone 1","15083","16482","Other","1.00","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","B1","56436","72185","Administrator","1.00","Policy"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","C1","35648","44268","Administrator","1.00","Policy"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","D","23427","29092","Administrator","1.00","Policy"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","E1","18370","22124","Administrative Support","8.00","Policy"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","E2","15623","18815","Administrative Support","2.00","Policy"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","OF2","37916","45090","Communication and Media","5.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","OF3","47760","57200","Communication and Media","2.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","OR1-3","17515","28940","Communication and Media","5.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","OR4","26405","33182","Communication and Media","5.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","OR5-6","30013","36929","Recruitment","3.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","OR7-8","33223","43252","Communication and Media","2.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","B1","56436","72185","Administrator","1.00","Policy"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","C1","35648","44268","Administrator","1.00","Policy"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","C2","29258","36333","Administrator","1.00","Policy"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","E1","18370","22124","Administrative Support","8.00","Policy"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","OF2","37916","45090","Communication and Media","7.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","OF3","47760","57200","Communication and Media","2.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","OR1-3","17515","28940","Communication and Media","6.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","OR4","26405","33182","Communication and Media","11.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","OR5-6","30013","36929","Recruitment","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","OR7-8","33223","43252","Communication and Media","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","Skill Zone 1","15083","16482","Other","1.00","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","C1","35648","44268","Administrator","0.97","Policy"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","D","23427","29092","Administrator","1.00","Policy"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","E1","18370","22124","Administrative Support","14.86","Policy"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","E2","15623","18815","Administrative Support","2.97","Policy"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","OF2","37916","45090","Communication and Media","10.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","OF3","47760","57200","Communication and Media","2.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","OF4","67032","77617","Senior Staff Outer Office","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","OF5","81310","89408","Senior Staff Outer Office","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","OR1-3","17515","28940","Communication and Media","6.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","OR4","26405","33182","Communication and Media","12.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","OR5-6","30013","36929","Recruitment","2.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","Skill Zone 1","15083","16482","Other","1.00","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","C1","35648","44268","Administrator","3.41","Policy"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","C2","29258","36333","Administrator","3.00","Policy"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","D","23427","29092","Administrator","7.00","Policy"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","E1","18370","22124","Administrative Support","5.00","Policy"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","E2","15623","18815","Administrative Support","2.68","Policy"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","OF2","37916","45090","Communication and Media","11.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","OF3","47760","57200","Communication and Media","7.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","OF4","67032","77617","Senior Staff Outer Office","3.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","OF5","81310","89408","Senior Staff Outer Office","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","OR1-3","17515","28940","Communication and Media","2.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","OR4","26405","33182","Communication and Media","58.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","OR5-6","30013","36929","Recruitment","41.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","OR7-8","33223","43252","Communication and Media","25.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","OR9","38600","46753","Senior Staff Outer Office","9.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1083930","OF3 (RFA)","47760","57200","Training and Education","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1083930","OR1-3 (RFA)","17265","28940","Training and Education","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1083930","OR4 (RFA)","26405","33182","Training and Education","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1083930","E1","18370","22124","Personal Secretary","1.00","Policy"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1083930","OF4","67032","77617","Senior Staff Outer Office","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1370293","D","23427","29092","Administrator","0.81","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1370293","E1","18370","22124","Administrative Support","1.00","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1370293","E2","15623","18815","Administrative Support","0.81","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1370293","OF2","37916","45090","Senior Staff Outer Office","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1370293","OF4","67032","77617","Senior Staff Outer Office","2.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1370293","OF5","81310","89408","Senior Staff Outer Office","2.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1370293","Skill Zone 1","15083","16482","General Hand","1.00","Other"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","157333","B1","56436","72185","Assistant Head","2.00","Policy"
