Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Total
Ministry of Defence,Ministry of Defence,10/05/2010,"Adminstration, claims, compensation and awards",Defence Equipment & Support,CANON (UK) LIMITED,631113,548.56
Ministry of Defence,Ministry of Defence,07/05/2010,"Adminstration, claims, compensation and awards",Land Forces,CANON (UK) LIMITED,630236,2066.03
Ministry of Defence,Ministry of Defence,10/05/2010,"Adminstration, claims, compensation and awards",Land Forces,CANON (UK) LIMITED,631113,1987.48
Ministry of Defence,Ministry of Defence,06/05/2010,Building maintenance and accommodation stores,Air Command,L WHITAKER & SONS (1983) LIMITED,629602,410.03
Ministry of Defence,Ministry of Defence,07/05/2010,Building maintenance and accommodation stores,Defence Equipment & Support,SODEXO LTD,630874,292.20
Ministry of Defence,Defence Science and Technology Laboratory,07/05/2010,Capital Asset expenditure,Infrastructure,SERCO LIMITED,V - 9000122691 - 00080394,154094.98
Ministry of Defence,Defence Science and Technology Laboratory,07/05/2010,Capital Asset expenditure,Infrastructure,SERCO LIMITED,V - 9000122691 - 00080398,47898.55
Ministry of Defence,Defence Science and Technology Laboratory,07/05/2010,Capital Asset expenditure,Infrastructure,SERCO LIMITED,V - 9000122691 - 00080396,43802.68
Ministry of Defence,Defence Science and Technology Laboratory,07/05/2010,Consumable Materials,Operations,VISION RESEARCH LIMITED,V - 9000122659 - 00078170,69241.38
Ministry of Defence,Met Office,07/05/2010,Contractors,Government Business,Mod Public Sub Acct Hmg 4780,291774,32585.20
Ministry of Defence,Ministry of Defence,06/05/2010,Design services and minor equipment purchases,Air Command,BABCOCK SUPPORT SERVICES LIMITED,629272,425611.17
Ministry of Defence,Ministry of Defence,05/05/2010,Design services and minor equipment purchases,Air Command,BABCOCK SUPPORT SERVICES LIMITED,628564,153115.03
Ministry of Defence,Ministry of Defence,06/05/2010,Design services and minor equipment purchases,Air Command,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,629398,108320.70
Ministry of Defence,Ministry of Defence,06/05/2010,Design services and minor equipment purchases,Air Command,NEW PIG LTD,629706,206.78
Ministry of Defence,Ministry of Defence,04/05/2010,Design services and minor equipment purchases,Air Command,QINETIQ LIMITED,628364,430.00
Ministry of Defence,Ministry of Defence,05/05/2010,Design services and minor equipment purchases,Air Command,SERCO LIMITED,629078,2206610.75
Ministry of Defence,Ministry of Defence,04/05/2010,Design services and minor equipment purchases,Air Command,SERCO LIMITED,628413,1088879.06
Ministry of Defence,Ministry of Defence,07/05/2010,Design services and minor equipment purchases,Air Command,SERCO LIMITED,630858,473061.57
Ministry of Defence,Ministry of Defence,06/05/2010,Design services and minor equipment purchases,Air Command,SERCO LIMITED,629887,92566.88
Ministry of Defence,Ministry of Defence,10/05/2010,Design services and minor equipment purchases,Air Command,T.G. POWER LTD,631686,290305.23
Ministry of Defence,Ministry of Defence,07/05/2010,Design services and minor equipment purchases,Air Command,TURNER FACILITIES MANAGEMENT LTD,630972,41600.00
