Annex A: 2009 - 2010 Procurement Spend Data (Sensitive Information Removed),,,,,,,,,
Supplier Name,Invoice Posting Date,"Procurement Spend 
at Invoice Line Item Detail - Net Value (excl. VAT) ",PSPES Level 1,PSPES Level 2,GL Description,,,,
2e2 UK Ltd,29/05/2009,"32,807.95",ICT,Unclassified,General IT Prepaymen,,,,
2e2 UK Ltd,11/08/2009,"32,807.95",ICT,Maintenance & Support,Computer Equip Maint,,,,
2e2 UK Ltd,10/11/2009,"32,807.95",ICT,Maintenance & Support,Computer Equip Maint,,,,
2e2 UK Ltd,23/03/2010,"32,807.95",ICT,Maintenance & Support,Computer Equip Maint,,,,
2e2 UK Ltd,13/07/2009,"2,256.30",ICT,Maintenance & Support,Computer Equip Maint,,,,
2e2 UK Ltd,28/05/2009,"1,925.95",ICT,Maintenance & Support,Computer Equip Maint,,,,
2e2 UK Ltd,28/05/2009,"1,692.00",Unclassified,Unclassified,Other Op Supp & Ser,,,,
2e2 UK Ltd,11/05/2009,"1,400.00",Facilities,Building Management,Reactive Maintenance,,,,
2e2 UK Ltd,03/12/2009,"1,400.00",Facilities,Building Management,Reactive Maintenance,,,,
2e2 UK Ltd,18/03/2010,"1,400.00",Facilities,Building Management,Reactive Maintenance,,,,
2e2 UK Ltd,18/03/2010,"1,400.00",Facilities,Building Management,Reactive Maintenance,,,,
2e2 UK Ltd,28/07/2009,"1,200.00",Facilities,Building Management,Reactive Maintenance,,,,
2e2 UK Ltd,18/11/2009,"1,200.00",Facilities,Building Management,Reactive Maintenance,,,,
2e2 UK Ltd,25/08/2009,"1,004.60",ICT,Maintenance & Support,Computer Equip Maint,,,,
2e2 UK Ltd,29/05/2009,972.00,ICT,Maintenance & Support,Computer Equip Maint,
2e2 UK Ltd,08/05/2009,600.00,Facilities,Building Management,Reactive Maintenance,
2e2 UK Ltd,20/05/2009,600.00,Facilities,Building Management,Reactive Maintenance,
2e2 UK Ltd,28/07/2009,600.00,Facilities,Building Management,Reactive Maintenance,
2e2 UK Ltd,28/07/2009,600.00,Facilities,Building Management,Reactive Maintenance,
2e2 UK Ltd,05/11/2009,600.00,Facilities,Building Management,Reactive Maintenance,
2e2 UK Ltd,08/10/2009,600.00,Facilities,Building Management,Reactive Maintenance,
2e2 UK Ltd,15/03/2010,600.00,Facilities,Building Management,Reactive Maintenance,
2e2 UK Ltd,18/03/2010,600.00,Facilities,Building Management,Reactive Maintenance,
2e2 UK Ltd,30/03/2010,600.00,ICT,Maintenance & Support,Computer Equip Maint,
3 Monkeys Communications Ltd,19/08/2009,"17,550.00",Marketing & Media,Marketing,PR (Press),
3 Monkeys Communications Ltd,14/12/2009,"9,072.00",Marketing & Media,Marketing,Market Research,
3 Monkeys Communications Ltd,10/12/2009,"9,000.00",Marketing & Media,Marketing,New Media on-line Mt,
3 Monkeys Communications Ltd,09/12/2009,"6,720.00",Marketing & Media,Marketing,New Media on-line Mt,
3 Monkeys Communications Ltd,25/02/2010,"4,500.00",Marketing & Media,Marketing,New Media on-line Mt,
3 Monkeys Communications Ltd,01/02/2010,848.04,Marketing & Media,Marketing,PR (Press),
Abbey Labels,18/03/2010,"1,160.00",Unclassified,Unclassified,Outsourced Printing,
Abbey Labels,15/10/2009,"1,100.00",Unclassified,Unclassified,Varnish/Laminate,
Abbey Labels,18/03/2010,795.00,Unclassified,Unclassified,Outsourced Printing,
Abbey Labels,15/10/2009,732.00,Unclassified,Unclassified,Varnish/Laminate,
ABS Technical UK Ltd,31/03/2010,"2,250.00",Facilities,Building Management,Non Comp Equip  Main,
ABS Technical UK Ltd,28/08/2009,"1,739.40",Facilities,Building Management,Non Comp Equip  Main,
ABS Technical UK Ltd,09/02/2010,623.70,Facilities,Building Management,Non Comp Equip  Main,
