Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,21/11/2011,Property leases,Defence Infrastructure Organisation ,ASPIRE DEFENCE LIMITED,SP9 7QD,870740,Property dwellings private finance initiative - service concession arrangement service charge,"19,814,155.80"
Ministry of Defence,Ministry of Defence,04/11/2011,"Purchase of munitions, other inventory or fuel",Defence Equipment & Support,BP OIL INTERNATIONAL LIMITED,TW16 7BP,2000013343,Raw materials and consumable marine fuel inventory purchased,"18,066,830.77"
Ministry of Defence,Ministry of Defence,04/11/2011,"Purchase of munitions, other inventory or fuel",Defence Equipment & Support,BP OIL INTERNATIONAL LIMITED,E14 5NJ,2000013342,Raw materials and consumable aviation fuel inventory purchased,"15,128,264.15"
Ministry of Defence,Ministry of Defence,23/11/2011,"Purchase of munitions, other inventory or fuel",Defence Equipment & Support,MOTOR OIL (HELLAS) CORINTH  REFINERIES SA (MOH),,2000013643,Raw materials and consumable aviation fuel inventory purchased,"9,703,333.54"
Ministry of Defence,Ministry of Defence,17/11/2011,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,TS17 6YG,10897,Monthly GPC payment,"9,008,130.43"
Ministry of Defence,Ministry of Defence,16/11/2011,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,TS17 6YG,10893,Monthly GPC payment,"8,328,353.93"
Ministry of Defence,Ministry of Defence,07/11/2011,Design services and minor equipment purchases,Defence Equipment & Support,BAE SYSTEMS SURFACE SHIPS LIMITED,BS34 7QW,864749,Equipment support non-project costs,"8,262,016.30"
Ministry of Defence,Ministry of Defence,24/11/2011,Estate management,Defence Infrastructure Organisation ,LANDMARC SUPPORT SERVICES LIMITED,SP3 4RS,872670,Estate core services charge,"7,953,389.10"
Ministry of Defence,Ministry of Defence,11/11/2011,Estate management,Defence Infrastructure Organisation ,DEBUT SERVICES (SOUTH WEST)LIMITED,BA1 5AB,867189,Estate core services charge,"7,621,433.21"
Ministry of Defence,Ministry of Defence,09/11/2011,Estate management,Defence Infrastructure Organisation ,MODUS SERVICES LIMITED,SW1A 2HB,866121,Works - estate management,"6,743,942.66"
Ministry of Defence,Ministry of Defence,21/11/2011,Development costs for military equipment,Defence Equipment & Support,BAE SYSTEMS GLOBAL COMBAT SYSTEMS LIMITED,NP15 1XL,870763,Intangible single use military equipment asset  - in year capital addition,"6,413,214.00"
Ministry of Defence,Ministry of Defence,17/11/2011,Estate management,Defence Infrastructure Organisation ,MODERN HOUSING SOLUTIONS (PRIME)LIMITED,PE28 4QG,869700,Estate core services charge,"6,094,568.67"
Ministry of Defence,Ministry of Defence,07/11/2011,Development costs for military equipment,Defence Equipment & Support,MBDA UK LIMITED,SG1 2DA,5000065207,Intangible single use military equipment asset  - in year capital addition,"5,817,495.64"
Ministry of Defence,Ministry of Defence,24/11/2011,Design services and minor equipment purchases,Central TLB,METEOROLOGICAL OFFICE,EX1 3PB,872709,Equipment support non-project costs,"5,673,666.66"
Ministry of Defence,Ministry of Defence,21/11/2011,Property leases,Defence Infrastructure Organisation ,RMPA SERVICES PLC,CO2 7ST,871162,Property dwellings operating lease,"5,658,844.42"
Ministry of Defence,Ministry of Defence,21/11/2011,Estate management,Defence Infrastructure Organisation ,BABCOCK DYNCORP LIMITED,PE28 2EA,870754,Estate core services charge,"5,500,000.00"
Ministry of Defence,Ministry of Defence,18/11/2011,Estate management,Land Forces,HOLDFAST TRAINING SERVICES LTD,ME4 4UG,870273,Estate + facilities management services - accommodation inventory + service,"5,441,455.31"
Ministry of Defence,Ministry of Defence,07/11/2011,"Purchase of munitions, other inventory or fuel",Defence Equipment & Support,CHEVRON ALKHALIJ,,2000013387,Raw materials and consumable marine fuel inventory purchased,"5,324,037.03"
Ministry of Defence,Ministry of Defence,17/11/2011,Food and clothing,Defence Equipment & Support,PURPLE FOODSERVICE SOLUTIONS LIMITED,GU32 3QD,869860,Cost of food purchases,"4,623,047.00"
Ministry of Defence,Ministry of Defence,16/11/2011,Estate management,Defence Infrastructure Organisation ,BABCOCK DYNCORP LIMITED,PE28 2EA,868730,Estate core services charge,"4,295,695.57"
Ministry of Defence,Ministry of Defence,25/11/2011,Purchase of buildings and military equipment ,Defence Equipment & Support,BAE SYSTEMS SURFACE SHIPS LIMITED,G14 0XN,873080,Single use military equipment asset under construction - capital in year addition,"4,210,961.00"
Ministry of Defence,Ministry of Defence,25/11/2011,Rental of plant and machinery,Defence Equipment & Support,ALC (SPC) LIMITED,OX25 2LD,873035,Plant + machinery private finance initiative - service concession arrangements service charge,"3,765,020.68"
Ministry of Defence,Ministry of Defence,17/11/2011,Estate management,Defence Infrastructure Organisation ,CARILLIONENTERPRISE LIMITED,B75 7RL,869435,Estate core services charge,"3,753,242.33"
Ministry of Defence,Ministry of Defence,28/11/2011,"Purchase of munitions, other inventory or fuel",Air Command,WORLD FUEL SERVICES EUROPE  LTD.,SW1E 5BH,2000013737,Raw materials and consumable aviation fuel inventory purchased,"3,276,944.44"
Ministry of Defence,Ministry of Defence,09/11/2011,"Purchase of munitions, other inventory or fuel",Air Command,BP OIL INTERNATIONAL LIMITED,E14 5NJ,2000013439,Raw materials and consumable aviation fuel inventory purchased,"3,261,649.99"
Ministry of Defence,Ministry of Defence,16/11/2011,Purchase of buildings and military equipment ,Land Forces,HOLDFAST TRAINING SERVICES LTD,ME4 4UG,868916,Fiscal asset under construction - capital in year addition,"3,160,600.00"
Ministry of Defence,Ministry of Defence,22/11/2011,Grants to Reserves Forces and Cadets Association,Defence Infrastructure Organisation ,COUNCIL OF RESERVE FORCES' AND CADETS' ASSOCIATIONS,EC2A 4EY,871426,Grants to reserve forces and cadet associations,"3,148,768.83"
Ministry of Defence,Ministry of Defence,14/11/2011,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,DEBUT SERVICES LIMITED,B75 7RL,867767,Fiscal asset under construction - capital in year addition,"3,083,176.50"
Ministry of Defence,Ministry of Defence,23/11/2011,Dilapidation charges  ,Defence Infrastructure Organisation ,ANNINGTON PROPERTY LTD,W1U 1DR,871789,Other provisions payment against provision,"2,981,131.00"
Ministry of Defence,Ministry of Defence,22/11/2011,Purchase of general transport equipment,Defence Equipment & Support,AEBI SCHMIDT UK LIMITED,PE2 6GP,871330,Transport other asset - in year capital addition,"2,967,955.20"
Ministry of Defence,Ministry of Defence,09/11/2011,Rental of plant and machinery,Defence Equipment & Support,ALC (SPC) LIMITED,OX25 2LD,865819,Plant + machinery private finance initiative - service concession arrangements service charge,"2,900,349.02"
Ministry of Defence,Ministry of Defence,07/11/2011,Estate management,Defence Infrastructure Organisation ,MODERN HOUSING SOLUTIONS (PRIME)LIMITED,PE28 4QG,864998,Estate core services charge,"2,798,048.33"
Ministry of Defence,Ministry of Defence,08/11/2011,Purchase of buildings and military equipment ,Defence Equipment & Support,BAE SYSTEMS SURFACE SHIPS LIMITED,G14 0XN,865331,Single use military equipment asset under construction - capital in year addition,"2,791,160.00"
Ministry of Defence,Ministry of Defence,22/11/2011,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,SEFA CONTRACTORS JV,,3000006221,Fiscal asset under construction - capital in year addition,"2,691,098.65"
Ministry of Defence,Ministry of Defence,25/11/2011,"Purchase of munitions, other inventory or fuel",Defence Equipment & Support,CHEVRON SINGAPORE PTE LIMITED,,2000013683,Raw materials and consumable marine fuel inventory purchased,"2,662,018.51"
Ministry of Defence,Ministry of Defence,03/11/2011,Estate management,Defence Infrastructure Organisation ,BABCOCK SUPPORT SERVICES LIMITED,KY11 2YD,5000064738,Estate core services charge,"2,603,514.04"
