Department for Transport statistics,,,,,,,,,,
Accessibility Statistics (http://www.dft.gov.uk/statistics/series/accessibility/),,,,,,,,,,
Table ACS0110,,,,,,,,,,
"Households with good transport access to key services or work1 by region, England, 2007 to 2010",,,,,,,,,,
,,,,,,,,,,Index (2010 England = 100)2
Year,England,North East,North West,Yorkshire and the Humber,East Midlands,West Midlands,East,London,South East,South West
2007 3,110,109,110,93,99,111,95,145,114,91
2008 3,102,105,100,86,97,101,88,137,104,82
2009 3,104,109,104,88,100,105,90,137,104,84
2010,100,105,97,86,91,102,88,136,100,83
2011,97,98,97,87,82,99,85,135,98,76
1 These form part of the Department for Transport Business Plan. For further information see http://www.dft.gov.uk/publications/dft-business-plan-2011-2015/,,,,,,,,,,
2 Values are indexed with a base of 100 for 2010 England value.,,,,,,,,,,
3 Values for 2007 - 2009 are published as experimental statistics only.,,,,,,,,,,
Telephone: 020 7944 3556,,,,,,,,,,Source: DfT Accessibility Statistics
Email: subnational.stats@dft.gsi.gov.uk,,,,,,,,,,Last updated: 12 July 2012
,,,,,,,,,,Next update: July 2013
The figures in this table are outside the scope of National Statistics,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,

,,,,,,,,,,
