Department,Entity,Date,Expense Type,Expense Area,Supplier,Post Code,Transaction Number,Payment Description,Total (£)
Ministry of Defence,Defence Science and Technology Laboratory,23/03/2012,Sub Contracted Research,Programme Office,QINETIQ LIMITED,,V - 9000141332 - 00131150,,"81,159.00"
Ministry of Defence,Ministry of Defence,08/03/2012,Purchase of inventory and services ,Defence Equipment & Support,DHS SYSTEMS INT'L LIMITED,HR2 6NP,911041,Consumption of medical dental and veterinary inventory,"81,120.00"
Ministry of Defence,Ministry of Defence,01/03/2012,Spend on Inventory - General,Defence Equipment & Support,KILLGERM CHEMICALS LTD,WF5 9AR,907916,Spend on Inventory - General,"81,079.80"
Ministry of Defence,Ministry of Defence,29/03/2012,General services and support,Defence Equipment & Support,BACHE PALLETS LTD,DY9 8HU,920097,Purchase of defence support equipment below capitalisation threshold of £25k.,"81,000.00"
Ministry of Defence,Defence Science and Technology Laboratory,30/03/2012,Materials & Equipment,Operations,FISHER SCIENTIFIC UK LIMITED,,V - 9000141609 - 00132674,,"81,000.00"
Ministry of Defence,Defence Science and Technology Laboratory,09/03/2012,Sub Contracted Research,Programme Office,SYSTEMS ENGINEERING & ASSESSMENT LIMITED,,V - 9000140787 - 00130058,,"81,000.00"
Ministry of Defence,Ministry of Defence,22/03/2012,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,CARILLIONENTERPRISE LIMITED,B75 7RL,917024,Fiscal asset under construction - capital in year addition,"80,694.96"
Ministry of Defence,Defence Science and Technology Laboratory,30/03/2012,Sub Contracted Research,Programme Office,QINETIQ LIMITED,,V - 9000141569 - 00132729,,"80,494.00"
Ministry of Defence,Defence Science and Technology Laboratory,02/03/2012,Sub Contracted Research,Programme Office,ATLAS ELEKTRONIK UK LIMITED,,V - 9000140644 - 00129810,,"80,464.08"
Ministry of Defence,Ministry of Defence,27/03/2012,Design services and minor equipment purchases,Defence Equipment & Support,IMES LTD.,BS32 4NF,919061,Equipment support project costs,"80,456.63"
Ministry of Defence,Defence Science and Technology Laboratory,23/03/2012,Sub Contracted Work,Operations,IBM UNITED KINGDOM LIMITED,,V - 9000141239 - 00128616,,"80,315.00"
Ministry of Defence,Ministry of Defence,06/03/2012,Spend on Inventory - General,Defence Equipment & Support,TMD TECHNOLOGIES LTD,UB3 1DQ,909716,Spend on Inventory - General,"80,280.00"
Ministry of Defence,Ministry of Defence,12/03/2012,Grants to Reserves Forces and Cadets Association,Land Forces,THE ARMY CADET FORCE ASSOCIATION,EC2A 4DW,912597,Grants to reserve forces and cadet associations,"80,000.00"
Ministry of Defence,Defence Science and Technology Laboratory,02/03/2012,Sub Contracted Research,Programme Office,ATLAS ELEKTRONIK UK LIMITED,,V - 0000001999 - 00130303,,"80,000.00"
Ministry of Defence,Defence Science and Technology Laboratory,23/03/2012,Sub Contracted Work,Operations,SYSTEMS CONSULTANTS SERVICES LIMITED,,V - 9000141264 - 00131900,,"80,000.00"
Ministry of Defence,Defence Science and Technology Laboratory,02/03/2012,Sub Contracted Research,Programme Office,SYSTEMS ENGINEERING & ASSESSMENT LIMITED,,V - 9000140573 - 00122077,,"80,000.00"
Ministry of Defence,Ministry of Defence,30/03/2012,Spend on Inventory - General,Defence Equipment & Support,TURNER VIRR & CO. LTD,LS25 2DY,921733,Spend on Inventory - General,"79,686.06"
Ministry of Defence,Ministry of Defence,12/03/2012,Purchase of inventory and services ,Defence Equipment & Support,CORPORATE DOCUMENT SERVICES  LIMITED,LS2 7LY,912218,Cost of other material consumed,"79,562.45"
Ministry of Defence,Ministry of Defence,06/03/2012,Design services and minor equipment purchases,Defence Equipment & Support,MAN DIESEL & TURBO UK LIMITED,SK7 5BP,909493,Equipment support project costs,"79,359.73"
Ministry of Defence,Defence Science and Technology Laboratory,16/03/2012,Energy & Utility,Infrastructure,SCOTTISH HYDRO ELECTRIC GAS LIMITED,,V - 9000141119 - 00131320,,"79,301.81"
Ministry of Defence,Ministry of Defence,14/03/2012,Design services and minor equipment purchases,Defence Equipment & Support,SOARING (OXFORD) LTD,NG23 5NG,913701,Equipment support non-project costs,"79,218.33"
Ministry of Defence,Ministry of Defence,19/03/2012,"Transportation of personnel, freight and travel expenses",Defence Equipment & Support,MOBILE MINI UK LTD,TS18 3TX,915348,Freight movement costs,"79,172.15"
Ministry of Defence,Defence Science and Technology Laboratory,02/03/2012,Sub Contracted Work,Operations,ROKE MANOR RESEARCH LIMITED,,V - 9000140578 - 00127803,,"79,075.00"
Ministry of Defence,Ministry of Defence,12/03/2012,Design services and minor equipment purchases,Defence Equipment & Support,EDO MBM TECHNOLOGY LIMITED,BN1 9HU,912276,Post design services which are not capitalised,"79,001.60"
Ministry of Defence,Ministry of Defence,19/03/2012,International contributions,Central TLB,CRANFIELD UNIVERSITY,MK43 0AL,915166,Defence military assistance fund international subscriptions and other payments,"79,000.00"
Ministry of Defence,Council of Reserve Forces and Cadets Associations,29/02/2012,"Public relations, including marketing and advertising",Recruiting Support,JIGSAW RESEARCH,,213,Public relations services including items such as sales marketing and advertising,"79,000.00"
Ministry of Defence,Ministry of Defence,16/03/2012,Spend on Inventory - General,Air Command,FORBO FLOORING UK LIMITED,DE5 3NT,914597,Spend on Inventory - General,"78,930.66"
Ministry of Defence,Defence Science and Technology Laboratory,02/03/2012,Repairs & Maintenance,Infrastructure,SERCO LIMITED,,V - 9000140640 - 00129828,,"78,833.35"
Ministry of Defence,Ministry of Defence,30/03/2012,Transport hire charges,Defence Equipment & Support,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,920930,Transport other operating lease,"78,802.88"
Ministry of Defence,Ministry of Defence,14/03/2012,Design services and minor equipment purchases,Defence Equipment & Support,ULTRA ELECTRONICS LIMITED,UB6 8UA,913789,Equipment support non-project costs,"78,796.91"
Ministry of Defence,Ministry of Defence,29/03/2012,Fees for professional services,Land Forces,L.A. INTERNATIONAL COMPUTER  CONSULTANTS LIMITED,ST1 5UB,920388,Fees for professional services excluding legal fees,"78,670.01"
Ministry of Defence,Ministry of Defence,29/03/2012,Payment of utilities,Defence Equipment & Support,GB OILS LIMITED,FK5 4RB,920304,Utilities consumed - heating oil,"78,646.37"
Ministry of Defence,Ministry of Defence,13/03/2012,Purchase of inventory and services ,Defence Equipment & Support,STRYKER U K LTD,RG14 5EG,913105,Consumption of medical dental and veterinary inventory,"78,606.00"
Ministry of Defence,Ministry of Defence,08/03/2012,Estate management,Defence Infrastructure Organisation ,BABCOCK SUPPORT SERVICES LIMITED,KY11 2YD,5000073775,Estate core services additional charge,"78,593.91"
Ministry of Defence,Defence Science and Technology Laboratory,23/03/2012,Sub Contracted Work,Operations,ROKE MANOR RESEARCH LIMITED,,V - 9000141265 - 00131864,,"78,527.93"
Ministry of Defence,Council of Reserve Forces and Cadets Associations,29/02/2012,Building maintenance and accommodation stores,Estates Management,SOUTHBAY CIVIL ENGINEERING LTD,,45144,Works - civil estate,"78,368.57"
Ministry of Defence,Ministry of Defence,07/03/2012,Spend on Inventory - General,Air Command,KEYMED (MEDICAL & INDUSTRIAL EQUIPMENT) LTD,SS2 5QH,910584,Spend on Inventory - General,"78,000.00"
Ministry of Defence,Ministry of Defence,22/03/2012,Spend on Inventory - General,Air Command,KEYMED (MEDICAL & INDUSTRIAL EQUIPMENT) LTD,SS2 5QH,917194,Spend on Inventory - General,"78,000.00"
Ministry of Defence,Defence Science and Technology Laboratory,16/03/2012,Materials & Equipment,Operations,FISHER SCIENTIFIC UK LIMITED,,V - 9000141149 - 00131133,,"78,000.00"
Ministry of Defence,Ministry of Defence,20/03/2012,Purchase of inventory and services ,Land Forces,CORPORATE DOCUMENT SERVICES  LIMITED,LS2 7LY,915821,Cost of other material consumed,"77,970.60"
Ministry of Defence,Council of Reserve Forces and Cadets Associations,15/03/2012,Building maintenance and accommodation stores,Estates Management,IFIELD & BARRETT ROOFING LTD,,13755,Works - civil estate,"77,937.00"
Ministry of Defence,Ministry of Defence,16/03/2012,Fees for professional services,Central TLB,LOGICA UK LIMITED,KT22 7LP,914676,"Advice and guidance on how to produce the product, but not production of the product itself.","77,784.38"
Ministry of Defence,Ministry of Defence,13/03/2012,Spend on Inventory - General,Defence Equipment & Support,PAG LIMITED,SW20 8SA,913024,Spend on Inventory - General,"77,713.20"
Ministry of Defence,Ministry of Defence,15/03/2012,Research and development,Defence Equipment & Support,GKN AEROSPACE SERVICES LIMITED,PO3 5PE,914061,Feasibility studies covering concept/assessment phase costs,"77,706.00"
Ministry of Defence,Defence Science and Technology Laboratory,09/03/2012,Sub Contracted Research,Programme Office,ATLAS ELEKTRONIK UK LIMITED,,V - 9000140869 - 00130684,,"77,560.27"
Ministry of Defence,Ministry of Defence,07/03/2012,Externally delivered education and training,Air Command,AGUSTAWESTLAND LIMITED,BA20 2YB,910335,External military training ,"77,520.00"
Ministry of Defence,Ministry of Defence,08/03/2012,Design services and minor equipment purchases,Defence Equipment & Support,DEFENCE SUPPORT GROUP  (DSG),SP11 8HT,911035,Equipment support non-project costs,"77,373.96"
Ministry of Defence,Ministry of Defence,29/03/2012,Fuel for military use,Land Forces,WORLD FUEL SERVICES EUROPE  LTD.,SW1E 5BH,2000015309,Bulk aviation fuel consumed,"77,056.99"
Ministry of Defence,Ministry of Defence,22/03/2012,Spend on Inventory - General,Defence Equipment & Support,T O C LIMITED,CV3 2AN,917423,Spend on Inventory - General,"76,876.80"
Ministry of Defence,Ministry of Defence,14/03/2012,Fees for professional services,Defence Infrastructure Organisation ,JONES LANG LASALLE LIMITED,BS8 9AQ,913464,Fees for professional services excluding legal fees,"76,791.09"
Ministry of Defence,Ministry of Defence,29/03/2012,Medical treatment & stores and welfare services,Defence Equipment & Support,FENTON PHARMACEUTICALS LTD,NW3 6AL,920284,Medical inventory and services excluding the inventory system,"76,440.00"
Ministry of Defence,Defence Science and Technology Laboratory,09/03/2012,Sub Contracted Research,Programme Office,SEVEN TECHNOLOGIES LIMITED,,V - 9000140852 - 00130515,,"76,290.00"
Ministry of Defence,Ministry of Defence,13/03/2012,Purchase of buildings and military equipment ,Air Command,MARSHALL OF CAMBRIDGE AEROSPACE LIMITED,CB5 8RX,912930,Fiscal asset under construction - capital in year addition,"76,210.93"
Ministry of Defence,Ministry of Defence,16/03/2012,"Purchase of munitions, other inventory or fuel",Defence Equipment & Support,ITW LIMITED,LS26 8BS,914646,Raw materials and consumable marine fuel inventory purchased,"75,903.91"
Ministry of Defence,Ministry of Defence,29/03/2012,Fuel for military use,Air Command,MULTI SERVICE AERO B.V.,,920476,Aviation fuel casual uplift consumed,"75,725.93"
Ministry of Defence,Ministry of Defence,29/03/2012,Design services and minor equipment purchases,Defence Equipment & Support,ACTICA CONSULTING LIMITED,GU2 7YF,920043,Post design services which are not capitalised,"75,429.00"
Ministry of Defence,Ministry of Defence,08/03/2012,Service and civilian recruitment,Air Command,LIDA LIMITED,W1F 9EE,911174,Service recruitment excluding recruitment related external assistance,"75,384.00"
Ministry of Defence,Ministry of Defence,12/03/2012,Payment of utilities,Defence Infrastructure Organisation ,ENERTEC HAMELN GMBH.,,5000073983,Utilities consumed - heating oil,"75,309.31"
Ministry of Defence,Ministry of Defence,30/03/2012,IT and communication services,Central TLB,GREENROAD TECHNOLOGIES UK  LIMITED,W1W 5NA,921204,Computer equipment costing below the capitalisation threshold,"75,262.32"
Ministry of Defence,Ministry of Defence,07/03/2012,Design services and minor equipment purchases,Defence Equipment & Support,KPMG LLP,WD17 1DE,910587,Equipment support non-project costs,"75,191.00"
Ministry of Defence,Ministry of Defence,21/03/2012,Payment of utilities,Land Forces,SSE ENERGY SUPPLY LIMITED,PH1 3AQ,916805,Utilities consumed - electricity,"75,007.92"
Ministry of Defence,Defence Science and Technology Laboratory,30/03/2012,Sub Contracted Research,Programme Office,QINETIQ LIMITED,,V - 9000141569 - 00129968,,"75,000.00"
Ministry of Defence,Ministry of Defence,14/03/2012,Fees for professional services,Central TLB,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,'200000013643,Fees for professional services excluding legal fees,"74,978.26"
Ministry of Defence,Defence Science and Technology Laboratory,30/03/2012,Sub Contracted Work,Operations,UNIVERSITY OF BRISTOL,,V - 9000141492 - 00130134,,"74,965.00"
Ministry of Defence,Ministry of Defence,23/03/2012,Spend on Inventory - General,Defence Equipment & Support,3M UNITED KINGDOM PUBLIC LIMITED COMPANY,RG12 8HT,917495,Spend on Inventory - General,"74,905.44"
Ministry of Defence,Ministry of Defence,09/03/2012,Design services and minor equipment purchases,Air Command,SERCO LIMITED,RG27 9UY,911975,Equipment support non-project costs,"74,756.13"
Ministry of Defence,Ministry of Defence,14/03/2012,Design services and minor equipment purchases,Defence Equipment & Support,THALES OPTRONICS LTD,G51 4BZ,913749,Equipment support non-project costs,"74,752.00"
Ministry of Defence,Council of Reserve Forces and Cadets Associations,29/02/2012,Building maintenance and accommodation stores,Estates Management,ASH BUILDING SERVICES LTD,,10738,Works - civil estate,"74,742.00"
Ministry of Defence,Ministry of Defence,02/03/2012,Transport hire charges,Defence Equipment & Support,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,908253,Transport other operating lease,"74,664.61"
Ministry of Defence,Ministry of Defence,09/03/2012,Food and clothing,Defence Infrastructure Organisation ,ARAMARK LTD,LS16 6QY,911574,Cost of food services,"74,443.79"
Ministry of Defence,Ministry of Defence,20/03/2012,Estate management,Defence Infrastructure Organisation ,ARAMARK LTD,LS16 6QY,915719,Estate + facilities management services - accommodation inventory + service,"74,411.20"
Ministry of Defence,Ministry of Defence,02/03/2012,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,TELEVISION INSTALLATION SERVICES (MANSFIELD) LIMITED,NG18 5BU,908684,Fiscal asset under construction - capital in year addition,"74,400.96"
Ministry of Defence,Ministry of Defence,27/03/2012,Payment of utilities,Defence Infrastructure Organisation ,BP OIL UK LTD,BS11 8DL,918896,Utilities consumed - gas,"74,219.45"
Ministry of Defence,Council of Reserve Forces and Cadets Associations,27/03/2012,Purchase of buildings and military equipment ,Capital Expenditure,BECT BUIDERS,,8530,Assets in the Course of Construction,"73,949.46"
Ministry of Defence,Ministry of Defence,20/03/2012,Spend on Inventory - General,Defence Equipment & Support,OK HUNGARIAN GLOVES KV,,3000006776,Spend on Inventory - General,"73,920.00"
Ministry of Defence,Ministry of Defence,01/03/2012,Energy conservation and environmental charges.,Land Forces,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,PO14 9HL,907807,Energy conservation and environmental charges,"73,790.22"
Ministry of Defence,Ministry of Defence,07/03/2012,Preparation of land & buildings for disposal,Defence Infrastructure Organisation ,DEBUT SERVICES (SOUTH WEST)LIMITED,BA1 5AB,910453,Works in aid of disposal,"73,771.78"
Ministry of Defence,Ministry of Defence,05/03/2012,Spend on Inventory - General,Defence Equipment & Support,BABCOCK MARINE (ROSYTH) LTD,KY11 2YD,908790,Spend on Inventory - General,"73,488.95"
Ministry of Defence,Ministry of Defence,13/03/2012,Fuel for military use,Air Command,WORLD FUEL SERVICES EUROPE  LTD.,SW1E 5BH,2000015065,Aviation fuel casual uplift consumed,"73,424.79"
Ministry of Defence,Defence Science and Technology Laboratory,23/03/2012,Capital Asset expenditure,Infrastructure,STERIA LIMITED,,V - 9000141301 - 00132304,,"73,413.13"
Ministry of Defence,Ministry of Defence,21/03/2012,Estate management,Defence Infrastructure Organisation ,BEZIRKSREGIERUNG DUESSELDORF,,5000074700,Works - estate management,"73,103.02"
Ministry of Defence,Ministry of Defence,07/03/2012,Spend on Inventory - General,Defence Equipment & Support,THYSSENKRUPP AEROSPACE UK LTD,MK8 8DF,910829,Spend on Inventory - General,"73,055.85"
Ministry of Defence,Ministry of Defence,22/03/2012,Payment of utilities,Central TLB,GB OILS LIMITED,FK5 4RB,917142,Utilities consumed - heating oil,"72,841.50"
Ministry of Defence,Ministry of Defence,29/03/2012,Externally delivered education and training,Air Command,OPEN UNIVERSITY (THE),MK7 6BT,920584,External military training ,"72,824.84"
Ministry of Defence,Defence Science and Technology Laboratory,16/03/2012,Sub Contracted Work,Operations,UNIVERSITY OF CAMBRIDGE,,V - 9000141047 - 00131123,,"72,668.50"
Ministry of Defence,Ministry of Defence,14/03/2012,Food and clothing,Defence Equipment & Support,ARAMARK LTD,LS16 6QY,913185,Cost of food purchases,"72,668.11"
Ministry of Defence,Ministry of Defence,12/03/2012,Design services and minor equipment purchases,Defence Equipment & Support,ROLLS-ROYCE POWER ENGINEERING PLC,DE24 8BJ,912528,Equipment support non-project costs,"72,644.16"
Ministry of Defence,Ministry of Defence,29/03/2012,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,BEZIRKSREGIERUNG DUESSELDORF,,5000075547,Fiscal asset under construction - capital in year addition,"72,633.46"
Ministry of Defence,Ministry of Defence,12/03/2012,Fees for professional services,Central TLB,HP ENTERPRISE SERVICES DEFENCE & SECURITY UK LIMITED,RG27 9XA,912332,Fees for professional services excluding legal fees,"72,590.00"
Ministry of Defence,Ministry of Defence,20/03/2012,Design services and minor equipment purchases,Defence Equipment & Support,SALT SEPARATION SERVICES LIMITED,OL11 1AP,916102,Equipment support project costs,"72,500.00"
Ministry of Defence,Ministry of Defence,30/03/2012,Externally delivered education and training,Land Forces,WBL SERVICES LIMITED,OX2 9HA,921766,External military training - training area charges,"72,479.41"
Ministry of Defence,Ministry of Defence,07/03/2012,Food and clothing,Defence Equipment & Support,SODEXO LTD,M50 0AL,910776,Cost of food services,"72,202.62"
Ministry of Defence,Defence Science and Technology Laboratory,16/03/2012,Repairs & Maintenance,Infrastructure,SERCO LIMITED,,V - 9000141122 - 00131245,,"72,191.99"
Ministry of Defence,Ministry of Defence,21/03/2012,Fuel for military use,Air Command,UNITED AVIATION SERVICES,,2000015150,Aviation fuel casual uplift consumed,"72,132.51"
Ministry of Defence,Ministry of Defence,12/03/2012,Payment of utilities,Air Command,GB OILS LIMITED,FK5 4RB,912305,Utilities consumed - heating oil,"72,081.62"
Ministry of Defence,Ministry of Defence,02/03/2012,Estate management,Defence Infrastructure Organisation ,GEM MBH,,5000073431,Estate + facilities management services - accommodation inventory + service,"72,033.90"
Ministry of Defence,Ministry of Defence,21/03/2012,Estate management,Defence Infrastructure Organisation ,GEM MBH,,5000074718,Estate + facilities management services - accommodation inventory + service,"72,033.90"
Ministry of Defence,Council of Reserve Forces and Cadets Associations,12/03/2012,Building maintenance and accommodation stores,Estates Management,E.G. CARTER & COMPANY LTD,,9571,Works - civil estate,"71,974.00"
Ministry of Defence,Council of Reserve Forces and Cadets Associations,15/03/2012,Building maintenance and accommodation stores,Estates Management,IFIELD & BARRETT ROOFING LTD,,13754,Works - civil estate,"71,926.20"
Ministry of Defence,Ministry of Defence,21/03/2012,Payment of utilities,Defence Equipment & Support,GB OILS LIMITED,FK5 4RB,916488,Utilities consumed - heating oil,"71,912.27"
Ministry of Defence,Ministry of Defence,21/03/2012,Design services and minor equipment purchases,Defence Infrastructure Organisation ,COMPASS GROUP UK AND IRELAND LIMITED,B45 9PZ,916372,Equipment support non-project costs,"71,819.86"
Ministry of Defence,Ministry of Defence,28/03/2012,IT and communication services,Defence Equipment & Support,CISCO INTERNATIONAL LIMITED,T14 8HA,167801,Information technology services,"71,790.00"
Ministry of Defence,Council of Reserve Forces and Cadets Associations,13/03/2012,Purchase of buildings and military equipment ,Capital Expenditure,FLEMINGS BUILDINGS LTD,,9072,Assets in the Course of Construction,"71,776.91"
Ministry of Defence,Ministry of Defence,01/03/2012,Fees for professional services,Air Command,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,PO14 9HL,907807,Fees for professional services excluding legal fees,"71,755.17"
Ministry of Defence,Defence Science and Technology Laboratory,02/03/2012,IS Support Service,Infrastructure,STERIA LIMITED,,V - 9000140612 - 00130026,,"71,368.40"
Ministry of Defence,Defence Science and Technology Laboratory,30/03/2012,IS Support Service,Infrastructure,STERIA LIMITED,,V - 9000141531 - 00132976,,"71,368.40"
Ministry of Defence,Ministry of Defence,07/03/2012,Design services and minor equipment purchases,Defence Equipment & Support,STS DEFENCE LIMITED,PO12 1AF,167316,Equipment support non-project costs,"71,045.46"
Ministry of Defence,Defence Science and Technology Laboratory,30/03/2012,Repairs & Maintenance,Infrastructure,SERCO LIMITED,,V - 9000141571 - 00132891,,"71,040.24"
Ministry of Defence,Ministry of Defence,08/03/2012,Fuel for military use,Land Forces,ARAL AG.,,5000073772,Oil and lubricants consumed excluding those from the inventory system,"70,721.81"
Ministry of Defence,Ministry of Defence,29/03/2012,Fees for professional services,Central TLB,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,'200000013788,Fees for professional services excluding legal fees,"70,618.80"
Ministry of Defence,Ministry of Defence,16/03/2012,Food and clothing,Land Forces,BRISTOL MANAGED SERVICES LTD,BS16 5LL,914466,Cost of clothing and textile services received,"70,598.40"
Ministry of Defence,Ministry of Defence,19/03/2012,Food and clothing,Land Forces,BRISTOL MANAGED SERVICES LTD,BS16 5LL,915097,Cost of clothing and textile services received,"70,560.20"
Ministry of Defence,Ministry of Defence,05/03/2012,Externally delivered education and training,Land Forces,CABLE TELECOMMUNICATIONS TRAINING SERVICES LIMITED,LN6 3QX,908835,External military training ,"70,533.44"
Ministry of Defence,Defence Science and Technology Laboratory,02/03/2012,Sub Contracted Work,Operations,SERCO TECHNICAL CONSULTANCY SERVICES,,V - 9000140626 - 00129602,,"70,527.89"
Ministry of Defence,Ministry of Defence,16/03/2012,Design services and minor equipment purchases,Defence Equipment & Support,CONWAY PACKING SERVICES LTD,DY4 7UD,914514,Equipment support non-project costs,"70,447.04"
Ministry of Defence,Ministry of Defence,01/03/2012,General services and support,Defence Equipment & Support,BACHE PALLETS LTD,DY9 8HU,907715,Purchase of defence support equipment below capitalisation threshold of £25k.,"70,440.00"
Ministry of Defence,Defence Science and Technology Laboratory,16/03/2012,Sub Contracted Work,Operations,QINETIQ LIMITED,,V - 9000141120 - 00131009,,"70,380.00"
Ministry of Defence,Council of Reserve Forces and Cadets Associations,20/03/2012,Purchase of buildings and military equipment ,Capital Expenditure,GVA GRIMLEY LTD,,10265,Assets in the Course of Construction,"70,345.00"
Ministry of Defence,Ministry of Defence,13/03/2012,Rent and rates,Central TLB,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,'200000013632,Rent buildings - non civil estate property and married quarter property,"70,190.96"
Ministry of Defence,Defence Science and Technology Laboratory,23/03/2012,Sub Contracted Research,Programme Office,MBDA UK LIMITED,,V - 0000000839 - 00126663,,"70,182.84"
Ministry of Defence,Ministry of Defence,15/03/2012,Payment of utilities,Defence Infrastructure Organisation ,STADTWERKE GUETERSLOH GMBH,,5000074306,Utilities consumed - water + sewage,"70,059.32"
Ministry of Defence,Ministry of Defence,02/03/2012,Estate management,Defence Infrastructure Organisation ,OBERFINANZDIREKTION NIEDERSACHSEN,D 30169,5000073464,Works - estate management,"70,050.58"
Ministry of Defence,Ministry of Defence,01/03/2012,Food and clothing,Defence Equipment & Support,SODEXO LTD,M50 0AL,908106,Cost of food purchases,"70,011.47"
Ministry of Defence,Ministry of Defence,06/03/2012,Design services and minor equipment purchases,Defence Equipment & Support,PORTSMOUTH AVIATION LTD,PO3 5PF,909608,Equipment support project costs,"69,942.02"
Ministry of Defence,Ministry of Defence,23/03/2012,Spend on Inventory - General,Defence Equipment & Support,EUROCOPTER,,5000074909,Spend on Inventory - General,"69,925.91"
Ministry of Defence,Defence Science and Technology Laboratory,16/03/2012,Capital Asset expenditure,Operations,STUDSVIK UK LIMITED,,V - 9000141137 - 00130877,,"69,922.00"
Ministry of Defence,Ministry of Defence,22/03/2012,Design services and minor equipment purchases,Defence Equipment & Support,SERCO LIMITED,RG27 9UY,917398,Equipment support non-project costs,"69,828.00"
Ministry of Defence,Defence Science and Technology Laboratory,16/03/2012,Sub Contracted Work,Operations,LOGICA UK LIMITED,,V - 9000141032 - 00130714,,"69,690.62"
Ministry of Defence,Ministry of Defence,08/03/2012,Food and clothing,Land Forces,COTSWOLD OUTDOOR LTD,SN16 9SH,911025,Cost of purchasing and repairing clothing,"69,586.85"
Ministry of Defence,Ministry of Defence,16/03/2012,Estate management,Defence Equipment & Support,SODEXO LTD,M50 0AL,914887,Estate + facilities management services - accommodation inventory + service,"69,576.94"
Ministry of Defence,Ministry of Defence,05/03/2012,Purchase of inventory and services ,Land Forces,CORPORATE DOCUMENT SERVICES  LIMITED,LS2 7LY,908868,Cost of other material consumed,"69,418.38"
Ministry of Defence,Ministry of Defence,15/03/2012,Administration,Defence Infrastructure Organisation ,EUROPEAN AERONAUTICAL GROUP UK  LIMITED,KT12 4RZ,914030,General administration,"69,398.40"
Ministry of Defence,Ministry of Defence,16/03/2012,Design services and minor equipment purchases,Defence Equipment & Support,TSI INSTRUMENTS LTD,HP12 3RT,914950,Equipment support non-project costs,"69,314.26"
Ministry of Defence,Ministry of Defence,30/03/2012,Medical treatment & stores and welfare services,Land Forces,WILTSHIRE PRIMARY CARE TRUST,SN10 5EQ,167981,Medical health services,"69,243.00"
Ministry of Defence,Ministry of Defence,06/03/2012,"Transportation of personnel, freight and travel expenses",Defence Equipment & Support,DHL GLOBAL FORWARDING (UK)  LIMITED,TW18 4BP,909371,Freight movement costs,"69,231.55"
Ministry of Defence,Ministry of Defence,14/03/2012,Fuel for military use,Defence Infrastructure Organisation ,CALOR GAS LIMITED,CV34 6RL,913255,Oil and lubricants consumed excluding those from the inventory system,"69,135.41"
Ministry of Defence,Ministry of Defence,23/03/2012,Estate management,Defence Infrastructure Organisation ,OBERFINANZDIREKTION NIEDERSACHSEN,D 30169,5000074935,Works - estate management,"69,077.94"
Ministry of Defence,Ministry of Defence,19/03/2012,Transport hire charges,Land Forces,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,915058,Transport other operating lease,"69,064.38"
Ministry of Defence,Council of Reserve Forces and Cadets Associations,16/03/2012,Purchase of buildings and military equipment ,Capital Expenditure,ELITE SYSTEMS,,10242,Assets in the Course of Construction,"68,983.00"
Ministry of Defence,Ministry of Defence,06/03/2012,Estate management,Air Command,TURNER FACILITIES MANAGEMENT LTD,G51 3EQ,909723,Works - estate management,"68,977.20"
Ministry of Defence,Ministry of Defence,14/03/2012,Estate management,Defence Equipment & Support,SODEXO LTD,M50 0AL,913702,Estate + facilities management services - accommodation inventory + service,"68,790.07"
Ministry of Defence,Ministry of Defence,16/03/2012,Spend on Inventory - General,Defence Equipment & Support,BABCOCK MARINE (ROSYTH) LTD,KY11 2YD,914443,Spend on Inventory - General,"68,708.67"
Ministry of Defence,Ministry of Defence,06/03/2012,Estate management,Air Command,COMPASS SERVICES (U.K.) LIMITED,B45 9PZ,909357,Estate + facilities management services - accommodation inventory + service,"68,568.53"
Ministry of Defence,Ministry of Defence,21/03/2012,Spend on Inventory - General,Defence Equipment & Support,MICHELIN TYRE PLC,ST4 4EY,916602,Spend on Inventory - General,"68,504.40"
Ministry of Defence,Ministry of Defence,08/03/2012,Payment of utilities,Defence Equipment & Support,TOTAL GAS & POWER LIMITED,RH1 1RX,911490,Utilities consumed - gas,"68,500.92"
Ministry of Defence,Ministry of Defence,07/03/2012,Administration,Central TLB,BAE SYSTEMS,,AP12 CO 003,General administration,"68,335.55"
Ministry of Defence,Council of Reserve Forces and Cadets Associations,28/02/2012,Building maintenance and accommodation stores,Estates Management,CEDAR CONSTRUCTION SOUTHERN LTD,,9588,Works - civil estate,"68,331.00"
Ministry of Defence,Ministry of Defence,21/03/2012,"Transportation of personnel, freight and travel expenses",Defence Equipment & Support,DHL GLOBAL FORWARDING (UK)  LIMITED,TW18 4BP,916398,Freight movement costs,"68,321.91"
