Department,Entity,Date,Expense Type,Expense Area,Supplier,Post Code,Transaction Number,Payment Description,Total (£)
Ministry of Defence,Ministry of Defence,22/03/2012,Rent and rates,Defence Infrastructure Organisation ,ANNINGTON RECEIVABLES LTD,W1U 1DR,916938,Rent UK married quarters - operating lease payments,"39,616,320.12"
Ministry of Defence,Ministry of Defence,12/03/2012,Purchase of buildings - Dwellings,Defence Infrastructure Organisation ,DAVITT JONES BOULD LTD,TA1 4EB,912229,Property building dwellings asset - in year capital addition,"27,318,327.00"
Ministry of Defence,Ministry of Defence,30/03/2012,Grants to NDPBs,Navy Command,HMS VICTORY PRESERVATION ENDOWMENT TRUST,,10243,Capital grant in support of transfer of HMS VICTORY to charitable trust,"25,000,000.00"
Ministry of Defence,Ministry of Defence,19/03/2012,Property leases,Defence Infrastructure Organisation ,ASPIRE DEFENCE LIMITED,SP9 7QD,915044,Property dwellings private finance initiative - service concession arrangement service charge,"20,160,293.00"
Ministry of Defence,Ministry of Defence,30/03/2012,"Purchase of munitions, other inventory or fuel",Defence Equipment & Support,SHELL EASTERN TRADING (PTE) LIMITED,,2000015328,Raw materials and consumable marine fuel inventory purchased,"19,659,524.37"
Ministry of Defence,Ministry of Defence,21/03/2012,Grants to NDPBs,Land Forces,COUNCIL OF RESERVE FORCES' AND CADETS' ASSOCIATIONS,EC2A 4EY,916381,Grant in aid to the council of reserve forces and cadet associations,"12,645,223.60"
Ministry of Defence,Ministry of Defence,21/03/2012,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,TS17 6YG,10946,Monthly GPC payment,"12,278,725.95"
Ministry of Defence,Ministry of Defence,07/03/2012,Estate management,Defence Infrastructure Organisation ,DEBUT SERVICES (SOUTH WEST)LIMITED,BA1 5AB,910453,Estate core services charge,"12,095,274.93"
Ministry of Defence,Ministry of Defence,30/03/2012,Purchase of buildings and military equipment ,Defence Equipment & Support,LOCKHEED MARTIN AERONAUTICS  COMPANY,,2000015314,Fiscal asset under construction - capital in year addition,"7,323,408.86"
Ministry of Defence,Ministry of Defence,13/03/2012,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,TS17 6YG,10242,Monthly GPC payment,"7,221,379.27"
Ministry of Defence,Ministry of Defence,14/03/2012,Estate management,Defence Infrastructure Organisation ,MODUS SERVICES LIMITED,SW1A 2HB,913519,Works - estate management,"7,061,498.75"
Ministry of Defence,Ministry of Defence,16/03/2012,Estate management,Defence Infrastructure Organisation ,MODERN HOUSING SOLUTIONS (PRIME)LIMITED,PE28 4QG,914707,Estate core services charge,"6,799,608.62"
Ministry of Defence,Ministry of Defence,27/03/2012,Estate management,Defence Infrastructure Organisation ,LANDMARC SUPPORT SERVICES LIMITED,SP3 4RS,919087,Estate core services charge,"6,706,345.61"
Ministry of Defence,Ministry of Defence,30/03/2012,Estate management,Defence Infrastructure Organisation ,MAXWELL WINWARD LLP,,10245,Works - estate management,"6,500,000.00"
Ministry of Defence,Ministry of Defence,09/03/2012,Property leases,Defence Infrastructure Organisation ,RMPA SERVICES PLC,CO2 7ST,911951,Property dwellings private finance initiative - service concession arrangement service charge,"5,995,397.33"
Ministry of Defence,Ministry of Defence,15/03/2012,Estate management,Defence Infrastructure Organisation ,CARILLIONENTERPRISE LIMITED,B75 7RL,913947,Estate core services charge,"5,983,960.81"
Ministry of Defence,Ministry of Defence,19/03/2012,Food and clothing,Defence Equipment & Support,PURPLE FOODSERVICE SOLUTIONS LIMITED,GU32 3QD,915505,Cost of food purchases,"5,922,889.90"
Ministry of Defence,Ministry of Defence,12/03/2012,Design services and minor equipment purchases,Central TLB,METEOROLOGICAL OFFICE,EX1 3PB,912397,Equipment support non-project costs,"5,706,666.66"
Ministry of Defence,Ministry of Defence,09/03/2012,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,DEBUT SERVICES LIMITED,B75 7RL,911676,Fiscal asset under construction - capital in year addition,"5,643,140.68"
Ministry of Defence,Ministry of Defence,15/03/2012,Estate management,Land Forces,HOLDFAST TRAINING SERVICES LTD,ME4 4UG,914082,Estate + facilities management services - accommodation inventory + service,"5,442,115.66"
Ministry of Defence,Ministry of Defence,13/03/2012,Estate management,Defence Infrastructure Organisation ,BABCOCK DYNCORP LIMITED,PE28 2EA,912720,Works - estate management,"5,196,140.10"
Ministry of Defence,Ministry of Defence,16/03/2012,Fees for professional services,Central TLB,HP ENTERPRISE SERVICES DEFENCE & SECURITY UK LIMITED,RG27 9XA,914635,Fees for professional services excluding legal fees,"4,755,151.59"
