Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Department for Communities & Local Government ,Ministerial Department,Department for Communities & Local Government,143,137.5,272,261.7,809,789.5,592,571.5,91,88.1,0,0,1907,1848.3,4,4,9,9,36,36,8,8,57,57,1964,1905.3,6246614.71,73113.08,1920,34633.05,1275606.75,554907.89,8186795.48,181676,365957,547633,8734428.48,
Fire Service College,Executive Agency,Department for Communities & Local Government,62,60.6,34,32,74,72,17,17,1,1,0,0,188,182.6,0,0,4,3.8,0,0,0,0,4,3.8,192,186.4,456628.1,0,0,5848.9,88044.77,37525.59,588047.36,32554.36,0,32554.36,620601.72,
Planning Inspectorate,Executive Agency,Department for Communities & Local Government,220,197.62,130,118.26,73,70.45,255,214.58,4,3.5,0,0,682,604.41,0,0,0,0,0,0,0,0,0,0,682,604.41,1785431,23170,0,4687,370709,157060,2341057,0,0,0,2341057,
Queen Elizabeth II Conference Centre,Executive Agency,Department for Communities & Local Government,5,5,7,7,27,27,3,3,1,1,0,0,43,43,0,0,0,0,1,1,0,0,1,1,44,44,123062.83,328,0,4529.33,23520.63,10733.52,162174.31,1645,0,1645,163819.31,
Homes & Communities Agency,Executive Non-Departmental Public Body,Department for Communities & Local Government,124,119.01,214,209.93,234,228.62,39,38.8,49,48.7,88,86.56,748,731.62,2,2,0,0,4,4,0,0,6,6,754,737.62,2645757.57,678991.96,0,4896.73,641890.5,261342.57,4232879.33,26448,0,26448,4259327.33,
Independent Housing Ombudsman Ltd,Executive Non-Departmental Public Body,Department for Communities & Local Government,0,0,0,0,0,0,0,0,0,0,38,38,38,38,3,3,0,0,0,0,0,0,3,3,41,41,150310.58,64.28,0,0,26891.93,14791.29,192058.08,9988,0,9988,202046.08,
Infrastructure Planining Commission,Executive Non-Departmental Public Body,Department for Communities & Local Government,4,4,7,7,15,14.8,14,13,12,10.3,0,0,52,49.1,1,1,2,1.6,0,0,0,0,3,2.6,55,51.7,226197,0,0,0,16571,23879,266647,6757,0,6757,273404,
Leasehold Advisory Service,Executive Non-Departmental Public Body,Department for Communities & Local Government,3,2.4,1,1,17,16,0,0,1,1,0,0,22,20.4,0,0,0,0,0,0,0,0,0,0,22,20.4,66800,0,0,0,6052,7313,80165,0,0,0,80165,
London Thames Gateway Development Corporation,Executive Non-Departmental Public Body,Department for Communities & Local Government,0,0,2,2,11,10,7,6.8,13,13,0,0,33,31.8,0,0,0,0,5,0.36,2,0.18,7,0.54,40,32.34,149303.58,0,0,0,19842.68,15269.34,184415.6,2056.71,5799.12,7855.83,192271.43,
Standards Board for England,Executive Non-Departmental Public Body,Department for Communities & Local Government,3,2.8,4,4,17,16.43,5,5,3,3,0,0,32,31.23,0,0,0,0,1,1,0,0,1,1,33,32.23,103735.02,0,0,0,16451.82,10019.86,130206.7,11491.2,0,11491.2,141697.9,
Tenants Services Authority,Executive Non-Departmental Public Body,Department for Communities & Local Government,4,3.97,32,31.8,101,97.91,24,24,8,8,8,1.22,177,166.9,0,0,0,0,0,0,0,0,0,0,177,166.9,673447.69,429,0,720,63892.12,60043.95,798532.76,0,0,0,798532.76,
Thurrock Development Corporation,Executive Non-Departmental Public Body,Department for Communities & Local Government,0,0,0,0,0,0,0,0,0,0,32,31.93,32,31.93,0,0,0,0,0,0,0,0,0,0,32,31.93,140729.13,2660.93,0,0,15858.14,14164.37,173412.57,0,0,0,173412.57,
Valuation Tribunal Service,Executive Non-Departmental Public Body,Department for Communities & Local Government,23,22.17,35,34.25,12,11.83,2,2,1,1,0,0,73,71.25,0,0,0,0,0,0,0,0,0,0,73,71.25,206409,4185,0,0,42535,17702,270831,0,0,0,270831,
West Northamptonshire Development Corporation,Executive Non-Departmental Public Body,Department for Communities & Local Government,9,8.41,12,11.54,10,9.7,2,2,4,4,0,0,37,35.65,0,0,0,0,0,0,1,0.8,1,0.8,38,36.45,134433,5000,0,0,23785.1,13000.68,176218.78,0,6334,6334,182552.78,
