Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction number,Amount in Sterling
Communities & Local Government,GO,01/03/2011,Conferences and Meeting Facilities,GOSE,SOUTH EAST RURAL COMMUNITY COUNCIL,2100189517,"6,500.00"
Communities & Local Government,GO,01/03/2011,Fixed Maintenance,RCU - PAM - Property Asset Management,AMEY COMMUNITY LTD,5106158089,"2,339.52"
Communities & Local Government,GO,01/03/2011,Office Machinery (<£5000),GORCU Admin DEL Votd,NEW RICOH UK,5106158141,729.97
Communities & Local Government,GO,01/03/2011,Professional services,GOWM,CENTRAL OFFICE OF INFORMATION,2100189678,"27,911.17"
Communities & Local Government,GO,01/03/2011,Professional services,GOWM,CENTRAL OFFICE OF INFORMATION,2300002073,"-27,911.17"
Communities & Local Government,GO,01/03/2011,Training,GOEM,DCLG GOVERNMENT PROCUREMENT CARD,1000003011,528.74
Communities & Local Government,GO,01/03/2011,Training,GONE,SAVILLE CONSULTING UK LTD,5106158170,600.00
Communities & Local Government,GO,01/03/2011,Training,GONW,FAST FORWARD TRAINING & DEVELOPMENT,5106158136,"1,000.00"
Communities & Local Government,GO,01/03/2011,Training,GOSE,LONDON METROPOLITAN UNIVERSITY,2100189547,"2,250.00"
Communities & Local Government,GO,01/03/2011,Training,GOSW,FARROWHOUSE TRAINING,2100189581,599.25
Communities & Local Government,GO,01/03/2011,Training,GOSW,LEARNLAB LTD,2100189549,"1,286.76"
Communities & Local Government,GO,02/03/2011,Agency Staff,GOSW,REED SPECIALIST RECRUITMENT LTD,2100189674,532.90
Communities & Local Government,GO,02/03/2011,Conferences and Meeting Facilities,GOWM,CJS EVENT SOLUTIONS,2100189676,600.00
Communities & Local Government,GO,02/03/2011,Fixed Maintenance,RCU - PAM - Property Asset Management,MITIE MANAGED SERVICES (SOUTHERN) L,5106157158,"15,690.19"
Communities & Local Government,GO,02/03/2011,Printing,GORCU Admin DEL Votd,FUJITSU SERVICES LTD,5106158283,"24,586.52"
Communities & Local Government,GO,02/03/2011,Publications,GOYH,EAST RIDING OF YORKSHIRE COUNCIL,2100189587,-26.90
Communities & Local Government,GO,02/03/2011,Training,GOEM,ACCORDIA TRAINING SOLUTIONS,2100189680,"2,745.00"
Communities & Local Government,GO,02/03/2011,Training,GOWM,HALESOWEN COLLEGE,2100189675,585.00
Communities & Local Government,GO,02/03/2011,Training,GOWM,UNITY PLUS LIMITED,2100189593,"2,800.00"
Communities & Local Government,GO,02/03/2011,Training,GOYH,CMT SERVICES LTD,2100189589,"1,000.00"
Communities & Local Government,GO,02/03/2011,Training,GOYH,DATRIX TRAINING LTD,2100189590,"2,820.00"
Communities & Local Government,GO,02/03/2011,Water,RCU - PAM - Property Asset Management,THAMES WATER UTILITIES,5106158176,564.23
Communities & Local Government,GO,03/03/2011,Fares UK,GORCU Admin DEL Votd,REDFERN TRAVEL LIMITED,2100189704,255.17
Communities & Local Government,GO,03/03/2011,Fares UK,GOSW,REDFERN TRAVEL LIMITED,2100189708,"10,150.87"
Communities & Local Government,GO,03/03/2011,Fares UK,GOYH,REDFERN TRAVEL LIMITED,2100189704,"10,313.43"
Communities & Local Government,GO,03/03/2011,Training,GONE,NATIONAL SCHOOL OF GOVERNMENT,5106158336,"2,385.00"
Communities & Local Government,GO,03/03/2011,Travel and Subsistence Account,GOE,REDFERN TRAVEL LIMITED,2100189702,"2,670.00"
Communities & Local Government,GO,03/03/2011,Vehicle hire,GOSW,ARVAL,2100189705,"1,840.32"
Communities & Local Government,GO,04/03/2011,Fares UK,GOWM,REDFERN TRAVEL LIMITED,2100189762,"4,387.98"
Communities & Local Government,GO,04/03/2011,Gas,RCU - PAM - Property Asset Management,CORONA ENERGY LTD,5106158135,"2,690.76"
Communities & Local Government,GO,04/03/2011,Subsistence UK,GOWM,REDFERN TRAVEL LIMITED,2100189762,686.40
Communities & Local Government,GO,04/03/2011,Training,GORCU Admin DEL Votd,FARADAY PARTNERSHIP LTD,5106158415,"5,800.00"
Communities & Local Government,GO,04/03/2011,Training,GOSE,ITS FEDA LTD,5106158384,"1,243.00"
Communities & Local Government,GO,04/03/2011,Training,GOSE,ITS FEDA LTD,5106158385,"1,404.00"
Communities & Local Government,GO,04/03/2011,Travel and Subsistence Account,GONE,REDFERN TRAVEL LIMITED,2100189759,"3,449.87"
Communities & Local Government,GO,04/03/2011,Travel and Subsistence Account,GORCU Admin DEL Votd,REDFERN TRAVEL LIMITED,2100189759,"2,269.77"
Communities & Local Government,GO,07/03/2011,Fares UK,GOSE,REDFERN TRAVEL LIMITED,2100189803,"1,752.02"
Communities & Local Government,GO,07/03/2011,Fixed Maintenance,RCU - PAM - Property Asset Management,IOM LTD,5106158478,"4,953.00"
Communities & Local Government,GO,07/03/2011,Fixed Maintenance,RCU - PAM - Property Asset Management,MITIE FAC SERV LTD (STH WEST & WALE,5106158538,"13,780.21"
Communities & Local Government,GO,07/03/2011,Overseas expense,GOSE,REDFERN TRAVEL LIMITED,2100189803,220.53
Communities & Local Government,GO,07/03/2011,Post,GOSE,GOVERNMENT CAR & DESPATCH AGENCY,5106158536,931.20
Communities & Local Government,GO,07/03/2011,Professional services,RCU - PAM - Property Asset Management,DTZ DEBENHAM TIE LEUNG,2100189769,"32,400.00"
Communities & Local Government,GO,07/03/2011,Rent,RCU - PAM - Property Asset Management,DANMERC PROP CONSULTANTS  & MGT LTD,5106158479,"379,877.40"
Communities & Local Government,GO,07/03/2011,Subsistence UK,GOSE,REDFERN TRAVEL LIMITED,2100189803,117.58
Communities & Local Government,GO,07/03/2011,Training,GORCU Admin DEL Votd,KNOWLEDGE ACADEMY LTD,5106158525,799.00
Communities & Local Government,GO,07/03/2011,Training,GOSE,WHITEHALL & INDUSTRY GROUP,5106158535,700.00
Communities & Local Government,GO,07/03/2011,Variable Maintenance < £15k,RCU - PAM - Property Asset Management,AMEY COMMUNITY LTD,5106158531,"20,044.36"
Communities & Local Government,GO,08/03/2011,Agency Staff,GONW,REED SPECIALIST RECRUITMENT LTD,5106158553,"1,160.88"
Communities & Local Government,GO,08/03/2011,Agency Staff,GORCU Admin DEL Votd,CENTRAL OFFICE OF INFORMATION,5106158584,"5,850.94"
Communities & Local Government,GO,08/03/2011,Fares UK,GOEM,REDFERN TRAVEL LIMITED,2100189822,"3,988.40"
Communities & Local Government,GO,08/03/2011,Fares UK,GORCU Admin DEL Votd,REDFERN TRAVEL LIMITED,2100189822,723.87
Communities & Local Government,GO,08/03/2011,Fixed Maintenance,RCU - PAM - Property Asset Management,MITIE MANAGED SERVICES (SOUTHERN) L,5106158554,"5,482.95"
Communities & Local Government,GO,08/03/2011,Post,GONW,GOVERNMENT CAR & DESPATCH AGENCY,5106158556,696.00
Communities & Local Government,GO,08/03/2011,Professional services,RCU - PAM - Property Asset Management,DTZ DEBENHAM TIE LEUNG,2100189875,"3,600.00"
Communities & Local Government,GO,08/03/2011,Training,GOEM,FARADAY PARTNERSHIP LTD,2100189870,660.00
Communities & Local Government,GO,08/03/2011,Training,GONW,JOINT LEARNING PARTNERSHIP LTD,5106158551,"1,000.00"
Communities & Local Government,GO,08/03/2011,Training,GORCU Admin DEL Votd,NATIONAL SCHOOL OF GOVERNMENT,5106158560,"3,800.00"
Communities & Local Government,GO,08/03/2011,Training,GOSW,KNOWLEDGE ACADEMY LTD,2100189873,"2,820.00"
Communities & Local Government,GO,08/03/2011,Training,GOWM,PITMAN TRAINING BIRMINGHAM,2100189826,660.00
Communities & Local Government,GO,08/03/2011,Travel and Subsistence Account,GONW,REDFERN TRAVEL LIMITED,2100189867,"5,381.69"
Communities & Local Government,GO,09/03/2011,Domestic Services,RCU - PAM - Property Asset Management,FOSTERS BREATHING SPACE,5106158640,"6,467.49"
Communities & Local Government,GO,09/03/2011,Electricity,RCU - PAM - Property Asset Management,EDF ENERGY,5106158638,"1,704.57"
Communities & Local Government,GO,09/03/2011,Electricity,RCU - PAM - Property Asset Management,EDF ENERGY,5106158252,"5,692.79"
Communities & Local Government,GO,09/03/2011,Electricity,RCU - PAM - Property Asset Management,EDF ENERGY,5106158432,"1,556.50"
Communities & Local Government,GO,09/03/2011,Post,GORCU Admin DEL Votd,GOVERNMENT CAR & DESPATCH AGENCY,5106158734,857.00
Communities & Local Government,GO,09/03/2011,Training,GOSW,WESTERN GREYHOUND LTD,2100189821,"2,400.00"
Communities & Local Government,GO,09/03/2011,Variable Maintenance < £15k,RCU - PAM - Property Asset Management,MITIE FAC SERV LTD (STH WEST & WALE,5106158719,"16,833.40"
Communities & Local Government,GO,10/03/2011,Accommodation Service Charges,RCU - PAM - Property Asset Management,HSBC BANK PENSION TRUSTEES (UK) LTD,5106158769,"2,098.14"
Communities & Local Government,GO,10/03/2011,Agency Staff,GONW,REED SPECIALIST RECRUITMENT LTD,5106158759,"1,185.23"
Communities & Local Government,GO,10/03/2011,Agency Staff,GOSW,DCLG GOVERNMENT PROCUREMENT CARD,1000003021,"3,343.03"
Communities & Local Government,GO,10/03/2011,Car Lease (expense),GOYH,DCLG GOVERNMENT PROCUREMENT CARD,1000003018,573.75
