Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction number,Amount
Communities & Local Government,DCLG,14/05/2010,Travel and Subsistence Account,Localism,PRIMROSE HOTELS LTD      COALVILLE,1000001947,947.50
Communities & Local Government,DCLG,14/05/2010,Travel and Subsistence Account,Localism,FIELDHEAD HOTEL          MARKFIELD,1000001948,584.10
Communities & Local Government,DCLG,17/05/2010,Conferences and Meeting Facilities,Finance & Corporate Services,WP-HAYMARKET PUBLI       LONDON,1000001951,586.33
Communities & Local Government,DCLG,17/05/2010,Post,Neighbourhoods,WWW.NEOPOST.CO.UK        0845 880 0000,1000001956,618.00
Communities & Local Government,DCLG,17/05/2010,Professional services,Neighbourhoods,GROUP SERVICES           SALFORD,1000001954,"1,072.58"
Communities & Local Government,DCLG,17/05/2010,Training,Finance & Corporate Services,ALPHA CONSOLIDATED TRA   NORWICH NR15,1000001951,564.00
Communities & Local Government,DCLG,18/05/2010,Entertainment,Localism,ROYAL NATIONAL THEATRE   LONDON  SE1,1000001959,660.11
Communities & Local Government,DCLG,18/05/2010,Training,Localism,ALPHA CONSOLIDATED TRA   NORWICH NR15,1000001962,564.00
Communities & Local Government,DCLG,18/05/2010,Training,Localism,UNIVERSITY OF SOUTHAMP   SOUTHAMPTON,1000001962,660.00
Communities & Local Government,DCLG,19/05/2010,Telephone call costs,Neighbourhoods,MIDLAND PHONE SERV       BRIERLY HILL,1000001965,766.00
Communities & Local Government,DCLG,24/05/2010,Accommodation,Neighbourhoods,AVON GORGE HOTEL         BRISTOL,1000001986,"1,530.00"
Communities & Local Government,DCLG,24/05/2010,"IT - PC, Network & Hardware",Finance & Corporate Services,AMAZON  MKTPLCE EU-UK    AMAZON.CO.UK,1000001979,502.10
Communities & Local Government,DCLG,24/05/2010,Professional services,Neighbourhoods,WINCHESTER CITY COUNCI   WINCHESTER,1000001980,725.80
Communities & Local Government,DCLG,24/05/2010,Telecoms equipment (non-capitalised),Finance & Corporate Services,THE HEADSET COMPANY      BRISTOL,1000001974,717.75
Communities & Local Government,DCLG,24/05/2010,Telecoms equipment (non-capitalised),Finance & Corporate Services,THE HEADSET COMPANY      BRISTOL,1000001974,717.75
Communities & Local Government,DCLG,24/05/2010,Training,Finance & Corporate Services,ALPHA CONSOLIDATED TRA   NORWICH NR15,1000001972,564.00
Communities & Local Government,DCLG,25/05/2010,Legal Fees,Localism,GOVERNMENT CAR AND DES   LONDON,1000001996,938.33
Communities & Local Government,DCLG,25/05/2010,Travel and Subsistence Account,Localism,FIELDHEAD HOTEL          MARKFIELD,1000002005,581.44
Communities & Local Government,DCLG,26/05/2010,Telephone call costs,Neighbourhoods,MIDLAND PHONE SERV       BRIERLY HILL,1000002012,669.75
Communities & Local Government,DCLG,27/05/2010,Subscriptions,Finance & Corporate Services,ING LEASE UK LTD         REDHILL,1000002015,787.69
Communities & Local Government,DCLG,07/06/2010,Conferences and Meeting Facilities,Neighbourhoods,COPTHORNE HOTEL SLOUGH   SLOUGH,1000002029,950.35
Communities & Local Government,DCLG,07/06/2010,Electricity,Localism,SOUTHERN ELECTRIC        INTERNET,1000002031,503.77
Communities & Local Government,DCLG,07/06/2010,Government Procurement Card (expense),Neighbourhoods,OCEAN MEDIA GROUP LTD    COVENTRY,1000002024,750.60
Communities & Local Government,DCLG,07/06/2010,Government Procurement Card (expense),Finance & Corporate Services,HEMSLEY FRASER GROUP LTD SALTASH,1000002023,"1,115.13"
Communities & Local Government,DCLG,07/06/2010,Heating and lighting,Neighbourhoods,E.ON ENERGY LTD          NOTTINGHAM,1000002021,817.06
Communities & Local Government,DCLG,07/06/2010,Office Machinery Rental,Neighbourhoods,ING LEASE UK LTD         REDHILL,1000002029,531.76
Communities & Local Government,DCLG,07/06/2010,Stationery,Neighbourhoods,BLUE POINT CAMBRIDGE LTD CAMBRIDGE,1000002021,689.72
Communities & Local Government,DCLG,08/06/2010,Government Procurement Card (expense),Finance & Corporate Services,NOVACRYLICS              01564 773738,1000002054,569.88
Communities & Local Government,DCLG,08/06/2010,Government Procurement Card (expense),Finance & Corporate Services,AMAZON EU                AMAZON.CO.UK,1000002054,926.54
Communities & Local Government,DCLG,08/06/2010,Stationery,Neighbourhoods,VIKING DIRECT LTD        LEICESTER,1000002043,773.75
Communities & Local Government,DCLG,14/06/2010,"IT - PC, Network & Hardware",Localism,WP-MERCHANDISE MAN       LONDON,1000002076,"2,837.58"
Communities & Local Government,DCLG,14/06/2010,Professional services,Finance & Corporate Services,IFHP                     DEN HAAG,1000002078,"1,322.63"
Communities & Local Government,DCLG,14/06/2010,Security,Neighbourhoods,WP-BRIAR SECURITY        CAMBRIDGE,1000002072,789.60
