Department,Entity,Date,Expense Type,Expense Area,Supplier,Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,02/08/2012,"Transportation of personnel, freight and travel expenses",Air Command,CANDLEWOOD SUITES HOTEL,,1,Military short term detached duty,"26,184.13"
Ministry of Defence,Council of Reserve Forces and Cadets Associations,03/09/2012,Building maintenance and accommodation stores,Infrastructure,LPS CONTRACTS,,3546,Works - civil estate,"79,889.08"
Ministry of Defence,Council of Reserve Forces and Cadets Associations,02/04/2012,Rent and rates,Infrastructure,EDINBURGH CITY COUNCIL,,3571,Rent buildings - non civil estate property and married quarter property,"100,187.50"
Ministry of Defence,Council of Reserve Forces and Cadets Associations,02/04/2012,Rent and rates,Infrastructure,EDINBURGH CITY COUNCIL,,3572,Rent buildings - non civil estate property and married quarter property,"35,128.60"
Ministry of Defence,Council of Reserve Forces and Cadets Associations,02/04/2012,Rent and rates,Infrastructure,EDINBURGH CITY COUNCIL,,3776,Rent buildings - non civil estate property and married quarter property,"27,113.60"
Ministry of Defence,Council of Reserve Forces and Cadets Associations,03/09/2012,Purchase of military transport,Capital Expenditure,HOWARDS TAUNTON,,3793,Purchase of Vehicles,"61,488.00"
Ministry of Defence,Council of Reserve Forces and Cadets Associations,27/03/2012,Purchase of buildings and military equipment ,Capital Expenditure,BECT BUILDING CONTRACTORS,,4239,Assets in the Course of Construction,"51,511.56"
Ministry of Defence,Council of Reserve Forces and Cadets Associations,05/09/2012,Rent and rates,Infrastructure,LONDON SCOTTISH HQ TRUST,,5600,Rent buildings - civil estate property,"35,268.75"
Ministry of Defence,Council of Reserve Forces and Cadets Associations,12/07/2012,Building maintenance and accommodation stores,Infrastructure,REDLIME LTD,,7780,Works - civil estate,"52,056.00"
Ministry of Defence,Ministry of Defence,17/09/2012,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,TS17 6YG,11046,Monthly GPC payment,"6,926,301.96"
Ministry of Defence,Ministry of Defence,19/09/2012,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,TS17 6YG,11047,Monthly GPC payment,"497,447.68"
