METADATA FOR DATA FIELDS,,,,,,,,,,,,
"This worksheet lists the fields of the ""Quarterly Data Summary"" sheet and provides explanation of the metrics (metdata).",,,,,,,,,Organisations in-scope,[Please specify],,
,,ALL INFORMATION SHOULD RELATE TO THE LATEST AVAILABLE DATA,,,,,,,Organisations out-of-scope,[Please specify],,
,,,,,,,,,Actual Department metadata - where differs from requested,,,
GROUP,SUB-GROUP,FIELD NAME,TECHNICAL DEFINITION (REQUESTED),PERIOD OF DATA REPORTED IN QDS (REQUESTED),PERIOD FOR DATA IN OCTOBER QDS (REQUESTED),DEPARTMENTAL COVERAGE OF DATA (REQUESTED),DATA SOURCE,"TYPE OF DATA (eg MI, Official Stats or National Stats)",TECHNICAL DEFINITION (ACTUAL),DEPARTMENTAL COVERAGE OF DATA (ACTUAL),"FURTHER NOTES, CAVEATS AND LIMITATIONS",
Spending,Budget,"Total Departmental Expenditure Limit (DEL)
",(Resource DEL excluding depreciation) + (Capital DEL),Quarterly COINS data,"Current = Q1 2011-12 (Apr-Jun)
Previous = Q1 2010-11 (Apr-Jun)",Full,COINS,Management information,"(Resource DEL excluding depreciation) + (Capital DEL). Source: This data is derived from Planning, Budgeting and Forecasting System (PB&F), work is in progress to source this data from COINS from QDS3 onwards, to align future reporting.",The financial numbers in the budget section are our AP03 (HMT AP04) as submitted in COINS.  The are for core budget & war pensions benefit only – they exclude cost of operations and peacekeeping.  They consist of 3 months actuals ,Current= Q1 2011/12 Previous = Q1 2010/11 ,
,,"of which Resource DEL (excl. Depreciation)
","(Resource DEL excluding depreciation) 
",Quarterly COINS data,"Current = Q1 2011-12 (Apr-Jun)
Previous = Q1 2010-11 (Apr-Jun)",Full,COINS,Management information,"(Resource DEL excluding depreciation). Source: This data is derived from Planning, Budgeting and Forecasting System (PB&F), work is in progress to source this data from COINS from QDS3 onwards, to align future reporting.
",The financial numbers in the budget section are our AP03 (HMT AP04) as submitted in COINS.  The are for core budget & war pensions benefit only – they exclude cost of operations and peacekeeping.  They consist of 3 months actuals ,Current= Q1 2011/12 Previous = Q1 2010/11,
,,"Top 5 contributory elements
","5 largest areas of spending, as defined by the department, to cover a substantial proportion of DEL.",Quarterly COINS data,"Current = Q1 2011-12 (Apr-Jun)
Previous = Q1 2010-11 (Apr-Jun)",Determined by top 5 programmes chosen,COINS,Management information,"5 largest areas of spending. Source: This data is derived from Planning, Budgeting and Forecasting System (PB&F), work is in progress to source this data from COINS from QDS3 onwards, to align future reporting.",The financial numbers in the budget section are our AP03 (HMT AP04) as submitted in COINS.  The are for core budget & war pensions benefit only – they exclude cost of operations and peacekeeping.  They consist of 3 months actuals ,Current= Q1 2011/12 Previous = Q1 2010/11,
,,A,,,,,,,"RDEL, Purchase of Goods and services. Source: This data is derived from Planning, Budgeting and Forecasting System (PB&F), work is in progress to source this data from COINS from QDS3 onwards, to align future reporting.",The financial numbers in the budget section are our AP03 (HMT AP04) as submitted in COINS.  The are for core budget & war pensions benefit only – they exclude cost of operations and peacekeeping.  They consist of 3 months actuals ,Current= Q1 2011/12 Previous = Q1 2010/11,
,,B,,,,,,,"Pay includes salaries, employers’ National Insurance Contributions, and accruing pension costs in RDEL. Source: This data is derived from Planning, Budgeting and Forecasting System (PB&F), work is in progress to source this data from COINS from QDS3 onwards, to align future reporting.",The financial numbers in the budget section are our AP03 (HMT AP04) as submitted in COINS.  The are for core budget & war pensions benefit only – they exclude cost of operations and peacekeeping.  They consist of 3 months actuals ,Current= Q1 2011/12 Previous = Q1 2010/11,
,,C,,,,,,,"This data is derived from Planning, Budgeting and Forecasting System (PB&F), work is in progress to source this data from COINS from QDS3 onwards, to align future reporting.",The financial numbers in the budget section are our AP03 (HMT AP04) as submitted in COINS.  The are for core budget & war pensions benefit only – they exclude cost of operations and peacekeeping.  They consist of 3 months actuals ,Current= Q1 2011/12 Previous = Q1 2010/11,
,,D,,,,,,,"(Capital DEL). Source: This data is derived from Planning, Budgeting and Forecasting System (PB&F), work is in progress to source this data from COINS from QDS3 onwards, to align future reporting.",The financial numbers in the budget section are our AP03 (HMT AP04) as submitted in COINS.  The are for core budget & war pensions benefit only – they exclude cost of operations and peacekeeping.  They consist of 3 months actuals ,Current= Q1 2011/12 Previous = Q1 2010/11,
,,E,,,,,,,"5 largest areas of spending, as defined by the department, to cover a substantial proportion of Capital DEL. Source: This data is derived from Planning, Budgeting and Forecasting System (PB&F), work is in progress to source this data from COINS from QDS3 onwards, to align future reporting.",The financial numbers in the budget section are our AP03 (HMT AP04) as submitted in COINS.  The are for core budget & war pensions benefit only – they exclude cost of operations and peacekeeping.  They consist of 3 months actuals ,Current= Q1 2011/12 Previous = Q1 2010/11,
,,Purchase of goods & services within Resource DEL,"RDEL, Purchase of Goods and services. Procurement spending should be recorded as a gross rather than net expenditure. This should be current procurement which falls within resource DEL, therefore excluding all Capital procurement.  Should include entries against NAC Codes: ""B3501"" + ""E20""; Expenditure should be recorded in £m.  ",Quarterly COINS data,"Current = Q1 2011-12 (Apr-Jun)
Previous = Q1 2010-11 (Apr-Jun)",Full,COINS,Management information,"(Resource AME excluding depreciation) + (Capital AME). Source:This data is derived from Planning, Budgeting and Forecasting System (PB&F), work is in progress to source this data from COINS from QDS3 onwards, to align future reporting.",The financial numbers in the budget section are our AP03 (HMT AP04) as submitted in COINS.  The are for core budget & war pensions benefit only – they exclude cost of operations and peacekeeping.  They consist of 3 months actuals ,Current= Q1 2011/12 Previous = Q1 2010/11,
,,Payroll within Resource DEL,"Pay includes salaries, employers’ National Insurance Contributions, and accruing pension costs in RDEL. NAC Codes – all codes under ""A15"". Expenditure should be recorded in £million and in real terms, with no normalisation applied.  ",Quarterly COINS data,"Current = Q1 2011-12 (Apr-Jun)
Previous = Q1 2010-11 (Apr-Jun)",Full,COINS,Management information,"5 largest areas of spending, as defined by the department, to cover a substantial proportion of Total AME. Source: This data is derived from Planning, Budgeting and Forecasting System (PB&F), work is in progress to source this data from COINS from QDS3 onwards, to align future reporting.",The financial numbers in the budget section are our AP03 (HMT AP04) as submitted in COINS.  The are for core budget & war pensions benefit only – they exclude cost of operations and peacekeeping.  They consist of 3 months actuals ,Current= Q1 2011/12 Previous = Q1 2010/11,
,,Grants within Resource DEL,"Grant payments or subsidies to individuals or bodies inside or outside the public sector within Resource DEL. The figure should not include any ""capital"" grants or subsidies. The NAC Code definition is complex but covers:

- Current grants to local government spending NAC= “M10”, “M15”, “M20”, “M30”, “M40”
- Current grants to persons and not for profit bodies NAC= ""D10""
- Current grants abroad NAC= ""D20""
- Subsidies to private sector companies NAC= ""C10, C50""
- Subsidies to public corporations NAC=""C20, C35""
",Quarterly COINS data,"Current = Q1 2011-12 (Apr-Jun)
Previous = Q1 2010-11 (Apr-Jun)",Full,COINS,Management information,"This data is derived from Planning, Budgeting and Forecasting System (PB&F), work is in progress to source this data from COINS from QDS3 onwards, to align future reporting.",The financial numbers in the budget section are our AP03 (HMT AP04) as submitted in COINS.  The are for core budget & war pensions benefit only – they exclude cost of operations and peacekeeping.  They consist of 3 months actuals ,Current= Q1 2011/12 Previous = Q1 2010/11,
,,of which Capital DEL,"(Capital DEL), taken from COINS.",Quarterly COINS data,"Current = Q1 2011-12 (Apr-Jun)
Previous = Q1 2010-11 (Apr-Jun)",Full,COINS,Management information,"This data is derived from Planning, Budgeting and Forecasting System (PB&F), work is in progress to source this data from COINS from QDS3 onwards, to align future reporting.",The financial numbers in the budget section are our AP03 (HMT AP04) as submitted in COINS.  The are for core budget & war pensions benefit only – they exclude cost of operations and peacekeeping.  They consist of 3 months actuals ,Current= Q1 2011/12 Previous = Q1 2010/11,
,,Top 5 contributory elements,"5 largest areas of spending, as defined by the department, to cover a substantial proportion of Capital DEL.",Quarterly COINS data,"Current = Q1 2011-12 (Apr-Jun)
Previous = Q1 2010-11 (Apr-Jun)",Determined by top 5 programmes chosen,COINS,Management information,"This data is derived from Planning, Budgeting and Forecasting System (PB&F), work is in progress to source this data from COINS from QDS3 onwards, to align future reporting.",The financial numbers in the budget section are our AP03 (HMT AP04) as submitted in COINS.  The are for core budget & war pensions benefit only – they exclude cost of operations and peacekeeping.  They consist of 3 months actuals ,Current= Q1 2011/12 Previous = Q1 2010/11,
,,A,,,,,,,"This data is derived from Planning, Budgeting and Forecasting System (PB&F), work is in progress to source this data from COINS from QDS3 onwards, to align future reporting.",The financial numbers in the budget section are our AP03 (HMT AP04) as submitted in COINS.  The are for core budget & war pensions benefit only – they exclude cost of operations and peacekeeping.  They consist of 3 months actuals ,Current= Q1 2011/12 Previous = Q1 2010/11,
,,B,,,,,,,"This data is derived from Planning, Budgeting and Forecasting System (PB&F), work is in progress to source this data from COINS from QDS3 onwards, to align future reporting.",The financial numbers in the budget section are our AP03 (HMT AP04) as submitted in COINS.  The are for core budget & war pensions benefit only – they exclude cost of operations and peacekeeping.  They consist of 3 months actuals ,Current= Q1 2011/12 Previous = Q1 2010/11,
,,C,,,,,,,"This data is derived from Planning, Budgeting and Forecasting System (PB&F), work is in progress to source this data from COINS from QDS3 onwards, to align future reporting.",The financial numbers in the budget section are our AP03 (HMT AP04) as submitted in COINS.  The are for core budget & war pensions benefit only – they exclude cost of operations and peacekeeping.  They consist of 3 months actuals ,Current= Q1 2011/12 Previous = Q1 2010/11,
