FREEDOM OF INFORMATION,,
MOD Requests to 25 June 2010,,
"CIO-CI-Access Team, Ministry of Defence, CIO-FOI@mod.uk",,
,,
,,
Case Number,Date Due,Request Summary
01-06-2010-111255-001,28/06/2010,"How many 'Continuous Attitude Survey' paper questionnaires were sent to service personnel in 2007, 2008 and 2009 and what the return rate for completed papers was as both a percentage and a number for each year."
01-06-2010-132436-001,22/06/2010,Request for information on military law.
02-06-2010-103303-001,14/06/2010,A copy of DNLS SOI Employment Law advice dated 22 Jul 08.
02-06-2010-104126-001,29/06/2010,"Information about staff at RAF Kinloss.  There are 254 employees. What areas do they live in and what the percentage is? Also, what percentage of employees are spouses of military personnel?"
02-06-2010-113052-002,28/06/2010,"Details on how many Apple iPads have been ordered for use by the department.  Indicate the position held by each person the device was ordered for (eg press officer, minister, advisor, official etc).  Also indicate, where possible, what each device is expected to be used for, when they were ordered and if they have been delivered yet."
02-06-2010-115943-001,30/06/2010,"Please supply numbers of excess deaths suffered by civilians in Iraq in each of the years 2003, 2004, 2005, 2006, 2007, 2008 and 2009."
02-06-2010-120813-003,30/06/2010,"Various questions on the exact amount of money drawn down by trade for all of the RAF's apprenticeships and advanced apprenticeships over the period 2005-to the present day from the learning skills council and the skills funding agency.  Also, the exact amount drawn down over the same period by trade in both total amount claimed and amount claimed per person."
02-06-2010-122856-002,30/06/2010,"Any pertinent information relating to ?winthropping, a geographic search technique which I believe originated in the British Army's security role in Northern Ireland, specifically in the searching for concealed weapons caches belonging to the IRA.  Any training materials, experimental methodologies, case studies, internal memos or other documentation which can shed light on the origins, development, application and refinement of this particular method."
02-06-2010-124252-002,28/06/2010,"The model and mean salaries separately for civilian and Armed Force full time equivalent personnel by rank- grade equivalence.  Additionally, the Armed Forces (either by Force or combined, whichever is the  more convenient) what percentage time by rank they have committed to serving on operational tours of duty in aggressive environments ie where the threat of death or sever disabling injury is more frequent than an unusual event. "
02-06-2010-132008-004,29/06/2010,"The Ministry of Defence Health and Safety Handbook on Leaflet 25, Annex D which provides Guidelines for Operational Stress Management at paragraph 22.  Disclose  all Regulations and Orders for the Tri services (Army, Airforce, and Navy), that relate to this six-step training programme for operational stress management. Detail what the six-step training programme involves for each of the three services (Army, Air Force and Navy)."
02-06-2010-132621-001,29/06/2010,"1. Any reports, management analysis , research, statistical reports or otherwise held by Mod centre DGCP concerning performance management for civilian staff and in particular overmarking for the period 1 April 08- to present."
02-06-2010-133441-002,29/06/2010,"2.  Information held within  Navy Command HQ, by Cmd Sec, DCS (ES) or HR Business Partner concerning performance management within the TLB as detailed above. Additionally, a statistical breakdown of the overall performance marking assessment for civilian pay band c1 and c2 grades within the TLB and broken down by 1* area to cover the last two reporting years."
