Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/07/2012,Hire of Conference Facilities,Knowledge & Innovation Group - Higher Education - Policy,ABBEY COMMUNITY ASSOCIATION LTD (ABBEY COMMUNITY SERVICES LTD),1038873,-1.00, - Hire of Conference Facilities,SW1P 3BU,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/07/2012,Payments to Barclays for Carlson Wagonlit Travel Contract,Finance & Commercial Group - Finance Group,INITIAL CATERING SERVICES LTD T/A AUTOGRAPH,1041480,213.72, - Payments to Barclays for Carlson Wagonlit Travel Contract,DY1 9JD,,,,Programme
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/07/2012,ICT Maintenance & Upkeep,Finance & Commercial Group - Commercial Directorate,"KCOM GROUP PLC T/A KCOM, ECLIPSE INTERNET",1043982,-24485.00, - ICT Maintenance & Upkeep,HU1 3RN,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/07/2012,ICT Maintenance & Upkeep,Finance & Commercial Group - Commercial Directorate,"KCOM GROUP PLC T/A KCOM, ECLIPSE INTERNET",1043982,-24485.00, - ICT Maintenance & Upkeep,HU1 3RN,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",31/07/2012,ICT Infrastructure Specific Service,Finance & Commercial Group - Commercial Directorate,CABLE & WIRELESS UK,1044150,-35609.86, - ICT Infrastructure Specific Service,MK3 5JP,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/07/2012,Payments to Barclays for Carlson Wagonlit Travel Contract,Finance & Commercial Group - Finance Group,INITIAL CATERING SERVICES LTD T/A AUTOGRAPH,1049414,453.48, - Payments to Barclays for Carlson Wagonlit Travel Contract,DY1 9JD,,,,Programme
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/07/2012,Other Staff Welfare Costs,"People, Comminications and Effectiveness Group - Human Resources",PERSONAL PERFORMANCE CONSULTANTS UK LTD,1053307,-167.96, - Other Staff Welfare Costs,OX4 2RU,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/07/2012,Fixtures and fittings,Finance & Commercial Group - Commercial Directorate,KNIGHT FRANK LLP,1055203,-1417.36, - Fixtures and fittings,W1U 8AN,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/07/2012,Payments to Barclays for Carlson Wagonlit Travel Contract,Finance & Commercial Group - Finance Group,INITIAL CATERING SERVICES LTD T/A AUTOGRAPH,1055732,126.72, - Payments to Barclays for Carlson Wagonlit Travel Contract,DY1 9JD,,,,Programme
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/07/2012,Maintenance,Finance & Commercial Group - Commercial Directorate,CUSHMAN & WAKEFIELD LLP,1055863,6700.01, - Maintenance,B2 2JT,,,,Administration
