"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for Communities and Local Government","The Planning Inspectorate","Casework and Plans","PINS04","Grade 7","48647","55618","Head of Service","4.00","Planning"
"Department for Communities and Local Government","The Planning Inspectorate","Casework and Plans","PINS04","HEO","29539","32406","Section Manager","14.67","Planning"
"Department for Communities and Local Government","The Planning Inspectorate","Casework and Plans","PINS04","EO","23686","25589","Team Manager","22.61","Planning"
"Department for Communities and Local Government","The Planning Inspectorate","Casework and Plans","PINS04","AO","19292","20762","Case Officer","90.94","Planning"
"Department for Communities and Local Government","The Planning Inspectorate","Casework and Plans","PINS04","AO","19292","20762","Not In Post","1.00","Planning"
"Department for Communities and Local Government","The Planning Inspectorate","Casework and Plans","PINS04","Persec","19292","20762","Secretary","2.39","Planning"
"Department for Communities and Local Government","The Planning Inspectorate","Casework and Plans","PINS04","AA","16449","17448","Administrator","25.24","Planning"
"Department for Communities and Local Government","The Planning Inspectorate","Chief Planning Inspector","PINS08","EI","95000","95000","Examing Inspector","10.00","Planning"
"Department for Communities and Local Government","The Planning Inspectorate","Chief Planning Inspector","PINS08","SEI","115625","115625","Examing Inspector","2.70","Planning"
"Department for Communities and Local Government","The Planning Inspectorate","Chief Planning Inspector","PINS08","HPI","39149","47501","Planning Inspector","57.96","Planning"
"Department for Communities and Local Government","The Planning Inspectorate","Chief Planning Inspector","PINS08","SHPI","50557","60670","Planning Inspector","116.50","Planning"
"Department for Communities and Local Government","The Planning Inspectorate","Chief Planning Inspector","PINS08","PHPI","65416","71957","Planning Inspector","18.17","Planning"
"Department for Communities and Local Government","The Planning Inspectorate","Chief Planning Inspector","PINS08","SEO","36653","40659","Head of Service","1.00","Planning"
"Department for Communities and Local Government","The Planning Inspectorate","Chief Planning Inspector","PINS08","AD","75432","75432","Operational Manager","3.00","Planning"
"Department for Communities and Local Government","The Planning Inspectorate","Chief Planning Inspector","PINS08","EO","23686","25589","Team Manager","0.86","Operational Delivery"
"Department for Communities and Local Government","The Planning Inspectorate","Chief Planning Inspector","PINS08","AO","19292","20762","Administrator","2.00","Operational Delivery"
"Department for Communities and Local Government","The Planning Inspectorate","Chief Planning Inspector","PINS08","AA","16449","17448","Administrator","1.00","Operational Delivery"
"Department for Communities and Local Government","The Planning Inspectorate","Corporate Services","PINS07","Grade 6","57500","68293","Accountant","1.00","Finance"
"Department for Communities and Local Government","The Planning Inspectorate","Corporate Services","PINS07","Grade 6","57500","68293","Head of Service","3.00","Other"
"Department for Communities and Local Government","The Planning Inspectorate","Corporate Services","PINS07","Grade 7","48647","55618","Head of Service","1.00","Operational Delivery"
"Department for Communities and Local Government","The Planning Inspectorate","Corporate Services","PINS07","Grade 7","48647","55618","HR Business Partner","2.00","Human Resources"
"Department for Communities and Local Government","The Planning Inspectorate","Corporate Services","PINS07","SEO","36653","40659","HR Manager","1.00","Human Resources"
"Department for Communities and Local Government","The Planning Inspectorate","Corporate Services","PINS07","HEO","29539","32406","HR Manager","3.95","Human Resources"
"Department for Communities and Local Government","The Planning Inspectorate","Corporate Services","PINS07","EO","23686","25589","HR Officer","4.60","Human Resources"
"Department for Communities and Local Government","The Planning Inspectorate","Corporate Services","PINS07","AO","19292","20762","HR Support Officer","5.65","Human Resources"
"Department for Communities and Local Government","The Planning Inspectorate","Corporate Services","PINS07","SEO","36653","40659","IT Manager","4.00","Information Technology"
"Department for Communities and Local Government","The Planning Inspectorate","Corporate Services","PINS07","HEO","29539","32406","IT Manager","10.19","Information Technology"
"Department for Communities and Local Government","The Planning Inspectorate","Corporate Services","PINS07","EO","23686","25589","IT Officer","28.57","Information Technology"
"Department for Communities and Local Government","The Planning Inspectorate","Corporate Services","PINS07","AO","19292","20762","IT Support Officer","3.00","Information Technology"
"Department for Communities and Local Government","The Planning Inspectorate","Corporate Services","PINS07","SEO","36653","40659","Finance Manager","2.00","Finance"
"Department for Communities and Local Government","The Planning Inspectorate","Corporate Services","PINS07","HEO","29539","32406","Finance Manager","3.82","Finance"
"Department for Communities and Local Government","The Planning Inspectorate","Corporate Services","PINS07","EO","23686","25589","Finance Officer","8.59","Finance"
"Department for Communities and Local Government","The Planning Inspectorate","Corporate Services","PINS07","AO","19292","20762","Finance Support Officer","3.57","Finance"
"Department for Communities and Local Government","The Planning Inspectorate","Corporate Services","PINS07","EO","23686","25589","Estates Officer","1.00","Other"
"Department for Communities and Local Government","The Planning Inspectorate","Corporate Services","PINS07","HEO","29539","32406","Customer Services Officer","2.00","Operational Delivery"
"Department for Communities and Local Government","The Planning Inspectorate","Corporate Services","PINS07","EO","23686","25589","Customer Services Officer","9.96","Operational Delivery"
"Department for Communities and Local Government","The Planning Inspectorate","Corporate Services","PINS07","AO","19292","20762","Administrator","17.15","Operational Delivery"
"Department for Communities and Local Government","The Planning Inspectorate","Corporate Services","PINS07","AA","16449","17448","Administrator","4.00","Operational Delivery"
"Department for Communities and Local Government","The Planning Inspectorate","Corporate Services","PINS07","Persec","19292","20762","Secretary","1.00","Other"
"Department for Communities and Local Government","The Planning Inspectorate","Corporate Services","PINS07","SEO","36653","40659","Section Manager","6.00","Other"
"Department for Communities and Local Government","The Planning Inspectorate","Corporate Services","PINS07","HEO","29539","32406","Section Manager","1.00","Other"
"Department for Communities and Local Government","The Planning Inspectorate","Corporate Services","PINS07","EO","23686","25589","Team Manager","7.57","Other"
"Department for Communities and Local Government","The Planning Inspectorate","Corporate Services","PINS07","HEO","29539","32406","Statistical Manager","3.00","Operational Delivery"
"Department for Communities and Local Government","The Planning Inspectorate","Corporate Services","PINS07","EO","23686","25589","Statistical Officer","5.00","Operational Delivery"
"Department for Communities and Local Government","The Planning Inspectorate","Corporate Services","PINS07","AO","19292","20762","Statistical Support Officer","2.00","Operational Delivery"
"Department for Communities and Local Government","The Planning Inspectorate","Corporate Services","PINS07","EO","23686","25589","Not In Post","0.65","Other"
"Department for Communities and Local Government","The Planning Inspectorate","Corporate Services","PINS07","AA","16449","17448","Not In Post","0.79","Other"
"Department for Communities and Local Government","The Planning Inspectorate","Law and Quality","PINS06","Grade 6","57500","68293","Lawyer","2.80","Law"
"Department for Communities and Local Government","The Planning Inspectorate","Law and Quality","PINS06","Grade 7","48647","55618","Lawyer","3.00","Law"
"Department for Communities and Local Government","The Planning Inspectorate","Law and Quality","PINS06","Grade 7","48647","55618","Head of Service","1.00","Operational Delivery"
"Department for Communities and Local Government","The Planning Inspectorate","Law and Quality","PINS06","SEO","36653","40659","Section Manager","3.00","Operational Delivery"
"Department for Communities and Local Government","The Planning Inspectorate","Law and Quality","PINS06","HEO","29539","32406","Section Manager","5.60","Operational Delivery"
"Department for Communities and Local Government","The Planning Inspectorate","Law and Quality","PINS06","EO","23686","25589","Team Manager","13.25","Operational Delivery"
"Department for Communities and Local Government","The Planning Inspectorate","Law and Quality","PINS06","AO","19292","20762","Administrator","4.63","Operational Delivery"
"Department for Communities and Local Government","The Planning Inspectorate","Law and Quality","PINS06","AA","16449","17448","Administrator","2.00","Operational Delivery"
"Department for Communities and Local Government","The Planning Inspectorate","Law and Quality","PINS06","PO","23686","25589","Planning Officer","3.00","Planning"
"Department for Communities and Local Government","The Planning Inspectorate","Law and Quality","PINS06","Persec","19292","20762","Secretary","1.00","Operational Delivery"
"Department for Communities and Local Government","The Planning Inspectorate","National Infrastructure","PINS03","Grade 6","57500","68293","Head of Service","2.00","Planning"
"Department for Communities and Local Government","The Planning Inspectorate","National Infrastructure","PINS03","Grade 7","48647","55618","Principal Case Manager","7.00","Planning"
"Department for Communities and Local Government","The Planning Inspectorate","National Infrastructure","PINS03","SEO","36653","40659","Senior Case Manager","6.00","Planning"
"Department for Communities and Local Government","The Planning Inspectorate","National Infrastructure","PINS03","HEO","29539","32406","Case Manager","13.00","Planning"
"Department for Communities and Local Government","The Planning Inspectorate","National Infrastructure","PINS03","EO","23686","25589","Case Officer","12.53","Planning"
"Department for Communities and Local Government","The Planning Inspectorate","National Infrastructure","PINS03","AO","19292","20762","Assistant Case Officer","4.00","Planning"
"Department for Communities and Local Government","The Planning Inspectorate","National Infrastructure","PINS03","AA","16449","17448","Administrator","7.94","Planning"
"Department for Communities and Local Government","The Planning Inspectorate","National Infrastructure","PINS03","Persec","19292","20762","Secretary","0.81","Planning"
"Department for Communities and Local Government","The Planning Inspectorate","Senior Director","PINS02","Grade 6","57500","68293","Head of Service","1.00","Operational Delivery"
"Department for Communities and Local Government","The Planning Inspectorate","Senior Director","PINS02","Grade 7","48647","55618","Head of Service","1.00","Communications"
"Department for Communities and Local Government","The Planning Inspectorate","Senior Director","PINS02","SEO","36653","40659","Communications Manager","2.00","Communications"
"Department for Communities and Local Government","The Planning Inspectorate","Senior Director","PINS02","HEO","29539","32406","Communications Manager","1.81","Communications"
"Department for Communities and Local Government","The Planning Inspectorate","Senior Director","PINS02","HEO","29539","32406","Executive Assistant","2.00","Operational Delivery"
"Department for Communities and Local Government","The Planning Inspectorate","Senior Director","PINS02","SEO","36653","40659","Section Manager","1.00","Operational Delivery"
"Department for Communities and Local Government","The Planning Inspectorate","Senior Director","PINS02","HEO","29539","32406","Section Manager","1.00","Operational Delivery"
"Department for Communities and Local Government","The Planning Inspectorate","Senior Director","PINS02","EO","23686","25589","Team Manager","3.57","Operational Delivery"
"Department for Communities and Local Government","The Planning Inspectorate","Wales","PINS05","AD","75432","75432","Operational Manager","1.00","Planning"
"Department for Communities and Local Government","The Planning Inspectorate","Wales","PINS05","SEO","36653","40659","Head of Service","1.00","Planning"
"Department for Communities and Local Government","The Planning Inspectorate","Wales","PINS05","HEO","29539","32406","Section Manager","3.00","Planning"
"Department for Communities and Local Government","The Planning Inspectorate","Wales","PINS05","EO","23686","25589","Team Manager","4.49","Planning"
"Department for Communities and Local Government","The Planning Inspectorate","Wales","PINS05","AO","19292","20762","Administrator","8.92","Planning"
"Department for Communities and Local Government","The Planning Inspectorate","Wales","PINS05","AA","16449","17448","Administrator","3.00","Planning"
