Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Department for Communities & Local Government ,Ministerial Department,Department for Communities & Local Government,114,110.14,238,229.9,715,697.18,563,546.01,87,84.07,0,0,1717,1667.3,7,7,4,4,16,16,5,5,32,32,1749,1699.3,5727580.27,72243.12,34519.84,26125.72,1167871.86,521226.07,7549566.88,253745.94,56416.24,310162.18,7859729.06,
Fire Service College,Executive Agency,Department for Communities & Local Government,61,57.1,30,28.4,64,62.4,14,13.5,1,1,0,0,170,162.4,1,1,4,3.8,0,0,0,0,5,4.8,175,167.2,295903.12,0,0,0,51311.02,22113.54,369327.68,32205.88,0,32205.88,401533.56,
Planning Inspectorate,Executive Agency,Department for Communities & Local Government,206,183.7,138,125.7,90,87.7,283,232.3,7,7,0,0,724,636.4,0,0,0,0,0,0,0,0,0,0,724,636.4,2031334.78,18321.71,0,3994.8,409012.55,181695.28,2644359.12,0,0,0,2644359.12,
Queen Elizabeth II Conference Centre,Executive Agency,Department for Communities & Local Government,4,4,7,7,27,27,3,3,1,1,0,0,42,42,0,0,0,0,1,1,4,4,5,5,47,47,122155.82,0,0,9474.39,22990.69,11128.46,165749.36,1645,15385.5,17030.5,182779.86,
Homes & Communities Agency,Executive Non-Departmental Public Body,Department for Communities & Local Government,120,115.58,204,199.79,225,218.93,36,35.8,43,42.88,237,232.65,865,845.63,6,6,0,0,9,9,0,0,15,15,880,860.63,2992587.7,159858.84,0,2516.01,663659.78,296376.19,4114998.52,90447,14632,105079,4220077.52,
Independent Housing Ombudsman Ltd,Executive Non-Departmental Public Body,Department for Communities & Local Government,0,0,0,0,0,0,0,0,0,0,39,38,39,38,2,2,0,0,0,0,0,0,2,2,41,40,155339.16,64.28,0,0,28466.32,15170.21,199039.97,8168,0,8168,207207.97,
Leasehold Advisory Service,Executive Non-Departmental Public Body,Department for Communities & Local Government,3,2.4,1,1,17,16,0,0,1,1,0,0,22,20.4,0,0,0,0,0,0,0,0,0,0,22,20.4,66262,0,0,0,5953,7033,79248,0,0,0,79248,
London Thames Gateway Development Corporation,Executive Non-Departmental Public Body,Department for Communities & Local Government,0,0,0,0,6,5.3,3,2.8,5,5,0,0,14,13.1,1,0.7,0,0,1,0.36,0,0,2,1.06,16,14.16,61320.16,0,0,0,8633.98,6247.89,76202.03,7825.64,0,7825.64,84027.67,
Valuation Tribunal Service,Executive Non-Departmental Public Body,Department for Communities & Local Government,23,22.17,42,40.832,12,11.736,2,2,1,1,0,0,80,77.738,2,1.6,0,0,0,0,0,0,2,1.6,82,79.338,204524,3216,0,0,45638,19505,272883,10521,0,10521,283404,
West Northamptonshire Development Corporation,Executive Non-Departmental Public Body,Department for Communities & Local Government,6,5.41,7,5.9,9,8.7,2,2,3,3,9,1.5,36,26.51,0,0,0,0,0,0,1,0.6,1,0.6,37,27.11,116968.77,4800,0,0,8644.35,12060.97,142474.09,0,4750,4750,147224.09,
