,Template for Workforce data           Total headcount =   ,,,,,,3267,as at 31.03.11,,,,,,,,,,,



,,Grade Level,,,,,,,,,,,,,,,,,
,BIS Staff in Post as of 31 March 2011,AA ,,AO ,,EO,,HEO,,SEO,,Grade 7,,Grade 6 ,,SCS ,,,
,,Full time,Part time,Full time,Part time,Full time,Part time,Full time,Part time,Full time,Part time,Full time,Part time,Full time ,Part time,Full time ,Part time,Total,% against Departmental headcount
Gender,Male,16,*,95,*,191,*,456,12,206,10,387,15,179,10,121,*,1720,53
,Female,*,*,141,40,209,50,330,60,117,27,251,70,111,43,70,22,1547,47
Ethnic Origin,White,11,*,97,24,133,25,281,35,140,21,269,59,156,32,102,16,1403,43
,BME,*,0,57,*,87,*,108,10,39,*,49,*,11,*,*,*,394,12
,Not Declared,*,0,82,14,180,26,397,27,141,15,320,24,123,17,81,12,1466,45
Disability,Disabled,*,0,34,*,47,*,48,*,24,*,37,*,11,*,*,*,244,7
,Not Disabled,14,*,187,35,261,42,543,60,259,24,488,71,229,49,147,24,2435,75
,Not Declared,*,0,15,*,92,11,195,*,40,*,113,10,50,*,35,*,588,18
Sexual Orientation,Heterosexual,0,0,51,13,89,18,160,24,83,16,148,26,53,*,46,*,739,23
,GLB,*,0,*,0,*,0,11,*,*,0,14,0,*,*,*,0,46,1
,Not declared,21,*,182,31,309,41,615,47,235,21,476,59,231,43,142,23,2478,76
Religion or Belief,Declared,0,0,56,13,92,19,180,25,91,16,164,29,57,11,52,*,813,25
,Not Declared,21,*,180,31,308,40,605,47,232,21,473,56,233,42,138,22,2451,75
Age,25 and under ,0,0,*,0,26,0,49,0,0,0,*,0,0,0,0,0,82,3
,26-35,*,0,23,*,56,12,224,10,48,*,34,23,172,*,18,*,639,20
,36-45,*,0,48,17,134,23,194,28,95,15,171,26,80,26,57,13,928,28
,46-55,*,*,99,13,135,13,221,23,130,14,225,30,126,13,73,*,1129,35
,56-65,11,0,57,*,47,*,89,*,46,*,66,*,49,*,41,*,453,14
,Over 65,*,*,*,*,*,*,*,*,*,0,*,*,*,*,*,*,36,1

,*Less than 10 staff showing ,,,,,,,,,,,,,,,,,,
