Department for Transport statistics,,,,,,,,,
National Travel Survey,,,,,,,,,
,,,,,,,,,
Table NTS9909,,,,,,,,,
"Proportion of urban trips under 5 miles by main mode: England, 2006 to 2010",,,,,,,,,
(DfT Business Plan impact indicator1),,,,,,,,,
,,,,,Percentage/number,,,,
,Walk/Bicycle,Public transport,All Modes,Unweighted sample size (trips),Unweighted sample size (individuals),,,,
Year:,,,,,,,,,
2006,38,9,100,"191,162","14,238",,,,
2007,36,9,100,"176,695","14,425",,,,
2008,36,9,100,"173,877","14,005",,,,
2009,37,10,100,"188,095","14,861",,,,
2010,35,10,100,"173,530","14,231",,,,
,,,,,,,,,
1 Impact indicator: Proportion of urban trips under 5 miles taken by (i) walking or cycling (ii) public transport.,,,,,,,,,
http://www.dft.gov.uk/publications/dft-business-plan-indicators-impact-04/,,,,,
,,,,,
Telephone: 020 7944 3097,,,,,Source: National Travel Survey
Email: national.travelsurvey@dft.gsi.gov.uk,,,,,Last updated: 28 July 2011
Notes & definitions,,,,,Next update: July 2012

The figures in this table are National Statistics,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,




















