Minister,Date,Name of External Organisation*,Purpose of meeting
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Oct-10,Shelter,Introductory meeting
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Oct-10,Bradford Council,Local Government Finance
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Oct-10,Northamptonshire CC,Local Government Finance
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Oct-10,President of Madrid,Introductory meeting
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Oct-10,"Cllr Louise McKinlay, Brentwood Borough Council",Local Government Finance
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Oct-10,Volunteering England,Introductory meeting
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Oct-10,"Ford UK, Kingston Smith LLP",Introductory meeting
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Nov-10,Trades Union Congress,Introductory Meeting
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Nov-10,Mayor of London,Introductory Meeting
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Nov-10,PENNA,Introductory Meeting
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Nov-10,Royal Mail,Introductory Meeting
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Nov-10,South East Strategic Leaders,Discuss matters of interest in the South East
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Dec-10,Jewish Leadership Council,Roundtable discussion
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Dec-10,Federation of Small Businesses,To discuss growth
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Dec-10,"Cllr Peter Martin, Essex County Council",Local Government policy
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Oct-10,Turning Point,Integrated Services
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Nov-10,Co-operatives UK,Co-operatives
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Nov-10,Town and Country Planning Association (TCPA),To discuss TCPA Conference
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Nov-10,Black Country and local business leaders,Local Enterprise Partnerships
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Dec-10,Clore Social Leadership Programme,Big Society
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",Dec-10,Faith leaders ,Big Society
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Oct-10,Lord Freud and Homelessness Foundation,To discuss the impact of Housing issues
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Oct-10,Volume Developers Group,To discuss how they will deliver the new model for affordable housing
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Oct-10,"Four National Tenant Organisations (CCH, TPAS, NFTMO, TAROE)",The work of the National Tenant Organisations
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Oct-10,Local Government Ombudsman,To discuss the transfer of housing functions
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Nov-10,Kettering Local Councillors,New Homes
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Nov-10,HomeSwapper and House Exchange,National Home Swap programme
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Nov-10,Tradocs,National Home Swap programme
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Dec-10,"Local Standards Framework – Roundtable (HBF, HBA, CPA, NHBC, LGA, CIH, NHF, Volume Developers Group/L& Q, UK Green Building Council, HCA, POS, CABE, BRE)",'Local Standards Framework' for New Homes
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Dec-10,Homelessness Foundation,Housing issues
"Andrew Stunell MP, Parliamentary Under-Secretary of State",Oct-10,Groundwork UK,Introductory meeting
"Andrew Stunell MP, Parliamentary Under-Secretary of State",Oct-10,Holocaust Memorial Trust,Introductory meeting
"Andrew Stunell MP, Parliamentary Under-Secretary of State",Nov-10,JAN Trust,Introductory meeting
"Andrew Stunell MP, Parliamentary Under-Secretary of State",Nov-10,Forward Thinking,Introductory meeting
"Andrew Stunell MP, Parliamentary Under-Secretary of State",Nov-10,MINAB,Introductory meeting
"Andrew Stunell MP, Parliamentary Under-Secretary of State",Nov-10,Zero Carbon Hub & UK-GBC,Introductory meeting
"Andrew Stunell MP, Parliamentary Under-Secretary of State",Nov-10,IFN-Inter Faith Network,Introductory meeting
"Andrew Stunell MP, Parliamentary Under-Secretary of State",Nov-10,Plumb Centre,Introduction to sector
"Andrew Stunell MP, Parliamentary Under-Secretary of State",Nov-10,Churches Conservation Trust,Introductory meeting
"Andrew Stunell MP, Parliamentary Under-Secretary of State",Nov-10,Heritage Lottery Fund,Introductory meeting
"Andrew Stunell MP, Parliamentary Under-Secretary of State",Nov-10,Hereford Futures,Introductory meeting
"Andrew Stunell MP, Parliamentary Under-Secretary of State",Nov-10,NHBC –National House Builders Councils,Introductory meeting 
"Andrew Stunell MP, Parliamentary Under-Secretary of State",Nov-10,Centre for Good Relations,Introductory meeting
"Andrew Stunell MP, Parliamentary Under-Secretary of State",Dec-10,CARE - Christian Action Research and Education,Introductory meeting 
"Andrew Stunell MP, Parliamentary Under-Secretary of State",Dec-10,RIBA-Royal institute of British Architects & ARB- Architects registration Board,Introductory Meeting
