Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction number,Amount in Sterling
Communities & Local Government,DCLG,01/09/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",BARKING & DAGENHAM LB,5000137935,"-2,400,119.00"
Communities & Local Government,DCLG,01/09/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",BARNSLEY MBC,5000137939,"-2,174,152.00"
Communities & Local Government,DCLG,01/09/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",BIRMINGHAM CITY CNCL,5000137956,"-18,518,504.00"
Communities & Local Government,DCLG,01/09/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",BLACKBURN WITH DARWEN BC,5000137960,"-1,916,644.00"
Communities & Local Government,DCLG,01/09/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",BLACKPOOL BC,5000137963,"-2,092,411.00"
Communities & Local Government,DCLG,01/09/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",BOLTON MBC,5000137966,"-3,981,585.00"
Communities & Local Government,DCLG,01/09/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",BRADFORD MBC,5000137974,"-6,195,178.00"
Communities & Local Government,DCLG,01/09/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",BRENT LB,5000137981,"-4,513,345.00"
Communities & Local Government,DCLG,01/09/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",BRIGHTON & HOVE CITY COUNCIL,5000137984,"-4,485,650.00"
Communities & Local Government,DCLG,01/09/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",BURY MBC,5000138003,"-2,094,759.00"
Communities & Local Government,DCLG,01/09/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",CALDERDALE MBC,5000138004,"-2,509,830.00"
Communities & Local Government,DCLG,01/09/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",COVENTRY CITY CNCL,5000138056,"-5,170,429.00"
Communities & Local Government,DCLG,01/09/2010,NNDR Billing Authorities Receipts,"Local Gov & Reg(LG DEL,AME, RfR2)",DARLINGTON BC,5000138067,"-1,511,096.00"
