Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction number,Amount in Sterling
Communities & Local Government,GO,12/05/2010,Agency Staff,GONW,REED SPECIALIST RECRUITMENT LTD,5106133685,"1,168.49"
Communities & Local Government,GO,12/05/2010,Agency Staff,GONW,ROBERT HALF LIMITED,5106133610,678.21
Communities & Local Government,GO,12/05/2010,Agency Staff,GOL,REED SPECIALIST RECRUITMENT LTD,5106133728,858.87
Communities & Local Government,GO,12/05/2010,Agency Staff,GORCU Admin DEL Votd,REED SPECIALIST RECRUITMENT LTD,2300001997,-629.80
Communities & Local Government,GO,12/05/2010,Agency Staff,GORCU Admin DEL Votd,REED SPECIALIST RECRUITMENT LTD,5106133624,515.73
Communities & Local Government,GO,12/05/2010,Fares UK,GOSW,REDFERN TRAVEL LIMITED,2100180361,"17,691.68"
Communities & Local Government,GO,12/05/2010,Storage,GOE,IRON MOUNTAIN (UK) LIMITED,5106132324,-844.11
Communities & Local Government,GO,12/05/2010,Storage,GOE,IRON MOUNTAIN (UK) LIMITED,5106133595,"1,019.87"
Communities & Local Government,GO,12/05/2010,Post,GOL,GOVERNMENT CAR & DESPATCH AGENCY,5106133724,"1,836.53"
Communities & Local Government,GO,12/05/2010,Professional services,GORCU Admin DEL Votd,OGC BUYING SOLUTIONS,2100180495,"4,012.47"
Communities & Local Government,GO,12/05/2010,Publicity,GONE,PENNA BARKERS,2100180455,"13,553.39"
Communities & Local Government,GO,12/05/2010,Publicity,GONE,PENNA BARKERS,2100180456,"1,778.62"
Communities & Local Government,GO,12/05/2010,Publicity,GONE,PENNA BARKERS,2100180457,"4,700.68"
Communities & Local Government,GO,12/05/2010,Publicity,GONE,PENNA BARKERS,2100180458,"4,025.38"
Communities & Local Government,GO,12/05/2010,Publicity,GONE,REED SPECIALIST RECRUITMENT LTD,2100180459,947.03
Communities & Local Government,GO,12/05/2010,Telecoms equipment (non-capitalised),GORCU Admin DEL Votd,VODAFONE LTD (PAGING),5106133604,"1,157.50"
Communities & Local Government,GO,12/05/2010,Telecoms equipment (non-capitalised),GORCU Admin DEL Votd,VODAFONE LTD (PAGING),5106133608,"1,157.50"
Communities & Local Government,GO,12/05/2010,Services provided by other Govt Orgs,Staff Early Releases,DEPARTMENT FOR WORK & PENSIONS,2100180494,"1,246.00"
Communities & Local Government,GO,13/05/2010,Agency Staff,GONW,REED SPECIALIST RECRUITMENT LTD,5106133779,519.22
Communities & Local Government,GO,13/05/2010,Agency Staff,GOE,REED EMPLOYMENT SERVICES,5106133776,513.52
Communities & Local Government,GO,13/05/2010,Agency Staff,GOE,CAVILL ROBINSON FINANCIAL RCRTMT LT,5106133844,839.98
Communities & Local Government,GO,13/05/2010,Conferences,RCU - PAM - Property Asset Management,HONEYWELL CONTROL SYSTEMS LTD,5106133910,"3,040.24"
Communities & Local Government,GO,13/05/2010,IT Maintenance,GORCU Admin DEL Votd,QUESTMARK LTD,5106133923,"2,247.19"
Communities & Local Government,GO,13/05/2010,IT Maintenance,GORCU Admin DEL Votd,FUJITSU SERVICES LTD,5106133922,"48,594.39"
Communities & Local Government,GO,13/05/2010,IT Maintenance,GORCU Admin DEL Votd,FUJITSU SERVICES LTD,5106133934,"4,993.11"
Communities & Local Government,GO,13/05/2010,Legal Fees,RCU - PAM - Property Asset Management,PINSENT MASONS LLP,5106133845,"1,707.28"
Communities & Local Government,GO,13/05/2010,Fixed Maintenance,RCU - PAM - Property Asset Management,AMEY COMMUNITY LTD,2100180499,"23,861.89"
Communities & Local Government,GO,13/05/2010,Travel and Subsistence Account,GOYH,YORKSHIRE MESMAC LTD,2100180517,50.00
Communities & Local Government,GO,13/05/2010,Mileage UK,GOYH,YORKSHIRE MESMAC LTD,2100180517,184.20
Communities & Local Government,GO,13/05/2010,Mileage UK,GOYH,YORKSHIRE MESMAC LTD,2300001962,-209.20
Communities & Local Government,GO,13/05/2010,Fares UK,GOYH,YORKSHIRE MESMAC LTD,2300001962,-18.50
Communities & Local Government,GO,13/05/2010,Subsistence UK,GOYH,YORKSHIRE MESMAC LTD,2300001962,-8.00
Communities & Local Government,GO,13/05/2010,Car Park,RCU - PAM - Property Asset Management,AMEY COMMUNITY LTD,2100180499,-684.26
Communities & Local Government,GO,13/05/2010,Storage,GONE,CROWN RECORDS MANAGEMENT LTD,5106133828,836.55
Communities & Local Government,GO,13/05/2010,Storage,GONE,CROWN RECORDS MANAGEMENT LTD,5106133829,"2,472.65"
Communities & Local Government,GO,13/05/2010,Post,GOYH,GOVERNMENT CAR & DESPATCH AGENCY,5106133888,494.00
Communities & Local Government,GO,13/05/2010,Post,GOSE,GOVERNMENT CAR & DESPATCH AGENCY,5106133841,911.80
Communities & Local Government,GO,13/05/2010,IT Consultancy,GORCU Admin DEL Votd,FUJITSU SERVICES LTD,5106133925,"150,828.87"
Communities & Local Government,GO,13/05/2010,Telephone call costs,GORCU Admin DEL Votd,FUJITSU SERVICES LTD,5106133945,"94,404.44"
Communities & Local Government,GO,13/05/2010,Telephone call costs,GORCU Admin DEL Votd,MEETINGZONE LTD,5106133917,"1,185.24"
