Parent Department,Organisation,Unit,Reporting SCS post reference,Grade,Payscale minimum,Payscale maximum,Generic job title,Number of such posts in FTE,Notes

Ministry of Defence,Ministry of Defence,Navy Command TLB,First Sea Lord (1SL) / Chief of Naval Staff,OR6,,,,1,RM
Ministry of Defence,Ministry of Defence,Navy Command TLB,First Sea Lord (1SL) / Chief of Naval Staff,OF2,,,,2,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,First Sea Lord (1SL) / Chief of Naval Staff,OF3,,,,1,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,First Sea Lord (1SL) / Chief of Naval Staff,OF4,,,,2,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,First Sea Lord (1SL) / Chief of Naval Staff,OF5,,,,1,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,First Sea Lord (1SL) / Chief of Naval Staff,OR2,,,,4,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,First Sea Lord (1SL) / Chief of Naval Staff,OR4,,,,3,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,First Sea Lord (1SL) / Chief of Naval Staff,OR6,,,,1,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,First Sea Lord (1SL) / Chief of Naval Staff,OR7,,,,1,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1123043 / Commander-in-chief Fleet (CINC Fleet),OF2,,,,1,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1123043 / Commander-in-chief Fleet (CINC Fleet),OF3,,,,2,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1123043 / Commander-in-chief Fleet (CINC Fleet),OF5,,,,1,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1123043 / Commander-in-chief Fleet (CINC Fleet),OR4,,,,3,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1123043 / Commander-in-chief Fleet (CINC Fleet),OR6,,,,1,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,1123043 / Commander-in-chief Fleet (CINC Fleet),OR7,,,,1,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,Deputy Commander-in-Chief Fleet and Chief of Staff Navy Command HQ (DCINC),OF2,,,,7,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,Deputy Commander-in-Chief Fleet and Chief of Staff Navy Command HQ (DCINC),OF4,,,,5,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,Deputy Commander-in-Chief Fleet and Chief of Staff Navy Command HQ (DCINC),OR8,,,,1,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,Deputy Commander-in-Chief Fleet and Chief of Staff Navy Command HQ (DCINC),E1,,,,1,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,Deputy Commander-in-Chief Fleet and Chief of Staff Navy Command HQ (DCINC),SZ1,,,,1,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,Second Sea Lord and Commander-in-Chief Naval Home Command,OF2,,,,3,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,Second Sea Lord and Commander-in-Chief Naval Home Command,OF3,,,,1,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,Second Sea Lord and Commander-in-Chief Naval Home Command,OF4,,,,1,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,Second Sea Lord and Commander-in-Chief Naval Home Command,OR2,,,,5,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,Second Sea Lord and Commander-in-Chief Naval Home Command,OR4,,,,6,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,Second Sea Lord and Commander-in-Chief Naval Home Command,OR6,,,,2,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,Second Sea Lord and Commander-in-Chief Naval Home Command,OR7,,,,6,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,Second Sea Lord and Commander-in-Chief Naval Home Command,OR9,,,,1,RN
Ministry of Defence,Ministry of Defence,Navy Command TLB,Second Sea Lord and Commander-in-Chief Naval Home Command,C2,,,,1,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,Second Sea Lord and Commander-in-Chief Naval Home Command,D,,,,2,CIV
Ministry of Defence,Ministry of Defence,Navy Command TLB,Second Sea Lord and Commander-in-Chief Naval Home Command,E1,,,,22,CIV
