FREEDOM OF INFORMATION,,
MOD Requests to 28 May 2010,,
"CIO-CI-Access Team, Ministry of Defence, CIO-FOI@mod.uk",,
,,
,,
Case Number,Date Due,Request Summary
04-05-2010-095658-001,02/06/2010,How many British have died in Afghanistan war since 7 April 2010?
04-05-2010-100220-001,02/06/2010,"Request details of: All quangos under the auspices/ subject to the authority of your department/agency. I would like the response to include the name of the quango, the number of staff, and its total funding and expenditure from 2005 to the present."
04-05-2010-101516-002,02/06/2010,"As a percentage, how many flights carrying UK military personnel from Afghanistan back to Britain, say for R and R or at the end of a solders' tour, are delayed? On average, how long is the delay?"
04-05-2010-101847-003,01/06/2010,"Please can you release text of all converstations between the MoD or any of its agents and staff at engineering firms Kellogg, Brown and Root/KBR/Haliburton regarding the Qarmat Ali water treatment plant."
04-05-2010-102016-004,02/06/2010,"Please can you provide me with information relating to SFA (Service Family Accomodation): (1) A copy of the results of the latest ""Asset Survey"" on all SFA. (2)  Costs of Bulk Hire of alternative SFA from the private sector.  For each of the last 5 financial years finishing with the year 2009/10.  Please could you also provide an estimate of how much will be spent on the bulk hire of SFA from the private sector for 2010/11."
04-05-2010-102825-001,02/06/2010,Please provide details by email of the amount paid by the department in fees to Goldman Sachs for each year from 2000 to 2010 (total for this year so far).
04-05-2010-103602-002,01/06/2010,"In a conveyance of land dated 7 June 1961 the Ministry if Aviation conveyed some land at Boston Spa to Wetherby RDC.  I would like to know the extent of the land transferred, in particular that part of the landholding that was closest to the River Wharfe."
04-05-2010-105607-005,27/05/2010,"Request to know how many (a number not names) servicemen  and  women of all Services were Killed in Action or died as a result of their wounds, came from Somerset (including the Unitary authorities of Bath  and  Noth East Somerset (usually with BA postcode) and North Somerset (usually with BS postcode)."
04-05-2010-112457-001,01/06/2010,The number of British service personnel killed since 1921.
04-05-2010-113826-003,02/06/2010,Can you please provide me information about when and what enforcement action the Defence Nuclear Safety Regulator took in relation to the failure to remove hull valve test blanks on HMS Turbulent/Tireless?
04-05-2010-123016-006,02/06/2010,"Request forI a printed copy of the MOD ? SPA Report and Business Plan, January 2010."
04-05-2010-150641-001,01/06/2010,"Movements will now be suspended while the rest of the weapon-carrier fleet is examined for the same problem'.  Was this inspection done, and what was the outcome? Paragraph 8 of the same document  'I understand that Minister (AF) has called a meeting to discuss these events, and their implications for the nuclear carrier fleet, for 1030 tomorrow morning'.  I would like to know the outcome of this meeting – and so forth."
04-05-2010-153644-001,19/05/2010,Four questions re how to procure Construction Consultancy Services.
04-05-2010-170943-001,02/06/2010,"Request to know how much was spent by the department in 2009-10 on away days and team-building exercises for staff and ministers.Please provide as much detail as possible, within time and cost constraints, on how many such exercises were held, where they took place and how many people attended. If this level of detail takes my inquiry beyond time and cost constraints, please provide only a headline figure."
04-05-2010-171816-001,02/06/2010,Request for a DPR printout? It is in conjunction with pay and bonus related issues. My Unit pay and records office have asked myself to request this to help with some matters. I have been advised that this print gives all relevant details of my entire career.
05-05-2010-105818-001,03/06/2010,Please could you urgently supply me with all militatry and other records within your control relating to xxxxxxxx.
06-05-2010-123052-003,03/06/2010,"All information in relation to this hand over between NIGSU & DSG, all planning assumptions time limes and all communications on the hand over for a period of 3 years from today."
06-05-2010-131802-001,03/06/2010,Copy of a study into radioactive waste management capability options covering both liquid and solid waste due to complete in Mar 2010.
06-05-2010-132850-002,01/06/2010,"All information regarding hazard identification and risk evaluation (HIRE) (REPPIR 2001) for AWE Aldermaston and Burghfield including: Copies of reviews,criteques of these risk reports conducted by the regulator, including recommendadtions etc. Copies of all documentation relating to these reports includong correspondence, internal memoranda and e-mails and any other information which refers or relates to the reports"
06-05-2010-134739-001,26/05/2010,I am conducting a research assignment on aviation operations in a complex environment and require information on Op Herrick 3 (specifically aviation related.
06-05-2010-135111-003,01/06/2010,Copy of letter of delegation from Hd DNSR which provides regulatory authority for the DNWR (referred to in PQ Baker col 1038W 2 March 2010) and an Organisational chartindicationg reporting links and accountablilities for DNSR and DNWR.
06-05-2010-140007-004,26/05/2010,"Request for a copy of a note by the Defence Nuclear Safety Regulator dated 4 November 2009 and entitled 'Successor Submarine Project Safety Regulator's Advice On The Selection Of The Propulsion Plant In Support Of The Future Deterrent Review Note'. The document was referred to in the cover note for a meeting of the Defence Board (09)62 on 26 November 2009 on the Successor Submarine Project, released in response to a freedom of information request."
06-05-2010-140426-001,03/06/2010,"Request for  a comprehensive list of MOD stations around the UK and overseas for Army, Navy and Air Force and their current commanding officers."
06-05-2010-140850-002,02/06/2010,The file contains correspondence between the palace and MOD concerning Prince Edwards withdrawal from the Royal Marines.
06-05-2010-141921-003,04/06/2010,"The Army Military Administrator trade was evaluated by the Joint Services Job Evaluation Team in 2008. I would like to know the JSJET points scores applied to each rank, by rank, L/Cpl to WO1."
06-05-2010-153411-002,04/06/2010,Please could you provide details of all occasions in which MoD resources have been used in the production of television shows over the last five financial years.
06-05-2010-154620-005,09/04/2010,Rate of Family Pension paid to following the death of her husband.
06-05-2010-170357-001,04/06/2010,How many MoD properties have been sold privately in Scotland since 2000?
07-05-2010-093549-001,02/06/2010,"Request for copies of your corporate style guide, if such a document exists."
07-05-2010-105302-001,03/06/2010,"Request for copies of any reports, studies, discussion or other relevant documents relating to MoD studies of ball lightning and/or other atmospheric plasma phenomena. In particular, any papers concerning work done on the possible military applications of ball lightning on the battlefield. This request covers any work or discussion of ball lightning phenomena by the Army, Navy Air Force, Defence Intelligence staff or other MoD branches."
07-05-2010-110246-001,03/06/2010,"Request for information maps, palns etc on the bunker complex lying underneath East Goscote village in Leicester. From my research there used to be a royal ordanance factory here during the 40's onwards. I currently am documenting and photographing sites that were used in the defence and Great Britain during WW2."
07-05-2010-111321-001,04/06/2010,"Seven questions on the organisation relating to staff, retirement and pensions matters."
07-05-2010-112220-002,04/06/2010,FREEDOM OF INFORMATION ACT REQUEST: How many letters have been received from service personnel complaining about accommodation conditions? Please provide copies of the last ten complaints received in 2009 accepting that all personal information will be redacted.
07-05-2010-120642-002,07/06/2010,"Subject: Trident- cost projection request under the freedom of information act.  I would like to know what the anticipated cost of the purchase of the new Trident defence system will be, if undertaken, on a yearly basis from 2010.  Details of its annual costs in relation to its servicing and also the initila capital costs of purchase. Details of where it will be purchased from and the companies involved, directors of those companies and suppliers to those companies are also required."
07-05-2010-122358-003,02/06/2010,"Reference the Icelandic eruption and reports in your ""FAQs"": Will this make global warming worse or stop it? Although it is too early to say what impact the eruption may or may not have, the scale of the plume is currently not sufficiently large enough to have a major affect on global weather or climate. When compared to previous volcanic eruptions which have had an impact on the climate, this one is less powerful This has prompted a couple of questions: 1)Could volcanic ash in the upper atmosphere be contributing to the fact we are experiencing frosts so late this year, at the start of May? If the eruption continued for long enough and/or intensified, is there the potential for global cooling?"
07-05-2010-123019-004,07/06/2010,"Request for copies of any records relating to a burial site of mustard agent in the Whiteford Point area near Llanmadoc, South Wales, such as: (1) Documents revealing the location of the burial site, including depth. (2) Documents revealing the amount of mustard agent buried, either in net weight or in number of vessels/shells. (3) ocuments relating to any work carried out to remediate CW contamination in the Whiteford Point area, such as briefs issued to contractors describing the necessary work to be carried out, and receipts of said work. "
07-05-2010-123450-005,07/06/2010,"Request for a physical or electronic log of all UK incidents (including UK territorial waters) attended by Explosive Ordnance Disposal teams that involved the discovery, disarming or disposal of non-stockpile chemical weapons for the years 2004-2010, including the type of munition discovered, the date of discovery, and the location."
10-05-2010-094206-001,07/06/2010,Please would you be able to provide me with a detailed structure chart for the Defence Estates Operations International United States Force (DE Ops Int USF) Division? I am interested to see how this is built up and what type of job roles are involved in this division.
10-05-2010-094818-001,07/06/2010,"Request for information on the funding that the Royal Air Force receives from the public purse in the form of the Learning Skills Council (LSC), Young Persons Funding Agency (YPFA) and Skills Funding Agency (SFA) to fund its NVQ?s, Apprenticeship, Modern and Advanced Apprenticeship schemes over the past four financial years including this year so far.  The specific details I am interested in are the exact figures the Apprentice Monitoring Team (AMT) based in Quedgeley Gloucestershire draws down from the LSC, YPFA and SFA, how it uses the money including the breakdown in support of the learner centres.  I am also requesting information on how the total figures from these agencies is broken down by both eligible and non-eligible (for funding) candidates and training location."
10-05-2010-095827-001,08/06/2010,My year 12 daughter is doing a research paper on tasers and we have read that the Defense Scientific Advisory Council Sub-committee has produced 3 reports on the meidal implications of tasers.
