Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Department for Communities & Local Government ,Ministerial Department,Department for Communities & Local Government,146,139.74,275,264.83,814,795.05,590,570.49,92,89.06,0,0,1917,1859.17,8,8,9,9,31,31,10,10,58,58,1975,1917.17,6251612.35,50569.15,2560,21876.02,1273669.37,548656.93,8148943.82,160651,286209,446860,8595803.82,
Fire Service College,Executive Agency,Department for Communities & Local Government,63,61.8,35,33,77,74.5,17,17,1,1,0,0,193,187.3,0,0,4,3.8,0,0,0,0,4,3.8,197,191.1,489098.3,0,0,121.5,93814.91,39581.43,622616.14,25253.52,0,25253.52,647869.66,
Planning Inspectorate,Executive Agency,Department for Communities & Local Government,220,197.61,132,120.26,73,70.45,255,214.43,4,3.5,0,0,684,606.25,0,0,0,0,0,0,0,0,0,0,684,606.25,1785258.4,23251,19003,2639,391291.33,168765.3,2390208.03,0,0,0,2390208.03,
Queen Elizabeth II Conference Centre,Executive Agency,Department for Communities & Local Government,5,5,7,7,27,27,3,3,1,1,0,0,43,43,0,0,0,0,0,0,3,3,3,3,46,46,122955.53,320.75,0,10236.36,23606.89,11346.01,168465.54,,4998.62,4998.62,173464.16,
Homes & Communities Agency,Executive Non-Departmental Public Body,Department for Communities & Local Government,129,123.71,190,185.68,263,258.26,34,33.8,51,51,88,86.56,755,739.01,2,2,0,0,4,4,0,0,6,6,761,745.01,2685971.44,516395,308669,8829.06,663077.72,314514.2,4497456.42,20999,0,20999,4518455.42,
Independent Housing Ombudsman Ltd,Executive Non-Departmental Public Body,Department for Communities & Local Government,0,0,0,0,0,0,0,0,0,0,38,38,38,38,2,2,0,0,0,0,0,0,2,2,40,40,149162.43,64.28,0,0,27243.71,14609.22,191079.64,5025,0,5025,196104.64,
Infrastructure Planining Commission,Executive Non-Departmental Public Body,Department for Communities & Local Government,4,4,7,7,16,15.8,13,12,12,10.3,0,0,52,49.1,1,1,0,0,0,0,0,0,1,1,53,50.1,215557,0,0,722,17384,24629,258292,1389,0,1389,259681,
Leasehold Advisory Service,Executive Non-Departmental Public Body,Department for Communities & Local Government,3,2.4,1,1,17,16,0,0,1,1,0,0,22,20.4,0,0,0,0,0,0,0,0,0,0,22,20.4,66748,0,0,0,5850,7275,79873,0,0,0,79873,
London Thames Gateway Development Corporation,Executive Non-Departmental Public Body,Department for Communities & Local Government,0,0,2,2,11,10.3,8,6.83,13,13,0,0,34,32.13,0,0,0,0,5,0.09,1,0.08,6,0.17,40,32.3,150729.88,0,0,0,19842.68,15269.34,185841.9,250,6600,6850,192691.9,
Standards Board for England,Executive Non-Departmental Public Body,Department for Communities & Local Government,3,2.8,5,4.4,17,16.43,5,5,3,3,0,0,33,31.63,0,0,0,0,1,1,0,0,1,1,34,32.63,107976.15,0,0,0,16735.6,9954.54,134666.29,10886.4,0,10886.4,145552.69,
Tenants Services Authority,Executive Non-Departmental Public Body,Department for Communities & Local Government,4,3.97,36,35.66,99,95.71,24,24,8,8,8,1.22,179,168.56,0,0,0,0,0,0,0,0,0,0,179,168.56,681718.99,455,0,342.24,64077.7,60041.08,806635.01,0,0,0,806635.01,
Thurrock Development Corporation,Executive Non-Departmental Public Body,Department for Communities & Local Government,0,0,0,0,0,0,0,0,0,0,32,31.93,32,31.93,0,0,0,0,0,0,0,0,0,0,32,31.93,141045.95,2660.93,0,0,15886.13,14628.62,174221.63,0,0,0,174221.63,
Valuation Tribunal Service,Executive Non-Departmental Public Body,Department for Communities & Local Government,23,22.17,35,34.25,12,11.83,2,2,1,1,0,0,73,71.25,0,0,0,0,0,0,0,0,0,0,73,71.25,221058,6901,0,0,42621,18378,288958,1939,0,1939,290897,
West Northamptonshire Development Corporation,Executive Non-Departmental Public Body,Department for Communities & Local Government,8,7.41,11,10.94,10,9.7,2,2,4,4,0,0,35,34.05,1,1,0,0,0,0,1,0.8,2,1.8,37,35.85,132580.48,4600,0,0,23785.1,12770.64,173736.22,5994,6334,12328,186064.22,
