Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Department for Communities & Local Government ,Ministerial Department,Department for Communities & Local Government,161,154.14,309,297.53,870,849.55,618,597.4,100,96.86,0,0,2058,1995.48,19,19,5,5,19,19,9,9,52,52,2110,2047.48,5606203,542584,916412,32033,510915,40833,7648980,219228,214684,433912,8082892,
Fire Service College,Executive Agency,Department for Communities & Local Government,63,61.8,35,33.6,78,76,16,16,1,1,0,0,193,188,0,0,4,3.8,0,0,0,0,4,3.8,197,192,469188,0,0,3633,91982,38449,603251,25909,0,25909,629161,
Planning Inspectorate,Executive Agency,Department for Communities & Local Government,222,198.81,132,121.06,73,70.45,255,214.48,4,3.4,0,0,686,608,0,0,0,0,0,0,0,0,0,0,686,608,1748593,35344,0,1499,365207,155609,2306252,0,0,0,2306252,
Queen Elizabeth II Conference Centre,Executive Agency,Department for Communities & Local Government,5,5,7,7,27,27,3,3,1,1,0,0,43,43,1,1,0,0,0,0,1,1,2,2,45,45,123672,1113,8636,1328,23375,10257,168381,5625,1685,7310,175691,
Homes & Communities Agency,Executive Non-Departmental Public Body,Department for Communities & Local Government,129,123.21,201,196.78,262,256.41,35,35,49,49,91,89.56,767,750,2,2,0,0,3,3,0,0,5,5,772,755,2696833,416503,0,7808,696856,286126,4104126,25177,0,25177,4129303,
Independent Housing Ombudsman Ltd,Executive Non-Departmental Public Body,Department for Communities & Local Government,0,0,0,0,0,0,0,0,0,0,38,38,38,38,1,1,0,0,0,0,0,0,1,1,39,39,149997,64,0,0,26821,14855,191738,2764,0,2764,194502,
Infrastructure Planining Commission,Executive Non-Departmental Public Body,Department for Communities & Local Government,4,4,7,7,16,15.8,17,16,12,10.3,0,0,56,53,1,1,0,0,0,0,0,0,1,1,57,54,235674,0,22200,11,17849,28880,304613,2769,0,2769,307382,
Leasehold Advisory Service,Executive Non-Departmental Public Body,Department for Communities & Local Government,0,0,4,3.4,15,14,0,0,1,1,0,0,20,18,0,0,0,0,0,0,0,0,0,0,20,18,59033,0,0,0,5903,6467,71404,0,0,0,71404,
London Thames Gateway Development Corporation,Executive Non-Departmental Public Body,Department for Communities & Local Government,0,0,2,2,11,10.3,8,7.8,14,14,0,0,35,34,0,0,0,0,5,0.27,1,0.3,6,0.57,41,35,169075,0,49433,0,22244,24164,264915,1500,1913,3413,268328,
Standards Board for England,Executive Non-Departmental Public Body,Department for Communities & Local Government,3,2.8,5,4.4,18,17.43,6,6,3,3,0,0,35,34,0,0,0,0,1,1,0,0,1,1,36,35,114155,0,0,1110,18093,10593,143952,0,0,0,143952,
Tenants Services Authority,Executive Non-Departmental Public Body,Department for Communities & Local Government,4,3.97,37,36.66,100,96.91,24,24,8,8,9,1.31,182,171,0,0,0,0,0,0,0,0,0,0,182,171,737491,455,0,3314,65566,63210,870036,0,0,0,870036,
Thurrock Development Corporation,Executive Non-Departmental Public Body,Department for Communities & Local Government,0,0,0,0,0,0,0,0,0,0,33,32.93,33,33,0,0,0,0,0,0,0,0,0,0,33,33,144492,2744,0,0,16260,14972,178468,0,0,0,178468,
Valuation Tribunal Service,Executive Non-Departmental Public Body,Department for Communities & Local Government,22,21.17,36,35.25,12,11.83,2,2,1,1,0,0,73,71,3,3,0,0,0,0,0,0,3,3,76,74,209831,4779,0,0,42376,17935,274921,9594,0,9594,284515,
West Northamptonshire Development Corporation,Executive Non-Departmental Public Body,Department for Communities & Local Government,8,7.41,12,11.94,10,9.7,2,2,4,4,0,0,36,35,2,2,0,0,0,0,1,0.8,3,2.8,39,38,133761,4600,0,0,23650,12678,174689,6716,6334,13050,187739,
