Court of Appeal AG's Reference Number,Offence(s),Sentence,Crown Court,Judge,Leave Granted,Court held Sentence Was Unduly Leninet?,Effect on Sentence,Revised Sentence
1 of 2011,Rape x16,9 years imprisonment concurrent on each count,Manchester,HHJ Gee QC,Yes,Yes,Increase,13 years imprisonment concurrent on each count
3 of 2011,Assault by penetration; robbery,Extended sentence of 12 years comprising 6 years custody with an extended licence of 6 years for assault by penetration.  3½ years imprisonment concurrent for robbery.  Total custody: 6 years,Truro,HHJ Elwen,Yes,Yes,Increase,"14½ years imprisonment for assault by penetration, 8 years concurrent sentence for robbery"
4 of 2011,Grievous bodily harm with intent,"12 months detention suspended for 18 months, 12 months supervision and 4 months curfew",Bristol,HHJ Hagen,Yes,Yes,Increase,4 years detention in Young Offender Institute
6 of 2011,Wounding with intent; having an offensive weapon,"12 months imprisonment suspended for 2 years, 300 hours unpaid work, compensation of £500 to victim and £500 towards prosecution cost",York,HHJ Ashurst,Yes,Yes,Increase,"15 months imprisonment, compensation order reduced to sum already paid (£225) costs order quashed"
8 of 2011,Manslaughter,5 years imprisonment ,Chelmsford,Mr Justice Nicol,Yes,Yes,Increase,7½ years imprisonment 
5 of 2011,Grievous bodily harm with intent; sexual assault,"15 years detention for GBH, 10 years concurrent for sexual assault",Nottingham,HHJ Stokes QC,Yes,Yes,Increase,Detention for public protection with a minimum term of 7½ years
7 of 2011,Indecent assault x6; sexual assault; making indecent photographs of children x6,"3 years imprisonment in total for indecent and sexual assaults, 4 months consecutive for the indecent images offences ",Oxford,HHJ Compston,Yes,Yes,Increase,"6 years imprisonment for the assaults, 4 months concurrent for the indecent images offences "
9 and 10 of 2011,"Rape; trafficking within and into, and conspiracy to traffic into the UK for purposes of sexual exploitation; controlling prostitution for gain, assault occasioning actual bodily harm; causing a person to engage in sexual activity without consent; witness intimidation ",21 years imprisonment in total,Manchester,HHJ Atherton,Yes,Yes,Increase,Imprisonment for public protection with a minimum term of 10½ years
9 and 10 of 2011,"Trafficking within and into, and conspiracy to traffic into the UK for purposes of sexual exploitation; controlling prostitution for gain ",6 years imprisonment in total,Manchester,HHJ Atherton,Yes,Yes,Increase,9 years imprisonment
11 of 2011,Possession with intent to supply a class A drug,3 years imprisonment,Kingston,Mr Recorder Fortune,Yes,Yes,Increase,4½ years imprisonment
12 to 14 of 2011,Conspiracy to commit aggravated burglary of dwellings,10 years detention,Liverpool,HHJ Roberts,Yes,No,Stayed the same,n/a
12 to 14 of 2011,Conspiracy to commit aggravated burglary of dwellings; conspiracy to commit burglary and conspiracy to commit aggravated burglary of shops,8 years imprisonment,Liverpool,HHJ Roberts,Yes,No,Stayed the same,n/a
12 to 14 of 2011,"Conspiracy to commit aggravated burglary of dwellings, conspiracy to commit aggravated burglary of shops, burglary, theft and ",8 years 8 months imprisonment,Liverpool,HHJ Roberts,Yes,No,Stayed the same,n/a
16 of 2011,Robbery,3 years imprisonment,York,Mr Recorder Elliot ,Yes,Yes,Increase,7 years imprisonment
15 of 2011,Possession with intent to supply a class A drug x 2,2 years imprisonment concurrent on each count,Liverpool,Mr Recorder Hartley QC,Yes,Yes,Increase,4 years imprisonment in total
18 of 2011,Causing a child under 13 to engage in sexual activity; sexual activity with a child x 5  ,Extended sentence of 10 years comprising 6 years custody with an extended licence of 4 years. Total custody: 10 years,Cambridge,HHJ Bate,No,No,n/a,n/a
17 of 2011,Possession with intent to supply a class A drug,"12 months imprisonment suspended for 24 months, supervision order for 12 months and 240 hours unpaid work  ",Carlisle,HHJ Forrester,Yes,Yes,Increase,20 months imprisonment
20 of 2011,Sexual activity with a child,"Fine of £1,985, costs of £425, victim surcharge of £15",Northampton,HHJ Alexander QC,Yes,Yes,Increase,"4 months imprisonment suspended for 2 years, 2 year supervision order, participation in community sex offender programme, financial penalties maintained "
21 of 2011,Robbery x 3; attempted robbery x 4,4 years imprisonment concurrent on each count,Central Criminal Court,HHJ Roberts QC,yes,yes,Increase,5 years imprisonment concurrent on each count
23 of 2011,Murder,Life imprisonment with a minimum term of 15 years,Nottingham,HHJ Stokes QC,yes,yes,Increase,Life imprisonment with a minimum term of 20 years
22 of 2011,Grievous bodily harm with intent,"3 years community order, 3 year supervision requirement, 3 year mental health requirement",Manchester,HHJ Kushner QC,Yes,Yes,Increase,5 years imprisonment
26 of 2011,Rape,2½ years imprisonment,Lewes,HHJ  Barnes,Yes,yes,Increase,4 years imprisonment
24 of 2011,Inciting a child under 16 to engage in sexual activity; making indecent images of children; possession of  indecent images of children,"16 weeks imprisonment suspended for 2 years, 2 years supervision requirement, 300 hours unpaid work, requirement to attend a sex offender treatment programme",Teesside,HHJ Fox,Yes,Yes,Increase,12 months imprisonment suspended for 2 years with the same conditions
25 of 2011,Wounding with intent  ,3 years imprisonment,Kingston-upon-Hull,HHJ Baker QC,Yes,Yes,Increase,Imprisonment for public protection with a minimum term of 2 years
