BUSINESS PLAN QUARTERLY DATA SUMMARY -  JULY 2012,,,,,,,,,,,,,,,,,,

SPENDING,,,,,,,,,,,RESULTS,,,,PEOPLE,,,

Budget,,,£million,,,Common Areas of Spend,,Q4 2011-12,Q3 2011-12,,Input Indicators,Current,Previous,,Whole Department Family - Workforce Size ,,Current,Previous

,,,Q4 2011-12,Q42010-11,,Estate Costs,Total office estate (m2),QDS1 2012-13,QDS1 2012-13,,"1  Additional cost of operations in Afghanistan, per Service person deployed (Previous=Q4 2009-10, Current=Q4 2010-11)","397,263","340,947",,"Payroll Staff
[Total full-time equivalent by]
(current = at 31 Mar 2012 previous=31 Dec 2011)",Department and Agencies,"61,340","64,600"
Total Departmental Expenditure Limit (DEL),,,"11,359","10,203",,,Total cost of office estate (£million),QDS1 2012-13,QDS1 2012-13,,"2  Additional cost of new equipment (urgent operational requirements) for operations in Afghanistan, per Service person deployed  (Previous=Q4 2009-10, Current=Q4 2010-11)","61,368","86,211",,,Non-departmental public bodies,Not Applicable,Not Applicable
of which Resource DEL (excl. Depreciation),,,"8,305","7,473",,,Cost per FTE (£),QDS1 2012-13,QDS1 2012-13,,3  Cost of standing military commitments / tasks and contingent operations per committed Service person  (Current available Q4),QDS1 2012-13,not applicable,,,Department Family,"54,250","57,210"
Upto top 5 contributory elements,A: Social security costs (UK),,195,133,,,Cost per m2 (£),QDS1 2012-13,QDS1 2012-13,,"4  Average percentage by which the cost of the MOD equipment programme varies compared to forecasts in year (%, Previous= Q3 2011-12 Current=Q4 2011-12)",1.41%,-0.41%,,"Average Staff Costs
(£, current = at 31 Dec 2011, previous = at 30 Sept 2011)",,"34,967","34,967"
,B: Staff - Other pension costs (UK),,555,475,,Procurement,Total Procurement Spend (£million),"4,845.00","5,104.00",,"5a  Cost of major force elements: Ship  (£million, Previous=Q4 2009-10, Current= Q4 2010-11)",31,28,,"Contingent Labour
[Total full-time equivalent by] 
(current = at 31 Mar 2012 previous=31 Dec 2011)",Department and Agencies,"1,700","1,597"
,C: Service element of PFI finance leases,,730,389,,,Price of standard box of A4 white copier paper (£/2500 sheets),11.69,11.69,,"5b Cost of major force elements: Brigade  (£million, Previous=Q4 2009-10, Current=Q4 2010-11)",534,not applicable,,,Non-departmental public bodies,3,3
,D: Wages & Salaries (UK),,"2,495","2,470",,,Average price of energy (£/KWH),0.034,0.042,,"5c Cost of major force elements: Aircraft (Fast Jets)  (£million, Previous=Q4 2009-10, Current=Q4 2010-11)",7,7,,,Department Family,"1,703","1,600"
,E: Other expenses,,"4,368","4,283",,IT,Total 3rd Party ICT Cost (£million),QDS1 2012-13,QDS1 2012-13,,"5d Cost of major force elements: Helicopter (£million, Previous=Q4 2009-10, Current=Q4 2010-11)",2,not applicable,,Department and Agencies Only,,Current,Previous
Purchase of goods and services within Resource DEL,,,"5,332","4,945",,,Cost of desktop provision per FTE (£),360,369,,"6  Cost / Benefit ratio of the major change and efficiency programmes being undertaken by Defence (UNIT, Previous=Q2 2011-12, Current available= Q1 2012-13)",QDS1 2012-13,6.35,,"Workforce Shape
[Total full-time equivalent by]
(%, current = at 31 Mar 2012 previous=31 Dec 2011)",Administrative Assistants and Administrative Officers,39.5,40.1
Payroll within Resource DEL,,,"3,347","3,167",,Corporate Service Cost,Human Resources (£million),8.6,9.81,,"7a  Percentage of non-front line costs versus front line costs, split by Service: Royal Navy  (%,  Current available Q2)",QDS1 2012-13,not applicable,,,Executive Officers,20.2,20
Grants within Resource DEL,,,33,40,,,Finance (£million),31.49,34.88,,"7b  Percentage of non-front line costs versus front line costs, split by Service: Army (%,  Current available Q2)",QDS1 2012-13,not applicable,,,Higher and Senior Executive Officers,34.5,34.2
of which Capital DEL,,,"3,054","2,730",,,Procurement (£million),24,23,,"7c  Percentage of non-front line versus front line costs, split by Service: Royal Air Force (%, Current available Q2)",QDS1 2012-13,not applicable,,,Grade 7/6,5,4.9
