Organisation,Department for Business Innovation and Skills
Group2,Score
Engagement Index,49
B01. I am interested in my work,89
B02. I am sufficiently challenged by my work,79
B03. My work gives me a sense of personal accomplishment,73
B04. I feel involved in the decisions that affect my work,55
B05. I have a choice in deciding how I do my work,75
B06. I have a clear understanding of the Department's purpose,77
B07. I have a clear understanding of the Department's objectives,70
B08. I understand how my work contributes to the Department's objectives,75
B09. My manager motivates me to be more effective in my job,66
B10. My manager is considerate of my life outside work,80
B11. My manager is open to my ideas,80
B12. My manager helps me to understand how I contribute to the Department's objectives,58
"B13. Overall, I have confidence in the decisions made by my manager",75
B14. My manager recognises when I have done my job well,78
B15. I receive regular feedback on my performance,59
B16. The feedback I receive helps me to improve my performance,58
B17. I think that my performance is evaluated fairly,60
B18. Poor performance is dealt with effectively in my team,38
B19. The people in my team can be relied upon to help when things get difficult in my job,83
B20. The people in my team work together to find ways to improve the service we provide,81
B21. The people in my team are encouraged to come up with new and better ways of doing things,76
B22. I am able to access the right learning and development opportunities when I need to,53
B23. Learning and development activities I have completed in the past 12 months have helped to improve my performance,44
B24. There are opportunities for me to develop my career in BIS,37
B25. Learning and development activities I have completed while working for BIS are helping me to develop my career,39
B26. I am treated fairly at work,80
B27. I am treated with respect by the people I work with,86
B28. I feel valued for the work I do,63
"B29. I think that BIS respects individual differences (e.g. cultures, working styles, backgrounds, ideas, etc)",68
"B30. In my job, I am clear what is expected of me",79
B31. I get the information I need to do my job well,66
B32. I have clear work objectives,72
B33. I have the skills I need to do my job effectively,85
B34. I have the tools I need to do my job effectively,63
B35. I have an acceptable workload,51
B36. I achieve a good balance between my work life and my private life,59
B37. I feel that my pay adequately reflects my performance,29
B38. I am satisfied with the total benefits package,29
B39. Compared to people doing a similar job in other organisations I feel my pay is reasonable,23
B40. I feel that BIS as a whole is managed well,31
B41. Senior Managers in BIS are sufficiently visible,46
B42. I believe the actions of Senior Managers are consistent with the Department's values,34
B43. I believe that the Management Board has a clear vision for the future of BIS,29
