Name,Rank,Job Title,Date,Detail,Journalist/Organisation,Hospitality
William Rauol ROLLO,Lieutenant General,Deputy Chief of Defence Staff (Personnel&Training),14 March 2012,Military Guest of Honour at Southamption University Mititary Education Committee (MEC) Lecture,Caroline Wyatt present,Dinner (Southampton University)
Sir Kevin Leeson,Air Marshall,Chief of Materiel (Air),01 April 2012,Speech at unveiling of RAF memorial in Chelmsford,Various local media,Nil
Sir David Richards,General,Chief of Defence Staff,02 February 2012,The Sunday Times Magazine 50th Anniversary Party,Not known,Drinks & canape’s provided 
Sir David Richards,General,Chief of Defence Staff,24 February 2012,Canadian Broadcasting Corporation TV Power and Politics show 10 minute-interview,Marieke Walsh,Nil
Sir David Richards,General,Chief of Defence Staff,15 March 2012,Dinner party for 14 at CDS’s home,Charles Moore,CDS hosted
Sir Mark Mans KCB CBE,Lieutenant General,Adjutant General,14 February 2012,Interview with BFBS reporter during visit to Brunei,Mr Steve Bitten - BFBS,Nil
Frances Carolyn Saunders,Senior Civil Service 3*,"Chief Executive, Dstl",09 February 2012,Investiture at Buckingham Palace to receive CB,Interviewed by: Wiltshire Sound (Amy Johnson) and BFBS (Toby Sadler),Nil
Jonathan Henry Lyle,Senior Civil Service 3*,"Chief Executive, Dstl",27 March 2012,"CDE Innovation Roadshow BiS, London","Not known - There were journalists present at this event, but Jonathan was not interviewed/or approached.",Nil
Mark Stanhope,Admiral,First Sea Lord and Chief of Naval Staff,23 February 2012,"Speech - Mountbatten Lecture, Edinburgh University",Not known,Nil
Mark Stanhope,Admiral,First Sea Lord and Chief of Naval Staff,24 February 2012,Speech – International Institute Strategic Studies,Not known,Nil
Mark Stanhope,Admiral,First Sea Lord and Chief of Naval Staff,05 March 2012,"Speech – Global Forces Launch, Somerset House",Not known,Nil
Mark Stanhope,Admiral,First Sea Lord and Chief of Naval Staff,25 March 2012,Speech – Soldiering-on National Awards Ceremony,Not known,Nil
