Department for Transport statistics,,,,,,,,,
Accessibility Statistics (http://www.dft.gov.uk/statistics/series/accessibility/),,,,,,,,,
Table ACS0111,,,,,,,,,
"Households with good transport access to key services or work1 by local authority, England, 2007 to 2011",,,,,,,,,
,,,,,,,,,Index (2010 England = 100)2
Region,Old LA Code,LA Code,Local Authority,,2007 3,2008 3,2009 3,2010,2011
England,,,,,110,102,104,100,97
East Midlands,00FK,E06000015,Derby,,113,108,119,116,118
East Midlands,00FN,E06000016,Leicester,,128,123,109,108,107
East Midlands,00FY,E06000018,Nottingham,,94,89,86,88,92
East Midlands,00FP,E06000017,Rutland,,64,53,55,53,51
East Midlands,17,E10000007,Derbyshire,,98,92,95,93,93
East Midlands,31,E10000018,Leicestershire,,94,89,93,87,83
East Midlands,32,E10000019,Lincolnshire4,,82,85,89,66,61
East Midlands,34,E10000021,Northamptonshire,,86,93,95,84,57
East Midlands,37,E10000024,Nottinghamshire,,104,100,102,101,97
East of England,00KB,E06000055,Bedford ,,119,133,142,139,121
East of England,00KC,E06000056,Central Bedfordshire ,,93,97,107,111,104
East of England,00KA,E06000032,Luton,,129,127,119,121,123
East of England,00JA,E06000031,Peterborough,,104,107,111,116,110
East of England,00KF,E06000033,Southend-On-Sea,,155,150,144,142,144
East of England,00KG,E06000034,Thurrock,,124,114,122,119,132
East of England,12,E10000003,Cambridgeshire,,68,62,63,58,56
East of England,22,E10000012,Essex,,95,85,87,87,86
East of England,26,E10000015,Hertfordshire,,127,122,127,127,126
East of England,33,E10000020,Norfolk,,65,59,61,59,55
East of England,42,E10000029,Suffolk,,82,73,73,70,63
London,00AB,E09000002,Barking and Dagenham,,148,140,124,129,127
London,00AC,E09000003,Barnet,,166,162,163,152,149
London,00AD,E09000004,Bexley,,165,152,146,149,147
London,00AE,E09000005,Brent,,158,152,148,145,146
London,00AF,E09000006,Bromley,,159,158,145,151,149
London,00AG,E09000007,Camden,,163,138,133,118,129
London,00AA,E09000001,City of London,,109,52,50,42,75
London,00AH,E09000008,Croydon,,135,127,136,128,130
London,00AJ,E09000009,Ealing,,143,134,135,134,134
London,00AK,E09000010,Enfield,,161,158,161,157,158
London,00AL,E09000011,Greenwich,,135,131,127,124,119
London,00AM,E09000012,Hackney,,115,107,108,99,102
London,00AN,E09000013,Hammersmith and Fulham,,130,128,133,135,143
London,00AP,E09000014,Haringey,,136,131,128,122,118
London,00AQ,E09000015,Harrow,,177,176,176,167,166
London,00AR,E09000016,Havering,,134,129,123,128,122
London,00AS,E09000017,Hillingdon,,145,137,135,138,140
London,00AT,E09000018,Hounslow,,136,127,124,124,127
London,00AU,E09000019,Islington,,103,92,88,80,79
London,00AW,E09000020,Kensington and Chelsea,,189,170,155,151,151
London,00AX,E09000021,Kingston upon Thames,,199,187,175,182,178
London,00AY,E09000022,Lambeth,,107,101,105,106,106
London,00AZ,E09000023,Lewisham,,108,104,108,104,101
London,00BA,E09000024,Merton,,126,122,129,135,129
London,00BB,E09000025,Newham,,123,117,113,111,100
London,00BC,E09000026,Redbridge,,166,160,153,153,155
