Department ,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Net Total
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/03/2011,Car Hire and Leasing,Knowledge and Innovation Group - Government Office For Science,GOVERNMENT CAR AND DESPATCH AGENCY,1020370,594.36
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/03/2011,Publications,Knowledge and Innovation Group - Government Office For Science,JONES YARRELL LEADENHALL,1020492,59.52
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/03/2011,Taxis,Knowledge and Innovation Group - Government Office For Science,ADDISON LEE plc,1020980,218.23
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/03/2011,Car Hire and Leasing,Knowledge and Innovation Group - Government Office For Science,GOVERNMENT CAR AND DESPATCH AGENCY,1021766,1148.23
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/03/2011,Car Hire and Leasing,Knowledge and Innovation Group - Government Office For Science,GOVERNMENT CAR AND DESPATCH AGENCY,1021768,1103.92
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/03/2011,Car Hire and Leasing,Knowledge and Innovation Group - Government Office For Science,GOVERNMENT CAR AND DESPATCH AGENCY,1022107,882.03
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/03/2011,Entertaining UK,Knowledge and Innovation Group - Government Office For Science,THE TRAVELLERS CLUB,1022667,38.94
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/03/2011,Entertaining UK,Knowledge and Innovation Group - Government Office For Science,THE TRAVELLERS CLUB,1022667,645.56
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/03/2011,Car Hire and Leasing,Knowledge and Innovation Group - Government Office For Science,GOVERNMENT CAR AND DESPATCH AGENCY,1023106,234.25
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",31/03/2011,Car Hire and Leasing,Knowledge and Innovation Group - Government Office For Science,GOVERNMENT CAR AND DESPATCH AGENCY,1023543,781.08
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",31/03/2011,Car Hire and Leasing,Knowledge and Innovation Group - Government Office For Science,GOVERNMENT CAR AND DESPATCH AGENCY,1023547,166.75
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/03/2011,Hotels Overseas,Knowledge and Innovation Group - Research Base,NH ATLANTA HOTEL,1020134,139.82
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/03/2011,Hotels Overseas,Knowledge and Innovation Group - Research Base,NH ATLANTA HOTEL,1020136,139.82
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/03/2011,Hotels Overseas,Knowledge and Innovation Group - Research Base,SILKEN BERLAYMONT HOTEL,1020142,166.41
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/03/2011,Hotels Overseas,Knowledge and Innovation Group - Research Base,JOLLY HOTEL DU GRAND SABLON,1020143,76.34
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/03/2011,Hotels Overseas,Knowledge and Innovation Group - Research Base,JOLLY HOTEL DU GRAND SABLON,1020145,145.83
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/03/2011,Hotels Overseas,Knowledge and Innovation Group - Research Base,JOLLY HOTEL DU GRAND SABLON,1020146,145.83
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/03/2011,Hotels Overseas,Knowledge and Innovation Group - Research Base,JOLLY HOTEL DU GRAND SABLON,1020156,223.03
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/03/2011,Hotels Overseas,Knowledge and Innovation Group - Research Base,BRUSSELS EUROPA,1020160,144.97
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/03/2011,Hotels Overseas,Knowledge and Innovation Group - Research Base,JOLLY HOTEL DU GRAND SABLON,1022620,221.68
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/03/2011,Hotels Overseas,Knowledge and Innovation Group - Research Base,JOLLY HOTEL DU GRAND SABLON,1022622,119.36
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/03/2011,Hotels Overseas,Knowledge and Innovation Group - Research Base,BRUSSELS EUROPA,1022627,150.06
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/03/2011,Hotels Overseas,Knowledge and Innovation Group - Research Base,BRUSSELS EUROPA,1022628,141.53
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/03/2011,Hotels Overseas,Knowledge and Innovation Group - Research Base,SILKEN BERLAYMONT HOTEL,1022629,182.46
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/03/2011,Hotels Overseas,Knowledge and Innovation Group - Research Base,SILKEN BERLAYMONT HOTEL,1022630,182.46
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/03/2011,Hotels Overseas,Knowledge and Innovation Group - Research Base,SILKEN BERLAYMONT HOTEL,1022631,173.93
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/03/2011,Hotels Overseas,Knowledge and Innovation Group - Research Base,SILKEN BERLAYMONT HOTEL,1022634,165.4
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/03/2011,Hotels Overseas,Knowledge and Innovation Group - Research Base,SILKEN BERLAYMONT HOTEL,1022636,150.91
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/03/2011,Hotels Overseas,Knowledge and Innovation Group - Research Base,NH ATLANTA HOTEL,1022637,281.36
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/03/2011,Hotels Overseas,Knowledge and Innovation Group - Research Base,NH ATLANTA HOTEL,1022638,480.87
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/03/2011,Hotels Overseas,Knowledge and Innovation Group - Research Base,NH ATLANTA HOTEL,1022640,130.45
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/03/2011,Hotels Overseas,Knowledge and Innovation Group - Research Base,NH ATLANTA HOTEL,1022655,121.92
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/03/2011,Rail Fares,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Withheld.",10275952,8
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/03/2011,Mileage Allowances,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Withheld.",10275952,1.2
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/03/2011,Hotels Overseas,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Withheld.",10275952,18.78
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/03/2011,Subsistence Payments Overseas,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Withheld.",10275952,90.71
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/03/2011,Other Overseas Travel & Subsistence,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Withheld.",10275952,20
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/03/2011,Rail Fares,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Withheld.",10275955,11.2
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/03/2011,Subsistence Payments Overseas,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Withheld.",10275955,211.36
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/03/2011,Rail Fares,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Withheld.",10275956,42.6
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/03/2011,Mileage Allowances,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Withheld.",10275956,1.98
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/03/2011,Other UK Travel & Subsistence,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Withheld.",10275956,16
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/03/2011,Taxis Overseas,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Withheld.",10275956,23.91
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/03/2011,Subsistence Payments Overseas,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Withheld.",10275956,5.76
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/03/2011,Other Overseas Travel & Subsistence,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Withheld.",10275956,30.02
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/03/2011,Taxis,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Withheld.",10275962,25
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/03/2011,Rail Fares Overseas,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Withheld.",10275962,3.1
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/03/2011,Taxis Overseas,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Withheld.",10275962,26.05
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/03/2011,Subsistence Payments Overseas,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Withheld.",10275962,5.12
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/03/2011,Rail Fares,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Withheld.",10275973,35.8
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/03/2011,Hotels Overseas,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Withheld.",10275973,160.57
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/03/2011,Subsistence Payments Overseas,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Withheld.",10275973,69.19
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/03/2011,Other Overseas Travel & Subsistence,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Withheld.",10275973,16
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/03/2011,Rail Fares,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Withheld.",10275983,8
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/03/2011,Mileage Allowances,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Withheld.",10275983,1.2
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/03/2011,Rail Fares Overseas,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Withheld.",10275983,10.86
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/03/2011,Hotels Overseas,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Withheld.",10275983,9.47
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/03/2011,Subsistence Payments Overseas,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Withheld.",10275983,26.28
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/03/2011,Other Overseas Travel & Subsistence,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Withheld.",10275983,10
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/03/2011,Rail Fares,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Withheld.",10276138,28.2
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/03/2011,Taxis,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Withheld.",10276138,125
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/03/2011,Other UK Travel & Subsistence,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Withheld.",10276138,2.6
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/03/2011,Taxis Overseas,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Withheld.",10276138,37.67
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/03/2011,Hotels Overseas,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Withheld.",10276138,296.44
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/03/2011,Other Overseas Travel & Subsistence,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Withheld.",10276138,33
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/03/2011,Rail Fares,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Withheld.",10276187,21.2
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/03/2011,Rail Fares Overseas,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Withheld.",10276187,2.49
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/03/2011,Subsistence Payments Overseas,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Withheld.",10276187,6.24
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/03/2011,Other Overseas Travel & Subsistence,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Withheld.",10276187,19.76
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/03/2011,Rail Fares,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Withheld.",10276214,18
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/03/2011,Other Overseas Travel & Subsistence,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Withheld.",10276214,20
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/03/2011,Other UK Travel & Subsistence,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Withheld.",10276220,3.68
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/03/2011,Other UK Travel & Subsistence,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Withheld.",10276232,4.35
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/03/2011,Taxis,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Withheld.",10276237,70
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/03/2011,Rail Fares Overseas,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Withheld.",10276237,13.38
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/03/2011,Taxis Overseas,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Withheld.",10276237,27.47
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/03/2011,Subsistence Payments Overseas,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Withheld.",10276237,20
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/03/2011,Other Overseas Travel & Subsistence,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Withheld.",10276237,17.17
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/03/2011,Rail Fares,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Withheld.",10276239,2.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/03/2011,Other UK Travel & Subsistence,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Withheld.",10276239,22.7
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/03/2011,Hotels Overseas,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Withheld.",10276239,296.65
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/03/2011,Subsistence Payments Overseas,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Withheld.",10276239,20
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/03/2011,Other Overseas Travel & Subsistence,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Withheld.",10276239,24.84
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/03/2011,Rail Fares,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Withheld.",10276240,12
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/03/2011,Subsistence Payments Overseas,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Withheld.",10276240,54.85
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/03/2011,Rail Fares Overseas,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Withheld.",10276448,1.23
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/03/2011,Taxis Overseas,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Withheld.",10276448,11.2
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/03/2011,Subsistence Payments Overseas,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Withheld.",10276448,10
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/03/2011,Other Overseas Travel & Subsistence,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Withheld.",10276448,37.42
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/03/2011,Taxis Overseas,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Withheld.",10276482,8.78
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/03/2011,Subsistence Payments Overseas,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Withheld.",10276482,28.33
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/03/2011,Other Overseas Travel & Subsistence,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Withheld.",10276482,17.68
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/03/2011,Rail Fares,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Withheld.",10276739,11.2
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/03/2011,Subsistence Payments Overseas,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Withheld.",10276739,271.73
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/03/2011,Rail Fares,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Withheld.",10276746,3.8
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/03/2011,Subsistence Payments Overseas,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Withheld.",10276746,24.7
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/03/2011,Other Overseas Travel & Subsistence,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Withheld.",10276746,20
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/03/2011,Taxis,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Withheld.",10276808,11
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/03/2011,Air Fares  - Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1018585,1392.47
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/03/2011,Air Fares  - Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1018603,111.08
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/03/2011,Hire of Conference Facilities (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1018604,258.37
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/03/2011,Hotels- Overseas  (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1018605,162
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/03/2011,Air Fares  - Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1018612,529.85
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/03/2011,Air Fares  - Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1018613,968.88
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/03/2011,Air Fares  - Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1018614,1024.97
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/03/2011,Air Fares  - Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1018615,1016.75
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/03/2011,Others UK Travel & Subsistence (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1018616,289.33
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/03/2011,Hotels- Overseas  (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1018617,825.94
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/03/2011,Air Fares  - Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1018618,955.95
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/03/2011,Rail Fares - Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1018619,535.33
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/03/2011,Other Overseas Travel & Subsistence (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1018620,67.3
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/03/2011,Hotels- Overseas  (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1018621,451.57
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/03/2011,Entertaining Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1018621,925
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/03/2011,Air Fares  - Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1018622,200
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/03/2011,Air Fares  - Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1018623,49.6
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/03/2011,Air Fares  - Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1018625,354.64
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/03/2011,Air Fares  - Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1018627,2118.66
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/03/2011,Air Fares  - Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1018629,48.75
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/03/2011,Hotels- Overseas  (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1018630,1590
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/03/2011,Air Fares  - Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1018635,1261.24
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/03/2011,Air Fares  - Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1018636,671.21
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/03/2011,Entertaining Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1018637,927.21
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/03/2011,Hotels- Overseas  (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1018638,49.64
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/03/2011,Entertaining Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1018638,572.79
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/03/2011,Hotels- Overseas  (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1018639,1207.19
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/03/2011,Entertaining Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1018640,672.47
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/03/2011,Hire of Conference Facilities (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1018642,50.85
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/03/2011,Taxis- Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1018644,71.47
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/03/2011,Hotels- Overseas  (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1018645,403.03
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/03/2011,Subsistence Payments- Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1018646,566.89
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/03/2011,Air Fares  - Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1018648,9.1
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/03/2011,Air Fares  - Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1018651,7.8
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/03/2011,Hire of Conference Facilities (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1018652,10.36
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/03/2011,Hire of Conference Facilities (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1018653,20.73
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/03/2011,Air Fares  - Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1018654,5.2
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/03/2011,Air Fares  - Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1018655,10.4
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/03/2011,Air Fares  - Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1018656,6.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/03/2011,Air Fares  - Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1018657,5.85
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/03/2011,Air Fares  - Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1018658,89.47
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/03/2011,Hotels- Overseas  (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1018659,422.32
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/03/2011,Hotels- Overseas  (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1018660,331.55
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/03/2011,Subsistence Payments- Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1018660,300
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/03/2011,Translation Services (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1019098,426.83
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/03/2011,Hotels- Overseas  (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1019099,3190.67
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/03/2011,Entertaining Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1019100,872.83
