Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount in Sterling
Communities & Local Government,GO,18/05/2010,Agency Staff,GOYH,HAYS PERSONNEL           NEW MALDEN,1000002354,"1,304.25"
Communities & Local Government,GO,18/05/2010,Car Lease (expense),GOYH,ENTERPRISE               0113 2429525,1000002354,"1,327.49"
Communities & Local Government,GO,18/05/2010,Conferences and Meeting Facilities,GOE,CAMBRIDGE BELFRY         CAMBRIDGE,1000002359,-748.75
Communities & Local Government,GO,18/05/2010,Hospitalty,GOYH,AMEY FLEET SERV          ABINGDON,1000002354,"3,133.21"
Communities & Local Government,GO,18/05/2010,Hospitalty,GOYH,AMEY FLEET SERV          ABINGDON,1000002354,564
Communities & Local Government,GO,18/05/2010,Post,GOYH,AMEY FLEET SERV          ABINGDON,1000002354,914.88
Communities & Local Government,GO,18/05/2010,Stationery,GOYH,AMEY FLEET SERV          ABINGDON,1000002354,"2,196.45"
Communities & Local Government,GO,18/05/2010,Vehicle Maintenance,GOSW,SF TEBBY & SON           BRISTOL,1000002358,968.78
Communities & Local Government,GO,19/05/2010,Electricity,RCU - PAM - Property Asset Management,EDF ENERGY 1-MAJ'        PLYMOUTH,1000002361,956.75
Communities & Local Government,GO,19/05/2010,Gas,RCU - PAM - Property Asset Management,BRITISH GAS BUSINE       WINDSOR,1000002361,"2,082.33"
Communities & Local Government,GO,19/05/2010,Stationery,GONE,ROBERTHORNE.CO.UK        01604 495333,1000002364,"1,084.97"
Communities & Local Government,GO,21/05/2010,Conferences and Meeting Facilities,GOWM,PRIORY ROOMS (BULL STR   BMINGHAM B4,1000002368,534.63
Communities & Local Government,GO,21/05/2010,Minor office costs,GOWM,SECURITY SRV GRP         SWINDON,1000002368,"1,338.34"
Communities & Local Government,GO,21/05/2010,Training,GOWM,BRITISH RED CROSS        02072015222,1000002368,"2,000.00"
Communities & Local Government,GO,24/05/2010,Domestic Services,RCU - PAM - Property Asset Management,KITCHEN APPLIANCES       BOLTON,1000002370,649.99
Communities & Local Government,GO,25/05/2010,Agency Staff,GOYH,HAYS PERSONNEL           NEW MALDEN,1000002377,"1,057.50"
Communities & Local Government,GO,25/05/2010,Hospitalty,GOYH,AMEY FLEET SERV          ABINGDON,1000002377,658
Communities & Local Government,GO,25/05/2010,Post,GONE,GOVERNMENT CAR AND DES   LONDON,1000002378,"1,006.98"
Communities & Local Government,GO,25/05/2010,Post,GOYH,AMEY FLEET SERV          ABINGDON,1000002377,"1,068.73"
Communities & Local Government,GO,25/05/2010,Publicity,GOYH,COI                      LONDON,1000002377,"7,960.01"
Communities & Local Government,GO,25/05/2010,Publicity,GOYH,COI                      LONDON,1000002377,"5,175.00"
Communities & Local Government,GO,25/05/2010,Publicity,GOYH,COI                      LONDON,1000002377,"1,725.00"
Communities & Local Government,GO,25/05/2010,Stationery,GOYH,AMEY FLEET SERV          ABINGDON,1000002377,"1,853.08"
Communities & Local Government,GO,28/05/2010,Gas,RCU - PAM - Property Asset Management,BRITISH GAS BUSINE       WINDSOR,1000002385,"4,805.99"
Communities & Local Government,GO,02/06/2010,Travel and Subsistence Account,GOE,THE HELEN HOTEL          CAMBRIDGE,1000002388,715
Communities & Local Government,GO,02/06/2010,Vehicle Maintenance,GOE,ENTERPRISE RAC           EGHAM,1000002388,751.65
Communities & Local Government,GO,07/06/2010,Agency Staff,GOYH,HAYS PERSONNEL           NEW MALDEN,1000002401,"1,304.25"
Communities & Local Government,GO,07/06/2010,Agency Staff,GOSW,REED EMPLOYMENT          0208 2744284,1000002402,570.42
Communities & Local Government,GO,07/06/2010,Agency Staff,GOSW,REED EMPLOYMENT          0208 2744284,1000002402,821.09
Communities & Local Government,GO,07/06/2010,Agency Staff,GOSW,REED EMPLOYMENT          0208 2744284,1000002402,"2,706.85"
Communities & Local Government,GO,07/06/2010,Agency Staff,GOSW,REED EMPLOYMENT          0208 2744284,1000002402,"4,563.70"
Communities & Local Government,GO,07/06/2010,Agency Staff,GOSW,REED EMPLOYMENT          0208 2744284,1000002402,761.65
Communities & Local Government,GO,07/06/2010,Agency Staff,GOSW,REED EMPLOYMENT          0208 2744284,1000002402,"2,627.21"
Communities & Local Government,GO,07/06/2010,Conferences and Meeting Facilities,GOEM,THE CITY ROOMS           LEICESTER,1000002407,500
Communities & Local Government,GO,07/06/2010,Conferences and Meeting Facilities,GOE,PETERBOROUGH DIRECT      PETERBOROUGH,1000002405,"1,000.00"
Communities & Local Government,GO,07/06/2010,Gas,RCU - PAM - Property Asset Management,CORONA ENERGY RTL 2 LT   LONDON NW4,1000002398,"1,692.58"
Communities & Local Government,GO,07/06/2010,Gas,RCU - PAM - Property Asset Management,CORONA ENERGY RTL 2 LT   LONDON NW4,1000002398,"1,855.22"
Communities & Local Government,GO,08/06/2010,Agency Staff,GOYH,HAYS PERSONNEL           NEW MALDEN,1000002416,"1,304.25"
Communities & Local Government,GO,08/06/2010,Conferences and Meeting Facilities,GOE,PETERBOROUGH DIRECT      PETERBOROUGH,1000002414,"-1,000.00"
Communities & Local Government,GO,08/06/2010,Conferences and Meeting Facilities,GOE,PETERBOROUGH DIRECT      PETERBOROUGH,1000002414,"1,000.00"
Communities & Local Government,GO,08/06/2010,Office machinery consumables,GOSW,SPRINGFIELD BUS PAPERS   BRISTOL,1000002415,"1,195.68"
Communities & Local Government,GO,08/06/2010,Travel and Subsistence Account,GOE,THE HELEN HOTEL          CAMBRIDGE,1000002410,780
Communities & Local Government,GO,10/06/2010,Stationery,GOWM,RMGOVERN                 LONDON,1000002422,"1,142.09"
Communities & Local Government,GO,10/06/2010,Travel and Subsistence Account,GOE,THE HELEN HOTEL          CAMBRIDGE,1000002419,780
