FREEDOM OF INFORMATION,,
MOD Requests to 28 October 2011,,
"CIO-CI-Access Team, Ministry of Defence, CIO-FOI@mod.uk",,
,,
,,
Case Number,Date Due,Request Summary
03-10-2011-090532-001,28/10/2011,"Please advise, and provide information and details, on various questions regarding various aspects of British military law."
03-10-2011-093529-001,28/10/2011,"Please advise, and provide information and details, on the eligibility for compensations for veterans that have developed skin cancer after being deployed to sun exposed parts of the world."
03-10-2011-095350-002,27/10/2011,Please provide information the MOD hold regarding the 1957 Viking Blackbushe accident.
03-10-2011-100205-003,28/10/2011,Please provide a copy of the Board of Inquiry or Unit Inquiry Report into the accident involving Nimrod XV231 on 10 September 1987.
03-10-2011-102132-001,28/10/2011,Please advise on the funding for the Army's College at Sandhurst.
03-10-2011-102521-002,28/10/2011,"Please advise, and provide information and details, to various questions regarding RN 20mm GAMBO cannon ammunition."
03-10-2011-102830-003,28/10/2011,Please advise on the total sum of money allocated to the MOD in 2011.
03-10-2011-104925-004,28/10/2011,"Please advise, and provide information and details, on the universities attended and degrees obtained for RAF, Army and Navy legal officers recruited between 2000-2010."
03-10-2011-111947-005,28/10/2011,"Please advise, and provide information and details, to various questions regarding recruitment in the Royal Air Force."
03-10-2011-113952-006,28/10/2011,Please advise on the number of people made compulsory and voluntarily redundant in FY 2010.
03-10-2011-114730-007,28/10/2011,Please provide copies of all editions of the publication JDP 1-10: Captured Persons.
03-10-2011-115737-009,28/10/2011,"Please advise, and provide information and details, on the annual peacetime operating costs of various Army military units. "
03-10-2011-120536-010,28/10/2011,Please provide information and details on the contract MoD awarded to Babcock Infrastructure.
03-10-2011-120934-011,28/10/2011,"Please advise, and provide information and details, to various questions regarding Royal Navy redundancies."
03-10-2011-121404-012,28/10/2011,Please advise and provide information on the importance of Chile's support for the outcome of the Falklands Campaign.
03-10-2011-123259-002,27/10/2011,Please provide a copy of Alignment Between the Security Forces and Civil Government. 
03-10-2011-134539-015,28/10/2011,"Please advise, and provide information and details, on questions about radioactive waste on Christmas Island on 22 August and 23 September 1958."
03-10-2011-135730-016,28/10/2011,Please advise whether a project considering the Met Office's supercomputer provision and requirements post 2013 has began.
03-10-2011-143250-001,31/10/2011,Please provide a copy of the witness statements and Learning Account regarding James Dwyer's fatal incident and documents/reports relating to xxxxxx incident.
03-10-2011-143350-017,31/10/2011,"Please advise, and provide information and details, on the number of those serving with the Irish guards came from the Republic of Ireland."
03-10-2011-144355-018,31/10/2011,"Please advise since when, and for how long, bromide was administered routinely to British soldiers."
03-10-2011-144845-019,31/10/2011,"Please advise, and provide information and details, on the number and type of staff in the MOD from 1945 - end of WWII, 1956 - Suez engagement, 1982 -  Falklands engagement and 2010 - present. "
03-10-2011-163926-020,31/10/2011,Please advise whether MOD hold any information or statistical data on offence rates for children/youth from a military background.
03-10-2011-164706-021,31/10/2011,Please provide copies of any guidance issued on personal emails in relation to the Freedom of Information Act and the Data Protection Act.
04-10-2011-093728-001,14/10/2011,Please advise and provide information and details to various questions regarding Trade Union collective agreements for DSG.
04-10-2011-094654-001,31/10/2011,"Please advise on the number of qualified commercial officers, out of eleven, were over 50 years old and had more that twenty years service, were offered voluntary early release."
04-10-2011-110011-003,01/11/2011,"Please provide a breakdown, by vocation, of requests received by MOD."
04-10-2011-122352-005,01/11/2011,Please provide information on the exact longitude and latitude of the Atlantic Conveyor when she was struck by an exocet missile on 25 May 1982 during the Falklands conflict.
04-10-2011-144644-001,01/11/2011,Please provide copies of HQ Northern Ireland Operational statistical summaries from January 1990 - December 1993.
04-10-2011-144847-006,01/11/2011,Please provide information and details on the internet-facing IP address or address range of the proxy and/or gateway computers that the MOD's web browsing uses.
04-10-2011-150142-007,01/11/2011,"Please provide copies of documentation for the American Eagle Squadron numbers 71, 121, and 133."
04-10-2011-163350-008,28/10/2011,Please provide a copy of MOD's grievance policy.
05-10-2011-094235-001,27/10/2011,Please provide a copy of the scorecard and details of the unsuccessful tenderers for contract 2011/S 184-300762.
05-10-2011-094750-001,01/11/2011,Please advise on the official wording of telegrams that notified the next of kin about the death of a soldier.
05-10-2011-094936-002,01/11/2011,Please provide confirmation on whether there have been any amendments to MOD's beret specification UK/SC/5186 Issue 12 dated 12 July 2007.
05-10-2011-102427-003,01/11/2011,"Please advise, and provide information and details, on submariner strengths from 2005 - 2011 and projections to 2015."
05-10-2011-104341-004,01/11/2011,Please provide any information held by MOD linking Chichley Hall with the development work or testing of the bouncing bomb.
05-10-2011-104751-005,02/11/2011,"Please advise, and provide information and details, on the number of staff suspended from MOD in each of the last three financial years (2010/11, 2009/10 and 2008/9)."
05-10-2011-105239-006,02/11/2011,Please provide information and details of any  forward planning that the MOD has carried out in relation to the possibility of Scottish independence. 
05-10-2011-131841-007,02/11/2011,"Please advise, and provide information and details, regarding the recent Tranche 1 redundancy board results for the Army."
05-10-2011-135847-002,25/10/2011,Please provide a copy of the inquiry proceedings and verdict into the loss of a Lincoln bomber aircraft on 22 March 1954.
05-10-2011-140823-003,31/10/2011,Please provide the latest information on autism figures in defence establishments (including ships).
05-10-2011-143251-001,02/11/2011,Please provide information and details on various nuclear exercises.
05-10-2011-144601-008,27/10/2011,Please provide a copy of the scorecard and details of the unsuccessful tenderers for contract 2011/S 184-300761.
05-10-2011-144813-009,02/11/2011,Please provide information on the rehabilitation of soldiers. 
