Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction number,Amount in Sterling
Communities & Local Government,GO,01/10/2010,Agency Staff,GOE,CAVILL ROBINSON FINANCIAL RCRTMT LT,5106147300,"1,017.17"
Communities & Local Government,GO,01/10/2010,Agency Staff,GORCU Admin DEL Votd,BADENOCH & CLARK,5106147379,"2,507.63"
Communities & Local Government,GO,01/10/2010,Agency Staff,GORCU Admin DEL Votd,BADENOCH & CLARK,5106147382,"2,507.63"
Communities & Local Government,GO,01/10/2010,Agency Staff,GORCU Admin DEL Votd,BADENOCH & CLARK,5106147383,"2,507.63"
Communities & Local Government,GO,01/10/2010,Domestic Services,RCU - PAM - Property Asset Management,PHS GROUP LTD,2100185064,"1,726.50"
Communities & Local Government,GO,01/10/2010,Fixed Maintenance,RCU - PAM - Property Asset Management,TAYLOR WOODROW CONSTRUCTION,2100185065,"51,334.50"
Communities & Local Government,GO,01/10/2010,Insurance,RCU - PAM - Property Asset Management,BRUNTWOOD EST ALPHA PORTFOLIO LTD,2100185053,"29,282.56"
Communities & Local Government,GO,01/10/2010,Professional services,RCU - PAM - Property Asset Management,*CAPITA SYMONDS LTD,5106147319,"1,405.91"
Communities & Local Government,GO,01/10/2010,Publicity,GONE,PENNA COMMUNICATIONS,2100185118,"9,125.87"
Communities & Local Government,GO,01/10/2010,Publicity,GONE,PENNA COMMUNICATIONS,2100185119,"2,400.46"
Communities & Local Government,GO,01/10/2010,Publicity,GONE,PENNA COMMUNICATIONS,2100185120,"1,744.21"
Communities & Local Government,GO,01/10/2010,Publicity,GONE,PENNA COMMUNICATIONS,2100185121,"1,225.38"
Communities & Local Government,GO,01/10/2010,Variable Maintenance < £15k,RCU - PAM - Property Asset Management,TAYLOR WOODROW CONSTRUCTION,2100185065,"1,200.56"
Communities & Local Government,GO,01/10/2010,Finance Consultancy,GOYH,YORKSHIRE FORWARD,2100185108,"1,077.59"
Communities & Local Government,GO,04/10/2010,Agency Staff,GORCU Admin DEL Votd,REED SPECIALIST RECRUITMENT LTD,5106147500,563.66
Communities & Local Government,GO,04/10/2010,Conferences,GOSW,DCLG GOVERNMENT PROCUREMENT CARD,1000002705,581.63
Communities & Local Government,GO,04/10/2010,IT Maintenance,GORCU Admin DEL Votd,CESG,5106147455,779.03
Communities & Local Government,GO,04/10/2010,IT SUPPORT,GORCU Admin DEL Votd, E-NIK LIMITED,5106147474,"51,406.25"
Communities & Local Government,GO,04/10/2010,Fixed Maintenance,RCU - PAM - Property Asset Management,TAYLOR WOODROW CONSTRUCTION,2100185114,"111,196.57"
Communities & Local Government,GO,04/10/2010,Professional services,RCU - PAM - Property Asset Management,DTZ DEBENHAM TIE LEUNG LTD,5106147417,"19,776.77"
Communities & Local Government,GO,04/10/2010,Professional services,RCU - PAM - Property Asset Management,*E C HARRIS LLP(USE402561),5106147482,"14,979.15"
Communities & Local Government,GO,04/10/2010,Publicity,GONE,PENNA COMMUNICATIONS,2100185184,"4,109.71"
Communities & Local Government,GO,04/10/2010,Training,GOEM,DCLG GOVERNMENT PROCUREMENT CARD,1000002706,558.15
Communities & Local Government,GO,04/10/2010,Training,GOE,FARADAY PARTNERSHIP LTD,5106147483,550.00
Communities & Local Government,GO,04/10/2010,Training,GOE,DCLG GOVERNMENT PROCUREMENT CARD,1000002709,719.20
Communities & Local Government,GO,04/10/2010,Training,GOSE,ASPECT TRAINING,2100185115,550.00
Communities & Local Government,GO,04/10/2010,Training,GORCU Admin DEL Votd,ALPHA CONSOLIDATED TRAINING LTD,2100185183,"1,485.00"
Communities & Local Government,GO,04/10/2010,Training,GORCU Admin DEL Votd,ALPHA CONSOLIDATED TRAINING LTD,5106147471,"1,800.00"
Communities & Local Government,GO,04/10/2010,Training,GORCU Admin DEL Votd,BRAY LEINO LTD,2100185110,"1,030.00"
Communities & Local Government,GO,04/10/2010,Training,GORCU Admin DEL Votd,BRAY LEINO LTD,2100185181,"2,060.00"
Communities & Local Government,GO,04/10/2010,Training,GORCU Admin DEL Votd,FARADAY PARTNERSHIP LTD,2100185182,"5,650.00"
Communities & Local Government,GO,04/10/2010,Vehicle fuel,GOE,ARVAL,5106147489,506.18
Communities & Local Government,GO,05/10/2010,Agency Staff,GONW,*BROOK STREET BUREAU,5106147611,"1,405.23"
Communities & Local Government,GO,05/10/2010,Water,RCU - PAM - Property Asset Management,BRISTOL WATER,5106147616,"3,713.81"
Communities & Local Government,GO,05/10/2010,Water,RCU - PAM - Property Asset Management,THAMES WATER UTILITIES,5106147620,544.17
Communities & Local Government,GO,05/10/2010,Post,GOYH,DCLG GOVERNMENT PROCUREMENT CARD,1000002714,581.18
Communities & Local Government,GO,05/10/2010,Publications,GOE,PARLIAMENTARY NEWS SERVICES,5106147631,"2,203.12"
Communities & Local Government,GO,05/10/2010,Training,GOEM,FARADAY PARTNERSHIP LTD,2100185261,"1,292.50"
Communities & Local Government,GO,05/10/2010,Training,GOSE,DCLG GOVERNMENT PROCUREMENT CARD,1000002712,"1,138.57"
Communities & Local Government,GO,05/10/2010,Car Lease (expense),GONE,HITACHI CAPITAL VEHICLE SOLUTIONS,5106147532,"1,763.02"
Communities & Local Government,GO,05/10/2010,Electricity,RCU - PAM - Property Asset Management,SOUTHERN ELECTRIC PLC,2100185312,"-5,782.00"
Communities & Local Government,GO,05/10/2010,Electricity,RCU - PAM - Property Asset Management,SOUTHERN ELECTRIC PLC,5106147714,"5,782.00"
Communities & Local Government,GO,05/10/2010,Electricity,RCU - PAM - Property Asset Management,*NPOWER LTD,5106147625,"4,262.76"
Communities & Local Government,GO,05/10/2010,Electricity,RCU - PAM - Property Asset Management,DANMERC PROP CONSULTANTS  & MGT LTD,5106147623,"22,560.00"
Communities & Local Government,GO,05/10/2010,Stationery,GOYH,DCLG GOVERNMENT PROCUREMENT CARD,1000002714,"1,259.29"
Communities & Local Government,GO,06/10/2010,Agency Staff,GOSW,DCLG GOVERNMENT PROCUREMENT CARD,1000002716,"4,549.87"
Communities & Local Government,GO,06/10/2010,Hospitalty,GOE,BAXTERSTOREY LTD,2100185306,523.75
Communities & Local Government,GO,06/10/2010,Travel and Subsistence Account,GONE,REDFERN TRAVEL LIMITED,2100185313,"8,675.02"
Communities & Local Government,GO,06/10/2010,Travel and Subsistence Account,GONE,REDFERN TRAVEL LIMITED,2100185315,"4,100.71"
Communities & Local Government,GO,06/10/2010,Fares UK,GOSW,REDFERN TRAVEL LIMITED,2100185307,"16,282.55"
Communities & Local Government,GO,06/10/2010,Training,GORCU Admin DEL Votd,ST JOHN AMBULANCE (SAC),5106147649,666.00
Communities & Local Government,GO,06/10/2010,Variable Maintenance < £15k,RCU - PAM - Property Asset Management,ABM MAINTENANCE LTD,5106147726,600.00
Communities & Local Government,GO,06/10/2010,Electricity,RCU - PAM - Property Asset Management,EDF ENERGY,5106147730,"1,331.89"
Communities & Local Government,GO,06/10/2010,Electricity,RCU - PAM - Property Asset Management,EDF ENERGY,5106147728,"5,782.00"
Communities & Local Government,GO,06/10/2010,Electricity,RCU - PAM - Property Asset Management,EDF ENERGY,5106147729,"1,834.87"
Communities & Local Government,GO,06/10/2010,Electricity,RCU - PAM - Property Asset Management,EDF ENERGY,5106147731,"10,844.62"
Communities & Local Government,GO,07/10/2010,Agency Staff,GONW,BADENOCH & CLARK,5106147764,"1,450.56"
Communities & Local Government,GO,07/10/2010,Agency Staff,GONW,REED SPECIALIST RECRUITMENT LTD,5106147783,"1,176.43"
Communities & Local Government,GO,07/10/2010,Agency Staff,GONW,REED SPECIALIST RECRUITMENT LTD,5106147784,"1,144.64"
Communities & Local Government,GO,07/10/2010,Agency Staff,GOYH,REED SPECIALIST RECRUITMENT LTD,2100185353,803.27
Communities & Local Government,GO,07/10/2010,Fixed Maintenance,RCU - PAM - Property Asset Management,MITIE MANAGED SERVICES (SOUTHERN) L,5106147821,"52,300.49"
Communities & Local Government,GO,07/10/2010,Fares UK,GOYH,REDFERN TRAVEL LIMITED,2100185352,"11,771.46"
Communities & Local Government,GO,07/10/2010,Fares UK,GOSE,REDFERN TRAVEL LIMITED,2100185351,"3,408.86"
Communities & Local Government,GO,07/10/2010,Subsistence UK,GOSE,REDFERN TRAVEL LIMITED,2100185351,35.36
Communities & Local Government,GO,07/10/2010,Overseas expense,GOSE,REDFERN TRAVEL LIMITED,2100185351,584.00
Communities & Local Government,GO,07/10/2010,Office Machinery (<£5000),GOL,DCLG GOVERNMENT PROCUREMENT CARD,1000002721,"1,000.01"
Communities & Local Government,GO,07/10/2010,Training,GONW,BPP PROFESSIONAL EDUCATION,5106147773,"1,070.00"
Communities & Local Government,GO,07/10/2010,Training,GOEM,DCLG GOVERNMENT PROCUREMENT CARD,1000002718,558.15
Communities & Local Government,GO,07/10/2010,Training,GOSE,UNICOM SEMINARS LTD,5106147757,"1,695.00"
