ALB,Supplier,Net Amount £
Planning Inspectorate,INSPECTOR TRAVEL & SUBSISTENCE AND REIMBURSEMENTS COSTS," 1,864,396.12 "
Planning Inspectorate,PRUPIM LTD," 1,681,195.57 "
Planning Inspectorate,TAYLOR WOODROW CONSTRUCTION LTD," 921,465.30 "
Planning Inspectorate,SYNETRIX LTD," 735,704.43 "
Planning Inspectorate,BRISTOL CITY COUNCIL," 561,776.34 "
Planning Inspectorate,SCC LTD," 284,738.09 "
Planning Inspectorate,VISIONS CONSULTING COMPANY LTD," 253,301.00 "
Planning Inspectorate,NATHANIEL LICHFIELD & PARTNERS," 208,988.50 "
Planning Inspectorate,THE STATIONERY OFFICE," 197,786.85 "
Planning Inspectorate,FORMARA LTD," 179,653.94 "
Planning Inspectorate,VIGLEN LTD," 177,079.33 "
Planning Inspectorate,FABASOFT LTD," 176,913.00 "
Planning Inspectorate,ARVAL," 173,840.50 "
Planning Inspectorate,ADMIN STAFF TRAVEL & SUBSISTENCE AND REIMBURSEMENTS COSTS," 164,075.51 "
Planning Inspectorate,CABLE & WIRELESS COMMUNICATION," 153,209.12 "
Planning Inspectorate,HAYS OFFICE SUPPORT," 147,776.94 "
Planning Inspectorate,SCISYS UK LTD," 138,374.68 "
Planning Inspectorate,CITY LINK BRISTOL," 128,406.08 "
Planning Inspectorate,EDF ENERGY," 122,454.58 "
Planning Inspectorate,TAURUS PRINT & DESIGN LIMITED," 119,289.50 "
Planning Inspectorate,HEALTH MANAGEMENT LTD," 116,109.04 "
Planning Inspectorate,CACI LTD," 111,819.73 "
Planning Inspectorate,GCAT - COMPUTACENTRE(UK) LTD," 111,166.62 "
Planning Inspectorate,BARCLAYCARD," 110,029.27 "
Planning Inspectorate,DELL FINANCE SERVICES," 109,377.65 "
Planning Inspectorate,IRON MOUNTAIN," 109,038.01 "
Planning Inspectorate,SWEET & MAXWELL LTD," 103,379.09 "
Planning Inspectorate,SCOTT WILSON LTD," 83,258.43 "
Planning Inspectorate,ACTIVITY INFORMATION MANAGEMENT LTD," 74,675.00 "
Planning Inspectorate,LAND USE CONSULTANTS," 66,890.34 "
Planning Inspectorate,RICHARD J MAILE," 65,708.01 "
Planning Inspectorate,BANNER BUSINESS SUPPLIES LTD," 64,872.46 "
Planning Inspectorate,SUPPLIES TEAM," 61,280.47 "
Planning Inspectorate,BRISTOL MARRIOTT HOTEL," 60,840.31 "
Planning Inspectorate,ENVIRON," 60,313.25 "
Planning Inspectorate,PRACTICUS HR," 58,419.96 "
Planning Inspectorate,CAMBRIDGE HOUSING & ENVIRONMENTAL CONSULTANTS," 55,975.97 "
Planning Inspectorate,PLANNING & DESIGN CONSULTANCY," 53,768.16 "
Planning Inspectorate,FABER MOUNSELL," 53,500.00 "
Planning Inspectorate,MARTIN CHAMPION," 52,050.82 "
Planning Inspectorate,BRITISH TELECOM PLC -Colindale," 51,537.86 "
Planning Inspectorate,SIMON MILES," 49,942.86 "
Planning Inspectorate,HIGHWAYS AGENCY," 49,528.94 "
Planning Inspectorate,EGGLETON PLANNING & DESIGN," 48,739.25 "
Planning Inspectorate,SOFTWARE BOX LTD," 48,057.02 "
Planning Inspectorate,CHRISTOPHER GETHIN," 47,884.64 "
Planning Inspectorate,Unclassified," 47,823.56 "
Planning Inspectorate,INFOR GLOBAL SOLUTIONS (FARNBOROUGH II)," 47,038.29 "
Planning Inspectorate,DAVID HAINSWORTH," 45,786.76 "
Planning Inspectorate,NATIONAL SCHOOL OF GOVERNMENT," 45,335.00 "
Planning Inspectorate,LIMEHOUSE SOFTWARE LTD," 45,087.93 "
Planning Inspectorate,QAS LTD," 44,820.98 "
Planning Inspectorate,ELIZABETH LAWRENCE LTD," 44,719.86 "
Planning Inspectorate,BARCLAYCARD BUSINESS," 44,640.44 "
Planning Inspectorate,DELL COMPUTER CORPORATION LTD," 44,383.48 "
Planning Inspectorate,DESIGN 2," 44,194.97 "
Planning Inspectorate,ADDISON & ASSOCIATES," 44,111.94 "
Planning Inspectorate,FITZSIMON PLANNING & DEVELOPMENT," 40,653.61 "
Planning Inspectorate,GRAHAM M GARNHAM," 40,488.32 "
Planning Inspectorate,ALISON ROLAND TOWN PLANNERS LTD," 40,394.18 "
Planning Inspectorate,D ROGER DYER," 39,558.07 "
Planning Inspectorate,CHRIS CHECKLEY," 38,642.74 "
Planning Inspectorate,PRYSG TRANSLATION SERVICES," 37,386.12 "
Planning Inspectorate,NTL TELEWEST BUSINESS," 36,974.00 "
Planning Inspectorate,HIGH ASSOCIATES," 36,362.20 "
Planning Inspectorate,JONES & JONES ASSOCIATES LTD," 31,943.79 "
Planning Inspectorate,DAVID KAISERMAN," 31,507.84 "
Planning Inspectorate,RICS DISPUTE RESOLUTION SERVICES," 31,500.00 "
Planning Inspectorate,CI RESEARCH," 31,334.01 "
Planning Inspectorate,JIM METCALF," 31,151.31 "
Planning Inspectorate,WELSH ASSEMBLY GOVERNMENT," 30,415.00 "
Planning Inspectorate,RTPI CONFERENCES," 30,174.50 "
Planning Inspectorate,CLIVE TOKLEY," 29,968.64 "
Planning Inspectorate,STUART HALL," 29,619.77 "
Planning Inspectorate,W S C WADRUP INDEPENDENT CONSULTANT LTD," 29,490.63 "
Planning Inspectorate,LESLIE G COOP," 29,438.12 "
Planning Inspectorate,C G DOWN," 29,261.13 "
Planning Inspectorate,LEIGH & GLENNIE LTD," 29,091.11 "
Planning Inspectorate,PRICE WATERHOUSE COOPERS LLP," 28,015.00 "
Planning Inspectorate,JOHN G MILLARD," 27,815.75 "
Planning Inspectorate,ELLWOOD PLANNING SERVICES," 27,761.75 "
Planning Inspectorate,COMPUTER WORLD," 27,375.00 "
Planning Inspectorate,COMPUTACENTER LTD - GCAT MR H MOODY," 27,082.75 "
Planning Inspectorate,BUFFER BEAR LTD," 26,416.12 "
Planning Inspectorate,GARTNER," 26,325.00 "
Planning Inspectorate,CARBROOK ASSOCIATES," 26,192.81 "
Planning Inspectorate,TOUCHPAPER SOFTWARE PLC," 25,907.58 "
Planning Inspectorate,DON RANKIN ASSOCIATES LTD," 25,863.51 "
Planning Inspectorate,CENTRAL OFFICE OF INFO.," 25,753.88 "
Planning Inspectorate,ARROWSMITH ASSOCIATES," 25,681.75 "
Planning Inspectorate,EVANS PLANNING & DEVELOPMENT CONSULTANCY," 25,648.36 "
Planning Inspectorate,BARKERS C/O PROOF POSITIVE," 24,943.01 "
Planning Inspectorate,SCOTTS PLANNING SERVICES," 24,855.68 "
Planning Inspectorate,GRAHAM SNOWDON," 23,993.02 "
Planning Inspectorate,MARK BALCHIN," 23,847.74 "
Planning Inspectorate,THE STEP CONSULTANCY LTD," 23,839.90 "
Planning Inspectorate,OCE IMAGISTICS (UK) LTD," 23,799.61 "
Planning Inspectorate,EXPERIA QAS," 23,566.00 "
Planning Inspectorate,ALAN J ENGLEY & ASSOCIATES," 22,515.09 "
Planning Inspectorate,URBAN PLANNING UK," 22,505.34 "
Planning Inspectorate,LEARNING TREE INTERNATIONAL LTD," 22,400.00 "
Planning Inspectorate,CORONA ENERGY," 22,106.39 "
Planning Inspectorate,PETER HORRIDGE," 21,951.06 "
Planning Inspectorate,KEITH RUSHFORTH," 21,202.02 "
Planning Inspectorate,JACQUES PARTNERSHIP," 20,804.36 "
Planning Inspectorate,INPHASE SOFTWARE (UK) LTD," 20,790.00 "
Planning Inspectorate,POSTURITE," 20,413.50 "
Planning Inspectorate,SYMBIOSIS," 20,032.79 "
Planning Inspectorate,PATH NATIONAL LTD," 20,000.00 "
Planning Inspectorate,RICHARD MOON," 19,992.34 "
Planning Inspectorate,COMPUWARE LTD," 19,833.25 "
