Post Unique Reference,Name,Grade,Job Title,Parent Department,Organisation,Unit,Contact Phone,Contact E-mail,Reports To,Notes,Total Salary Cost Information
GO001,Paul Pugh,SCS 2,"Director, GO East",Home Office,Government Office Network,GO East,01223 372 500,enquiries.goeast@goeast.gsi.gov.uk,Joe Montgomery (CLG),Less than 5 direct staff - salary costs rounded up to nearest œ100k,100000
GO002,Stephen Hillier,SCS 2,"Director, GO East Midlands","Department for Business, Innovation and Skills",Government Office Network,GO East Midlands,0115 971 9971,enquiries@goem.gsi.gov.uk,Joe Montgomery (CLG),,427027
GO003,N/A,SCS 2,"Director, GO London",N/A,Government Office Network,GO London,N/A,N/A,Joe Montgomery (CLG),Office has been abolished - post no longer exists,554593
GO004,Brian Hackland,SCS 2,"Director, GO Network Centre and Services",Department for Communities and Local Government,Government Office Network,GO Network Centre and Services,0303 444 1539,goncsenquiries@goncs.gsi.gov.uk,Joe Montgomery (CLG),Less than 5 direct staff - salary costs rounded up to nearest œ100k,300000
GO005,Jonathan Blackie,SCS 2,"Director, GO North East",Department for Communities and Local Government,Government Office Network,GO North East,0191 201 3300,general.enquiries@gone.gsi.gov.uk,Joe Montgomery (CLG),,403869
GO006,Elizabeth Meek,SCS 2,"Director, GO North West",Department for Communities and Local Government,Government Office Network,GO North West,0161 952 4000,gonwmailbox@gonw.gsi.gov.uk,Joe Montgomery (CLG),,504033
GO007,Colin Byrne,SCS 2,"Director, GO South East",Department for Communities and Local Government,Government Office Network,GO South East,01483 882 255,info@gose.gsi.gov.uk,Joe Montgomery (CLG),,428978
GO008,Jon Bright,SCS 2,"Director, GO South West",Department for Communities and Local Government,Government Office Network,GO South West,0117 900 1700,swcontactus@gosw.gsi.gov.uk,Joe Montgomery (CLG),,342497
GO009,Trudi Elliott,SCS 2,"Director, GO West Midlands",Department for Communities and Local Government,Government Office Network,GO West Midlands,0121 352 5050,enquiries.team@gowm.gsi.gov.uk,Joe Montgomery (CLG),,412785
GO010,Felicity Everiss,SCS 2,"Director, GO Yorkshire & Humber",Department for Education,Government Office Network,GO Yorkshire and Humber,0113 341 3000,yhenquiries@goyh.gsi.gov.uk,Joe Montgomery (CLG),,425284
GO011,N/A,SCS 1A,"Deputy to the Director, GO North West",Department for Work and Pensions,Government Office Network,GO North West,0161 952 4000,gonwmailbox@gonw.gsi.gov.uk,GO006,SCS Pay Band 1A,1770457
GO012,N/A,SCS 1A,"Deputy to the Director, GO West Midlands","Department for Business, Innovation and Skills",Government Office Network,GO West Midlands,0121 352 5050,enquiries.team@gowm.gsi.gov.uk,GO009,SCS Pay Band 1A,323647
GO013,N/A,SCS 1,"Deputy Director, Corporate Services",Department for Communities and Local Government,Government Office Network,GO East,01223 372 500,enquiries.goeast@goeast.gsi.gov.uk,GO001,,1437429
GO014,N/A,SCS 1,"Deputy Director, Development and Infrastructure","Department for Culture, Media and Sport",Government Office Network,GO East,01223 372 500,enquiries.goeast@goeast.gsi.gov.uk,GO001,,1147553
GO015,N/A,SCS 1,"Deputy Director, Economy and Environment","Department for Environment, Food and Rural Affairs",Government Office Network,GO East,01223 372 500,enquiries.goeast@goeast.gsi.gov.uk,GO001,,870354
GO016,N/A,SCS 1,"Deputy Director, Localism and Decentralisation",Department for Communities and Local Government,Government Office Network,GO East,01223 372 500,enquiries.goeast@goeast.gsi.gov.uk,GO001,,639225
GO017,N/A,SCS 1,"Deputy Director, Safer and Stronger Communities",Home Office,Government Office Network,GO East,01223 372 500,enquiries.goeast@goeast.gsi.gov.uk,GO001,,918598
GO018,N/A,SCS 1,"Deputy Director, Children and Learners",Department for Education,Government Office Network,GO East,01223 372 500,enquiries.goeast@goeast.gsi.gov.uk,GO001,,833671
GO019,N/A,SCS 1,"Deputy Director, Strategy",Department for Education,Government Office Network,GO East Midlands,0115 971 9971,enquiries@goem.gsi.gov.uk,GO002,,919304
GO020,N/A,SCS 1,"Deputy Director, Safer, Stronger Communities",Home Office,Government Office Network,GO East Midlands,0115 971 9971,enquiries@goem.gsi.gov.uk,GO002,,630473
GO021,N/A,SCS 1,"Deputy Director, Economy, Jobs and Skills",Department for Communities and Local Government,Government Office Network,GO East Midlands,0115 971 9971,enquiries@goem.gsi.gov.uk,GO002,,536806
GO022,N/A,SCS 1,"Deputy Director, Infrastructure",Department for Education,Government Office Network,GO East Midlands,0115 971 9971,enquiries@goem.gsi.gov.uk,GO002,,1186297
