Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Department for Communities & Local Government ,Ministerial Department,Department for Communities & Local Government,125,120.8,251,242.2,732,715,558,541.1,86,83,0,0,1752,1702.1,4,4,3,3,19,19,5,5,31,31,1783,1733.1,5738652.24,65300.29,27000,25647.15,1171667.53,520427.69,7548694.9,233654,26742,260396,7809090.9,
Fire Service College,Executive Agency,Department for Communities & Local Government,65,60.6,31,29.4,63,61.4,15,14.5,1,1,0,0,175,166.9,1,1,4,3.8,0,0,0,0,5,4.8,180,171.7,292104.6,0,0,0,51859.99,21405.1,365369.69,53650.47,0,53650.47,419020.16,
Planning Inspectorate,Executive Agency,Department for Communities & Local Government,210,186.51,132,120.43,92,89.67,280,234.87,7,7,0,0,721,638.48,0,0,0,0,0,0,0,0,0,0,721,638.48,2045976.11,18703.72,0,2998.56,414336.55,183375.8,2665390.74,0,0,0,2665390.74,
Queen Elizabeth II Conference Centre,Executive Agency,Department for Communities & Local Government,4,4,7,7,27,27,3,3,1,1,0,0,42,42,1,1,0,0,0,0,3,3,4,4,46,46,124768.83,0,0,5966.08,22734.29,11360.06,164829.26,1645,5185.5,6830.5,171659.76,
Homes & Communities Agency,Executive Non-Departmental Public Body,Department for Communities & Local Government,125,120.96,200,195.79,224,218.57,36,35.8,43,42.88,237,232.65,865,846.65,5,5,7,7,0,0,2,2,14,14,879,860.65,3037724.51,294267.63,0,13822.55,666022,305054.94,4316891.63,36986,25381,62367,4379258.63,
Independent Housing Ombudsman Ltd,Executive Non-Departmental Public Body,Department for Communities & Local Government,0,0,0,0,0,0,0,0,0,0,39,38,39,38,2,2,0,0,0,0,0,0,2,2,41,40,155183.06,704.78,0,344.18,28720.05,15378.81,200330.88,5383.66,0,5383.66,205714.54,
Leasehold Advisory Service,Executive Non-Departmental Public Body,Department for Communities & Local Government,3,2.4,1,1,17,16,0,0,1,1,0,0,22,20.4,0,0,0,0,0,0,0,0,0,0,22,20.4,66600,0,0,0,5860,6986,79446,0,0,0,79446,
London Thames Gateway Development Corporation,Executive Non-Departmental Public Body,Department for Communities & Local Government,0,0,1,1,7,6.3,5,4.8,6,6,0,0,19,18.1,1,0.73,0,0,5,0.36,1,0.3,7,1.39,26,19.49,84811,0,0,0,11193.9,8613.74,104618.64,7283.4,3900,11183.4,115802.04,
Valuation Tribunal Service,Executive Non-Departmental Public Body,Department for Communities & Local Government,26,25.17,35,34.25,12,11.83,2,2,1,1,0,0,76,74.25,1,0.6,0,0,0,0,0,0,1,0.6,77,74.85,198615,263,0,0,44279,18250,261407,7585,0,7585,268992,
West Northamptonshire Development Corporation,Executive Non-Departmental Public Body,Department for Communities & Local Government,6,5.75,7,6.54,9,8.7,2,2,3,3,9,1.5,36,27.49,0,0,0,0,0,0,1,0.6,1,0.6,37,28.09,120039.5,4800,0,0,8644.35,12258.02,145741.87,0,4750.16,4750.16,150492.03,
