Department,Entity,Date,Expense Type,Expense Area,Supplier,Post Code,Transaction Number,Payment Description, Total 
Ministry of Defence,Ministry of Defence,24/10/2012,IT and communication services,Central TLB,OFFICE OF COMMUNICATIONS (OFCOM),SE1 9HA,116501,Line + telephone rental including commercial charge for use of radio frequencies,"37,406,178.00"
Ministry of Defence,Ministry of Defence,22/10/2012,Property leases,Defence Infrastructure Organisation ,ASPIRE DEFENCE LIMITED,SP9 7QD,114722,Property dwellings private finance initiative - service concession arrangement service charge,"23,043,426.09"
Ministry of Defence,Ministry of Defence,25/10/2012,Grants to NDPBs,Land Forces,COUNCIL OF RESERVE FORCES' AND CADETS' ASSOCIATIONS,EC2A 4EY,116851,Grant in aid to the council of reserve forces and cadet associations,"7,861,254.85"
Ministry of Defence,Ministry of Defence,17/10/2012,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,TS17 6YG,11066,Monthly GPC payment,"7,472,484.95"
Ministry of Defence,Ministry of Defence,17/10/2012,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,TS17 6YG,11065,Monthly GPC payment,"7,333,792.26"
Ministry of Defence,Ministry of Defence,08/10/2012,Property leases,Defence Infrastructure Organisation ,MODUS SERVICES LIMITED,SW1A 2HB,107885,Property non dwellings private finance initiative - service concession arrangement service charge,"7,050,470.37"
Ministry of Defence,Ministry of Defence,12/10/2012,Estate management,Defence Infrastructure Organisation ,DEBUT SERVICES (SOUTH WEST)LIMITED,BA1 5AB,110376,Estate core services charge,"6,670,908.14"
Ministry of Defence,Ministry of Defence,22/10/2012,Estate management,Defence Infrastructure Organisation ,MODERN HOUSING SOLUTIONS (PRIME)LIMITED,PE28 4QG,115157,Estate core services charge,"6,547,489.15"
Ministry of Defence,Ministry of Defence,24/10/2012,Food and clothing,Defence Equipment & Support,PURPLE FOODSERVICE SOLUTIONS LIMITED,GU32 3QD,116530,Cost of food purchases,"5,906,289.08"
Ministry of Defence,Ministry of Defence,05/10/2012,Property leases,Defence Infrastructure Organisation ,RMPA SERVICES PLC,CO2 7ST,107387,Property dwellings private finance initiative - service concession arrangement service charge,"5,819,821.56"
Ministry of Defence,Ministry of Defence,09/10/2012,Estate management,Land Forces,HOLDFAST TRAINING SERVICES LTD,ME4 4UG,108462,Estate + facilities management services - accommodation inventory + service,"5,382,101.26"
Ministry of Defence,Ministry of Defence,09/10/2012,Purchase of buildings and military equipment ,Land Forces,HOLDFAST TRAINING SERVICES LTD,ME4 4UG,108462,Fiscal asset under construction - capital in year addition,"5,341,549.98"
Ministry of Defence,Ministry of Defence,19/10/2012,Fees for professional services,Land Forces,CAPITA BUSINESS SERVICES LTD,DL1 9HN,113942,Fees for professional services excluding legal fees,"5,034,902.00"
Ministry of Defence,Ministry of Defence,30/10/2012,Estate management,Defence Infrastructure Organisation ,LANDMARC SUPPORT SERVICES LIMITED,SP3 4RS,119807,Estate core services charge,"4,666,842.52"
Ministry of Defence,Ministry of Defence,25/10/2012,Fees for professional services,Central TLB,HP ENTERPRISE SERVICES DEFENCE & SECURITY UK LIMITED,RG27 9XA,117146,Fees for professional services excluding legal fees,"4,175,502.17"
Ministry of Defence,Ministry of Defence,11/10/2012,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,DEBUT SERVICES LIMITED,B75 7RL,109722,Fiscal asset under construction - capital in year addition,"3,617,754.49"
Ministry of Defence,Ministry of Defence,11/10/2012,Estate management,Defence Infrastructure Organisation ,BABCOCK DYNCORP LIMITED,PE28 2EA,109617,Estate core services charge,"3,573,903.07"
Ministry of Defence,Ministry of Defence,18/10/2012,Estate management,Defence Infrastructure Organisation ,CARILLIONENTERPRISE LIMITED,B75 7RL,113257,Estate core services charge,"3,514,099.24"
Ministry of Defence,Ministry of Defence,15/10/2012,Rental of plant and machinery,Defence Equipment & Support,ALC (SPC) LIMITED,OX25 2LD,111168,Plant + machinery private finance initiative - service concession arrangements service charge,"3,019,344.11"
Ministry of Defence,Ministry of Defence,17/10/2012,Estate management,Defence Infrastructure Organisation ,BABCOCK SUPPORT SERVICES LIMITED,BS3 2HQ,5000085766,Estate core services charge,"2,503,600.04"
Ministry of Defence,Ministry of Defence,11/10/2012,"Purchase of munitions, other inventory or fuel",Defence Equipment & Support,WORLD FUEL SERVICES EUROPE  LTD.,SW1E 5BH,2000017196,Raw materials and consumable aviation fuel inventory purchased,"2,467,472.95"
Ministry of Defence,Ministry of Defence,25/10/2012,Administration,Navy Command,VT FLAGSHIP LTD,PO6 4PR,117560,General administration,"2,391,607.89"
Ministry of Defence,Ministry of Defence,11/10/2012,Fees for professional services,Joint Forces Command,DEFENCE MANAGEMENT (WATCHFIELD) LIMITED,SN6 8TS,109723,Fees for professional services excluding legal fees,"2,295,191.17"
Ministry of Defence,Ministry of Defence,22/10/2012,Purchase of buildings and military equipment ,Defence Equipment & Support,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,114853,Fiscal asset under construction - capital in year addition,"2,215,596.83"
Ministry of Defence,Ministry of Defence,15/10/2012,Rent and rates,Defence Infrastructure Organisation ,LONDON & REGIONAL (ST GEORGES  COURT) LIMITED,W1U 8EW,10271,Rent land - non civil estate property + married quarter property,"2,160,000.00"
Ministry of Defence,Ministry of Defence,19/10/2012,Grants to Reserves Forces and Cadets Association,Defence Infrastructure Organisation ,COUNCIL OF RESERVE FORCES' AND CADETS' ASSOCIATIONS,EC2A 4EY,113980,Grants to reserve forces and cadet associations,"2,065,378.50"
Ministry of Defence,Ministry of Defence,19/10/2012,Medical treatment & stores and welfare services,Central TLB,SERVICES SOUND & VISION CORPORATION,SL9 8TN,114515,Recreational facilities costs in support of social work,"2,018,604.00"
