Department Family,Entity,Clearing,Expense Type,Expense Area,Supplier,Doc Nbr,Amount,Narrative
Communities & Local Government,DCLG,04/07/2011,Accommodation,Finance & Corporate Services,HUSA PRESIDENT(HOTEL)    BRUXELLES/BRU,1000003321,"1,715.34",Nil cost to taxpayer
Communities & Local Government,DCLG,04/07/2011,Accommodation,Finance & Corporate Services,HUSA PRESIDENT(HOTEL)    BRUXELLES/BRU,1000003321,"1,805.62",Nil cost to taxpayer
Communities & Local Government,DCLG,05/07/2011,Training,Localism,PENTAGON LEISURE S       EPSOM,1000003322,834.00,
Communities & Local Government,DCLG,12/07/2011,Training,Finance & Corporate Services,FIRST INTUITION          LONDON W1T,1000003326,"1,095.00",
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,
